,,f,c
2017-01-01T05:05:00Z,,70.36174837,21.31208243
2017-01-01T05:10:00Z,,70.34175333,21.30097407
2017-01-01T05:15:00Z,,70.34517,21.30287222
2017-01-01T05:20:00Z,,70.31841971,21.28801095
2017-01-01T05:25:00Z,,70.30503227,21.28057348
2017-01-01T05:30:00Z,,70.31347778,21.28526543
2017-01-01T05:35:00Z,,70.29634831,21.27574906
2017-01-01T05:40:00Z,,70.278479,21.26582167
2017-01-01T05:45:00Z,,70.28849,21.27138333
2017-01-01T05:50:00Z,,70.26897079,21.26053933
2017-01-01T05:55:00Z,,70.25163491,21.25090828
2017-01-01T06:00:00Z,,70.25501602,21.25278668
2017-01-01T06:05:00Z,,70.2517,21.25094444
2017-01-01T06:10:00Z,,70.22400889,21.23556049
2017-01-01T06:15:00Z,,70.22900613,21.23833674
2017-01-01T06:20:00Z,,70.23534444,21.24185802
2017-01-01T06:25:00Z,,70.22571288,21.23650715
2017-01-01T06:30:00Z,,70.24081222,21.24489568
2017-01-01T06:35:00Z,,70.24681622,21.24823123
2017-01-01T06:40:00Z,,70.2374588,21.24303267
2017-01-01T06:45:00Z,,70.22789729,21.23772072
2017-01-01T06:50:00Z,,70.23043222,21.23912901
2017-01-01T06:55:00Z,,70.2064048,21.22578044
2017-01-01T07:00:00Z,,70.17186388,21.20659104
2017-01-01T07:05:00Z,,70.14750831,21.19306017
2017-01-01T07:10:00Z,,70.13193781,21.1844099
2017-01-01T07:15:00Z,,70.11124276,21.17291264
2017-01-01T07:20:00Z,,70.11194947,21.17330526
2017-01-01T07:25:00Z,,70.08999222,21.16110679
2017-01-01T07:30:00Z,,70.08481333,21.15822963
2017-01-01T07:35:00Z,,70.05674448,21.14263582
2017-01-01T07:40:00Z,,70.04002114,21.13334508
2017-01-01T07:45:00Z,,70.00163444,21.11201914
2017-01-01T07:50:00Z,,69.97243333,21.0957963
2017-01-01T07:55:00Z,,69.96238978,21.09021654
2017-01-01T08:00:00Z,,69.96502656,21.09168142
2017-01-01T08:05:00Z,,69.96040382,21.08911323
2017-01-01T08:10:00Z,,69.97674713,21.09819285
2017-01-01T08:15:00Z,,69.96586622,21.0921479
2017-01-01T08:20:00Z,,69.94962944,21.08312747
2017-01-01T08:25:00Z,,69.93887333,21.07715185
2017-01-01T08:30:00Z,,69.95290782,21.08494879
