,F,C,sim results
2017-01-01T05:00:00Z,70.7551956,21.53066422,
2017-01-01T05:05:00Z,70.78407,21.54670556,21.21052456
2017-01-01T05:10:00Z,70.78878,21.54932222,21.21279591
2017-01-01T05:15:00Z,70.808,21.56,21.21932817
2017-01-01T05:20:00Z,70.7599258,21.53329211,21.21574282
2017-01-01T05:25:00Z,70.736,21.52,21.20370442
2017-01-01T05:30:00Z,70.736,21.52,21.19102798
2017-01-01T05:35:00Z,70.736,21.52,21.17700531
2017-01-01T05:40:00Z,70.736,21.52,21.16264589
2017-01-01T05:45:00Z,70.736,21.52,21.1465282
2017-01-01T05:50:00Z,70.7,21.5,21.12989601
2017-01-01T05:55:00Z,70.71044,21.5058,21.11362638
2017-01-01T06:00:00Z,70.68111,21.48950556,21.0977627
2017-01-01T06:05:00Z,70.7,21.5,21.07981216
2017-01-01T06:10:00Z,70.64236,21.46797778,21.06009001
2017-01-01T06:15:00Z,70.66623,21.48123889,21.03888538
2017-01-01T06:20:00Z,70.71495,21.50830556,21.01604898
2017-01-01T06:25:00Z,70.67045,21.48358333,20.99292244
2017-01-01T06:30:00Z,70.67463,21.48590556,20.97006885
2017-01-01T06:35:00Z,70.714386,21.50799222,20.94739227
2017-01-01T06:40:00Z,70.6969147,21.49828594,20.92329025
2017-01-01T06:45:00Z,70.70883,21.50490556,20.89083664
2017-01-01T06:50:00Z,70.664,21.48,20.85627945
2017-01-01T06:55:00Z,70.61122,21.45067778,20.82474499
2017-01-01T07:00:00Z,70.61325,21.45180556,20.79603543
2017-01-01T07:05:00Z,70.61033,21.45018333,20.76503739
2017-01-01T07:10:00Z,70.5776749,21.43204161,20.73252025
2017-01-01T07:15:00Z,70.5487061,21.41594783,20.69168316
2017-01-01T07:20:00Z,70.56335,21.42408333,20.65058039
2017-01-01T07:25:00Z,70.52,21.4,20.6108011
2017-01-01T07:30:00Z,70.51269,21.39593889,20.56953229
2017-01-01T07:35:00Z,70.484,21.38,20.53305419
2017-01-01T07:40:00Z,70.448,21.36,20.50357048
2017-01-01T07:45:00Z,70.376,21.32,20.48431704
2017-01-01T07:50:00Z,70.3539,21.30772222,20.46369014
2017-01-01T07:55:00Z,70.31482,21.28601111,20.44021961
2017-01-01T08:00:00Z,70.34736,21.30408889,20.4160189
2017-01-01T08:05:00Z,70.33724,21.29846667,20.39375381
2017-01-01T08:10:00Z,70.35079,21.30599444,20.37423117
2017-01-01T08:15:00Z,70.35436,21.30797778,20.36113998
2017-01-01T08:20:00Z,70.376,21.32,20.35484517
2017-01-01T08:25:00Z,70.2762,21.26455556,20.3545064
2017-01-01T08:30:00Z,70.2955551,21.27530839,20.35833511
2017-01-01T08:35:00Z,70.30332,21.27962222,20.36728316
2017-01-01T08:40:00Z,70.32566,21.29203333,20.3809512
2017-01-01T08:45:00Z,70.2777939,21.26544106,20.39649944
2017-01-01T08:50:00Z,70.268,21.26,20.4190082
2017-01-01T08:55:00Z,70.268,21.26,20.44683212
2017-01-01T09:00:00Z,70.268,21.26,20.47657393
2017-01-01T09:05:00Z,70.34,21.3,20.50154123
2017-01-01T09:10:00Z,70.2706,21.26144444,20.52206507
2017-01-01T09:15:00Z,70.268,21.26,20.54270229
2017-01-01T09:20:00Z,70.268,21.26,20.5637215
2017-01-01T09:25:00Z,70.2961349,21.2756305,20.5837376
2017-01-01T09:30:00Z,70.29264,21.27368889,20.60302123
2017-01-01T09:35:00Z,70.304,21.28,20.62054552
2017-01-01T09:40:00Z,70.304,21.28,20.635937
2017-01-01T09:45:00Z,70.304,21.28,20.64941724
2017-01-01T09:50:00Z,70.23947,21.24415,20.66278535
2017-01-01T09:55:00Z,70.24683,21.24823889,20.67317697
2017-01-01T10:00:00Z,70.232,21.24,20.68324356
2017-01-01T10:05:00Z,70.232,21.24,20.69077765
2017-01-01T10:10:00Z,70.232,21.24,20.69767041
2017-01-01T10:15:00Z,70.25155,21.25086111,20.70020838
2017-01-01T10:20:00Z,70.18017,21.21120556,20.70133909
2017-01-01T10:25:00Z,70.18641,21.21467222,20.70302699
2017-01-01T10:30:00Z,70.18983,21.21657222,20.70414105
2017-01-01T10:35:00Z,70.1258,21.181,20.70240026
2017-01-01T10:40:00Z,70.157135,21.19840833,20.69867609
2017-01-01T10:45:00Z,70.16163,21.20090556,20.69446027
2017-01-01T10:50:00Z,70.124,21.18,20.69012875
