,f,c
2017-01-01T05:05:00Z,36.55,2.527777778
2017-01-01T05:10:00Z,36.55,2.527777778
2017-01-01T05:15:00Z,36.45,2.472222222
2017-01-01T05:20:00Z,36.41,2.45
2017-01-01T05:25:00Z,36.36,2.422222222
2017-01-01T05:30:00Z,36.41,2.45
2017-01-01T05:35:00Z,36.3,2.388888889
2017-01-01T05:40:00Z,36.34,2.411111111
2017-01-01T05:45:00Z,36.25,2.361111111
2017-01-01T05:50:00Z,36.27,2.372222222
2017-01-01T05:55:00Z,36.28,2.377777778
2017-01-01T06:00:00Z,36.28,2.377777778
2017-01-01T06:05:00Z,36.25,2.361111111
2017-01-01T06:10:00Z,36.25,2.361111111
2017-01-01T06:15:00Z,36.21,2.338888889
2017-01-01T06:20:00Z,36.19,2.327777778
2017-01-01T06:25:00Z,36.25,2.361111111
2017-01-01T06:30:00Z,36.23,2.35
2017-01-01T06:35:00Z,36.25,2.361111111
2017-01-01T06:40:00Z,36.23,2.35
2017-01-01T06:45:00Z,35.98,2.211111111
2017-01-01T06:50:00Z,36.18,2.322222222
2017-01-01T06:55:00Z,36.3,2.388888889
2017-01-01T07:00:00Z,36.28,2.377777778
2017-01-01T07:05:00Z,36.12,2.288888889
2017-01-01T07:10:00Z,36.25,2.361111111
2017-01-01T07:15:00Z,35.76,2.088888889
2017-01-01T07:20:00Z,35.87,2.15
2017-01-01T07:25:00Z,35.83,2.127777778
2017-01-01T07:30:00Z,35.71,2.061111111
2017-01-01T07:35:00Z,35.91,2.172222222
2017-01-01T07:40:00Z,36.01,2.227777778
2017-01-01T07:45:00Z,36.16,2.311111111
2017-01-01T07:50:00Z,35.65,2.027777778
2017-01-01T07:55:00Z,35.53,1.961111111
2017-01-01T08:00:00Z,35.33,1.85
2017-01-01T08:05:00Z,35.19,1.772222222
2017-01-01T08:10:00Z,35.08,1.711111111
2017-01-01T08:15:00Z,35.19,1.772222222
2017-01-01T08:20:00Z,35.2,1.777777778
2017-01-01T08:25:00Z,35.22,1.788888889
2017-01-01T08:30:00Z,35.19,1.772222222
2017-01-01T08:35:00Z,35.28,1.822222222
2017-01-01T08:40:00Z,35.29,1.827777778
2017-01-01T08:45:00Z,35.22,1.788888889
2017-01-01T08:50:00Z,35.58,1.988888889
2017-01-01T08:55:00Z,35.64,2.022222222
2017-01-01T09:00:00Z,35.58,1.988888889
2017-01-01T09:05:00Z,34.97,1.65
2017-01-01T09:10:00Z,34.57,1.427777778
2017-01-01T09:15:00Z,34.29,1.272222222
2017-01-01T09:20:00Z,34.14,1.188888889
2017-01-01T09:25:00Z,33.98,1.1
2017-01-01T09:30:00Z,33.71,0.95
