,%
2017-01-01T05:05:00Z,89.2
2017-01-01T05:10:00Z,88.9
2017-01-01T05:15:00Z,88.7
2017-01-01T05:20:00Z,88.4
2017-01-01T05:25:00Z,88.2
2017-01-01T05:30:00Z,88.1
2017-01-01T05:35:00Z,88
2017-01-01T05:40:00Z,87.8
2017-01-01T05:45:00Z,87.7
2017-01-01T05:50:00Z,87.6
2017-01-01T05:55:00Z,87.5
2017-01-01T06:00:00Z,87.3
2017-01-01T06:05:00Z,87.2
2017-01-01T06:10:00Z,87
2017-01-01T06:15:00Z,86.9
2017-01-01T06:20:00Z,87
2017-01-01T06:25:00Z,87
2017-01-01T06:30:00Z,86.8
2017-01-01T06:35:00Z,86.7
2017-01-01T06:40:00Z,86.8
2017-01-01T06:45:00Z,87.7
2017-01-01T06:50:00Z,88.7
2017-01-01T06:55:00Z,89
2017-01-01T07:00:00Z,88.8
2017-01-01T07:05:00Z,89
2017-01-01T07:10:00Z,89.8
2017-01-01T07:15:00Z,90.4
2017-01-01T07:20:00Z,91.1
2017-01-01T07:25:00Z,91.7
2017-01-01T07:30:00Z,92.6
2017-01-01T07:35:00Z,92.6
2017-01-01T07:40:00Z,92
2017-01-01T07:45:00Z,90.3
2017-01-01T07:50:00Z,89
2017-01-01T07:55:00Z,88.6
2017-01-01T08:00:00Z,88.5
2017-01-01T08:05:00Z,89
2017-01-01T08:10:00Z,89.8
2017-01-01T08:15:00Z,90.5
2017-01-01T08:20:00Z,90.9
2017-01-01T08:25:00Z,91.2
2017-01-01T08:30:00Z,91.4
2017-01-01T08:35:00Z,91.7
2017-01-01T08:40:00Z,91.8
2017-01-01T08:45:00Z,92
2017-01-01T08:50:00Z,92.3
2017-01-01T08:55:00Z,92
2017-01-01T09:00:00Z,91.6
2017-01-01T09:05:00Z,90.6
2017-01-01T09:10:00Z,90.2
2017-01-01T09:15:00Z,89.5
2017-01-01T09:20:00Z,89.5
2017-01-01T09:25:00Z,89.4
2017-01-01T09:30:00Z,88.8
2017-01-01T09:35:00Z,88.3
2017-01-01T09:40:00Z,87.8
2017-01-01T09:45:00Z,87.4
2017-01-01T09:50:00Z,87.1
2017-01-01T09:55:00Z,86.6
2017-01-01T10:00:00Z,86.3
2017-01-01T10:05:00Z,85.7
2017-01-01T10:10:00Z,85.3
2017-01-01T10:15:00Z,84.9
2017-01-01T10:20:00Z,84.8
2017-01-01T10:25:00Z,84.7
2017-01-01T10:30:00Z,84.7
2017-01-01T10:35:00Z,84.5
2017-01-01T10:40:00Z,84.6
2017-01-01T10:45:00Z,84.7
