,f,c
2017-01-01T05:05:00Z,39.45,4.138888889
2017-01-01T05:10:00Z,39.55,4.194444444
2017-01-01T05:15:00Z,39.5,4.166666667
2017-01-01T05:20:00Z,39.55,4.194444444
2017-01-01T05:25:00Z,39.55,4.194444444
2017-01-01T05:30:00Z,39.64,4.244444444
2017-01-01T05:35:00Z,39.55,4.194444444
2017-01-01T05:40:00Z,39.64,4.244444444
2017-01-01T05:45:00Z,39.6,4.222222222
2017-01-01T05:50:00Z,39.64,4.244444444
2017-01-01T05:55:00Z,39.69,4.272222222
2017-01-01T06:00:00Z,39.74,4.3
2017-01-01T06:05:00Z,39.74,4.3
2017-01-01T06:10:00Z,39.78,4.322222222
2017-01-01T06:15:00Z,39.78,4.322222222
2017-01-01T06:20:00Z,39.74,4.3
2017-01-01T06:25:00Z,39.78,4.322222222
2017-01-01T06:30:00Z,39.83,4.35
2017-01-01T06:35:00Z,39.88,4.377777778
2017-01-01T06:40:00Z,39.83,4.35
2017-01-01T06:45:00Z,39.31,4.061111111
2017-01-01T06:50:00Z,39.22,4.011111111
2017-01-01T06:55:00Z,39.27,4.038888889
2017-01-01T07:00:00Z,39.31,4.061111111
2017-01-01T07:05:00Z,39.08,3.933333333
2017-01-01T07:10:00Z,38.98,3.877777778
2017-01-01T07:15:00Z,38.32,3.511111111
2017-01-01T07:20:00Z,38.23,3.461111111
2017-01-01T07:25:00Z,38.04,3.355555556
2017-01-01T07:30:00Z,37.66,3.144444444
2017-01-01T07:35:00Z,37.85,3.25
2017-01-01T07:40:00Z,38.13,3.405555556
2017-01-01T07:45:00Z,38.75,3.75
2017-01-01T07:50:00Z,38.61,3.672222222
2017-01-01T07:55:00Z,38.61,3.672222222
2017-01-01T08:00:00Z,38.42,3.566666667
2017-01-01T08:05:00Z,38.13,3.405555556
2017-01-01T08:10:00Z,37.8,3.222222222
2017-01-01T08:15:00Z,37.7,3.166666667
2017-01-01T08:20:00Z,37.61,3.116666667
2017-01-01T08:25:00Z,37.56,3.088888889
2017-01-01T08:30:00Z,37.46,3.033333333
2017-01-01T08:35:00Z,37.46,3.033333333
2017-01-01T08:40:00Z,37.46,3.033333333
2017-01-01T08:45:00Z,37.32,2.955555556
2017-01-01T08:50:00Z,37.61,3.116666667
2017-01-01T08:55:00Z,37.75,3.194444444
2017-01-01T09:00:00Z,37.8,3.222222222
2017-01-01T09:05:00Z,37.46,3.033333333
2017-01-01T09:10:00Z,37.18,2.877777778
2017-01-01T09:15:00Z,37.08,2.822222222
2017-01-01T09:20:00Z,36.94,2.744444444
2017-01-01T09:25:00Z,36.79,2.661111111
2017-01-01T09:30:00Z,36.7,2.611111111
2017-01-01T09:35:00Z,36.55,2.527777778
2017-01-01T09:40:00Z,36.41,2.45
2017-01-01T09:45:00Z,36.27,2.372222222
2017-01-01T09:50:00Z,36.27,2.372222222
2017-01-01T09:55:00Z,36.07,2.261111111
2017-01-01T10:00:00Z,36.12,2.288888889
2017-01-01T10:05:00Z,35.98,2.211111111
2017-01-01T10:10:00Z,36.02,2.233333333
2017-01-01T10:15:00Z,35.78,2.1
2017-01-01T10:20:00Z,35.78,2.1
2017-01-01T10:25:00Z,35.83,2.127777778
2017-01-01T10:30:00Z,35.83,2.127777778
2017-01-01T10:35:00Z,35.73,2.072222222
2017-01-01T10:40:00Z,35.69,2.05
2017-01-01T10:45:00Z,35.69,2.05
2017-01-01T10:50:00Z,35.69,2.05
2017-01-01T10:55:00Z,35.64,2.022222222
2017-01-01T11:00:00Z,35.64,2.022222222
2017-01-01T11:05:00Z,35.44,1.911111111
2017-01-01T11:10:00Z,35.35,1.861111111
2017-01-01T11:15:00Z,35.25,1.805555556
2017-01-01T11:20:00Z,35.01,1.672222222
2017-01-01T11:25:00Z,35.01,1.672222222
2017-01-01T11:30:00Z,35.01,1.672222222
2017-01-01T11:35:00Z,34.81,1.561111111
2017-01-01T11:40:00Z,34.71,1.505555556
2017-01-01T11:45:00Z,34.52,1.4
2017-01-01T11:50:00Z,34.37,1.316666667
2017-01-01T11:55:00Z,34.22,1.233333333
2017-01-01T12:00:00Z,34.22,1.233333333
2017-01-01T12:05:00Z,34.08,1.155555556
2017-01-01T12:10:00Z,34.03,1.127777778
2017-01-01T12:15:00Z,34.03,1.127777778
2017-01-01T12:20:00Z,34.03,1.127777778
2017-01-01T12:25:00Z,34.03,1.127777778
2017-01-01T12:30:00Z,34.03,1.127777778
2017-01-01T12:35:00Z,33.88,1.044444444
2017-01-01T12:40:00Z,33.63,0.905555556
2017-01-01T12:45:00Z,33.44,0.8
2017-01-01T12:50:00Z,33.44,0.8
2017-01-01T12:55:00Z,33.48,0.822222222
2017-01-01T13:00:00Z,33.68,0.933333333
2017-01-01T13:05:00Z,33.93,1.072222222
2017-01-01T13:10:00Z,34.03,1.127777778
2017-01-01T13:15:00Z,34.22,1.233333333
2017-01-01T13:20:00Z,34.42,1.344444444
2017-01-01T13:25:00Z,34.52,1.4
2017-01-01T13:30:00Z,34.47,1.372222222
2017-01-01T13:35:00Z,34.37,1.316666667
2017-01-01T13:40:00Z,34.96,1.644444444
2017-01-01T13:45:00Z,35.35,1.861111111
2017-01-01T13:50:00Z,35.54,1.966666667
2017-01-01T13:55:00Z,35.83,2.127777778
2017-01-01T14:00:00Z,35.88,2.155555556
2017-01-01T14:05:00Z,35.44,1.911111111
2017-01-01T14:10:00Z,35.35,1.861111111
2017-01-01T14:15:00Z,35.39,1.883333333
2017-01-01T14:20:00Z,35.54,1.966666667
2017-01-01T14:25:00Z,35.73,2.072222222
2017-01-01T14:30:00Z,35.73,2.072222222
2017-01-01T14:35:00Z,35.83,2.127777778
2017-01-01T14:40:00Z,36.17,2.316666667
2017-01-01T14:45:00Z,36.02,2.233333333
2017-01-01T14:50:00Z,35.93,2.183333333
2017-01-01T14:55:00Z,36.55,2.527777778
2017-01-01T15:00:00Z,36.6,2.555555556
2017-01-01T15:05:00Z,37.8,3.222222222
2017-01-01T15:10:00Z,38.7,3.722222222
2017-01-01T15:15:00Z,38.32,3.511111111
2017-01-01T15:20:00Z,38.04,3.355555556
2017-01-01T15:25:00Z,39.03,3.905555556
2017-01-01T15:30:00Z,39.74,4.3
2017-01-01T15:35:00Z,40.25,4.583333333
2017-01-01T15:40:00Z,41.14,5.077777778
2017-01-01T15:45:00Z,41.65,5.361111111
2017-01-01T15:50:00Z,41.74,5.411111111
2017-01-01T15:55:00Z,41.37,5.205555556
2017-01-01T16:00:00Z,40.44,4.688888889
2017-01-01T16:05:00Z,40.63,4.794444444
2017-01-01T16:10:00Z,41.42,5.233333333
2017-01-01T16:15:00Z,39.74,4.3
2017-01-01T16:20:00Z,39.83,4.35
2017-01-01T16:25:00Z,39.97,4.427777778
2017-01-01T16:30:00Z,40.44,4.688888889
2017-01-01T16:35:00Z,40.53,4.738888889
2017-01-01T16:40:00Z,41.23,5.127777778
2017-01-01T16:45:00Z,41.74,5.411111111
2017-01-01T16:50:00Z,41.32,5.177777778
2017-01-01T16:55:00Z,40.81,4.894444444
2017-01-01T17:00:00Z,40.81,4.894444444
2017-01-01T17:05:00Z,39.69,4.272222222
2017-01-01T17:10:00Z,39.78,4.322222222
2017-01-01T17:15:00Z,40.3,4.611111111
2017-01-01T17:20:00Z,40.86,4.922222222
2017-01-01T17:25:00Z,41.88,5.488888889
