,mph,
2017-01-01T05:05:00Z,2.3,1.028192
2017-01-01T05:10:00Z,5.6,2.503424
2017-01-01T05:15:00Z,3.9,1.743456
2017-01-01T05:20:00Z,4.5,2.01168
2017-01-01T05:25:00Z,2.8,1.251712
2017-01-01T05:30:00Z,2.8,1.251712
2017-01-01T05:35:00Z,3.4,1.519936
2017-01-01T05:40:00Z,5.6,2.503424
2017-01-01T05:45:00Z,4.5,2.01168
2017-01-01T05:50:00Z,2.8,1.251712
2017-01-01T05:55:00Z,2.8,1.251712
2017-01-01T06:00:00Z,2.8,1.251712
2017-01-01T06:05:00Z,3.4,1.519936
2017-01-01T06:10:00Z,3.9,1.743456
2017-01-01T06:15:00Z,3.4,1.519936
2017-01-01T06:20:00Z,3.4,1.519936
2017-01-01T06:25:00Z,3.4,1.519936
2017-01-01T06:30:00Z,2.8,1.251712
2017-01-01T06:35:00Z,2.3,1.028192
2017-01-01T06:40:00Z,4.5,2.01168
2017-01-01T06:45:00Z,8.4,3.755136
2017-01-01T06:50:00Z,3.4,1.519936
2017-01-01T06:55:00Z,4.5,2.01168
2017-01-01T07:00:00Z,5.1,2.279904
2017-01-01T07:05:00Z,2.3,1.028192
2017-01-01T07:10:00Z,1.1,0.491744
2017-01-01T07:15:00Z,3.4,1.519936
2017-01-01T07:20:00Z,3.9,1.743456
2017-01-01T07:25:00Z,1.7,0.759968
2017-01-01T07:30:00Z,3.9,1.743456
2017-01-01T07:35:00Z,1.1,0.491744
2017-01-01T07:40:00Z,1.7,0.759968
2017-01-01T07:45:00Z,5.1,2.279904
2017-01-01T07:50:00Z,3.9,1.743456
2017-01-01T07:55:00Z,2.8,1.251712
2017-01-01T08:00:00Z,1.1,0.491744
2017-01-01T08:05:00Z,1.1,0.491744
2017-01-01T08:10:00Z,2.3,1.028192
2017-01-01T08:15:00Z,2.3,1.028192
2017-01-01T08:20:00Z,2.3,1.028192
2017-01-01T08:25:00Z,1.7,0.759968
2017-01-01T08:30:00Z,1.1,0.491744
