,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s
1/01/2017 1:00,0,0,2.428240741,88.11666667,4.217592592,240.75,1.631696
1/01/2017 2:00,0,0,2.342592593,87.46666667,4.234722222,251.25,1.806786667
1/01/2017 3:00,0,0,2.135648148,90.46666667,3.55,281.3333333,1.192106667
1/01/2017 4:00,0,0,1.836111111,91.18333333,3.132407407,247.1666667,0.528997333
1/01/2017 5:00,0,0,0.87037037,88.45833333,2.585185185,299.0833333,0.16764
1/01/2017 6:00,0,0,-0.193981481,84.8,2.097222222,306.0833333,0
1/01/2017 7:00,0,0,-1.228240741,81.65833333,1.57037037,305.6666667,0.022352
1/01/2017 8:00,0,0,-2.194444444,79.18333333,1.008333333,305.0833333,0
1/01/2017 9:00,31.55065677,120.5049405,-1.608333333,79.50833333,1.551851852,319.75,0
1/01/2017 10:00,80.34808569,40.3496545,-1.606944444,76.20833333,2.142592593,301.3333333,0
1/01/2017 11:00,89.93254637,646.0959326,-0.603703704,70.15833333,4.362037037,170.3333333,0
1/01/2017 12:00,83.87229875,799.6568506,-0.778240741,66.94166667,4.836574074,212.4166667,0.089408
1/01/2017 13:00,81.37587076,833.3810725,-0.378240741,66.01666667,5.459259259,239.5,0.320378667
1/01/2017 14:00,77.78792163,815.7048409,-0.328703704,62.5,6.30462963,242.1666667,0.275674667
1/01/2017 15:00,64.48825364,787.7039537,-0.281944445,58.775,7.241203704,184,0.301752
1/01/2017 16:00,48.70251187,606.6308945,-0.012962963,57.48333333,7.855555555,129.25,0.022352
1/01/2017 17:00,16.49335409,279.8542519,-0.054166667,61.85,6.743518519,127.0833333,0.022352
1/01/2017 18:00,0,0,0.05787037,67.65833333,5.565740741,116.4166667,0
1/01/2017 19:00,0,0,0.159722222,72.7,4.6375,98.25,0.022352
1/01/2017 20:00,0,0,0.221759259,73.16666667,4.60787037,86.25,0.022352
1/01/2017 21:00,0,0,0.06712963,75.1,4.075462963,75.58333333,0.130386667
1/01/2017 22:00,0,0,-0.27962963,75.275,3.685185185,55.16666667,0
1/01/2017 23:00,0,0,-0.537962963,75.31666667,3.411111111,57.41666667,0
2/01/2017 0:00,0,0,-0.754166667,76.98333333,2.881481482,88.25,0
2/01/2017 1:00,0,0,-0.693981481,77.15833333,2.906944444,41.66666667,0.044704
2/01/2017 2:00,0,0,-0.371296296,78.53333333,2.993981482,66.66666667,0
2/01/2017 3:00,0,0,0.582407407,84.2,2.985185185,55.25,0
2/01/2017 4:00,0,0,1.548611111,88.65,3.240277778,11.5,0
2/01/2017 5:00,0,0,3.06712963,93.675,3.994444445,166.8333333,0
2/01/2017 6:00,0,0,4.859259259,95.975,5.44537037,69.58333333,0
2/01/2017 7:00,0,0,5.407407407,97.03333333,5.835648148,84.16666667,0.022352
2/01/2017 8:00,0,0,5.627314815,97.4,6.002777778,82.08333333,0.063330667
2/01/2017 9:00,10.89272629,1.731747936,5.876388889,97.375,6.256944445,86.25,0.044704
2/01/2017 10:00,40.82889874,2.908372452,6.2625,97.84166667,6.574074074,73.5,0.040978667
2/01/2017 11:00,49.1400772,0.965103578,6.678240741,98.14166667,6.945370371,91.08333333,0.171365333
2/01/2017 12:00,70.04130784,1.249465587,7.128240741,98.25833333,7.377777778,113.5833333,0.134112
2/01/2017 13:00,67.03989151,0.900087472,7.680092593,98.15,7.945833333,82.16666667,0
2/01/2017 14:00,81.86030679,2.795701392,8.030555556,98.24166667,8.282407407,100,0.022352
2/01/2017 15:00,54.87417179,1.850997034,8.1875,98.35,8.425462963,75.08333333,0.063330667
2/01/2017 16:00,34.60199483,3.282849732,8.202314815,98.125,8.471759259,87.91666667,0.044704
2/01/2017 17:00,9.057513641,2.482003915,8.056944444,97.61666667,8.403240741,73.25,0.104309333
2/01/2017 18:00,0,0,7.924537037,96.73333333,8.406018518,79.5,0.022352
2/01/2017 19:00,0,0,7.430555556,95.275,8.135185185,79.75,0.126661333
2/01/2017 20:00,0,0,6.789814815,92.00833333,8.001851852,89.66666667,0.2794
