Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW North Zone Average Temperature [C](Hourly),EMS:IW Calculated Heating Demand [KW](TimeStep),EMS:IW Calculated Heating Energy [KWH](Hourly),TEMPHWLOOP SUPPLY SIDE OUTLET:System Node Temperature [C](TimeStep),TEMPHWLOOP DEMAND SIDE INLET BRANCH PIPE OUTLET:System Node Temperature [C](TimeStep) 
 01/01  00:05:00,20.2919374258,,13.7858805386,14.1169693378,36.65785,36.0902422712
 01/01  00:10:00,20.2773985441,,13.8839583595,,36.38173333,36.3561609235
 01/01  00:15:00,20.2795683465,,13.8993171203,,36.91682778,36.5790210001
 01/01  00:20:00,20.2861040491,,14.5663657289,,37.48085,37.0178001702
 01/01  00:25:00,20.3018463677,,15.1601991576,,38.49283833,37.7112510582
 01/01  00:30:00,20.3102738183,,14.3854145686,,36.92691667,37.6207465045
 01/01  00:35:00,20.316691015,,13.1824663657,,36.56209444,37.0251916781
 01/01  00:40:00,20.3215609327,,13.1411817132,,36.88230556,36.8447985559
 01/01  00:45:00,20.3232434104,,13.7062451626,,37.38586667,37.0633410109
 01/01  00:50:00,20.3241702636,,14.5466180235,,37.88405944,37.4667442865
 01/01  00:55:00,20.3352361161,,14.8989460163,,38.39494056,37.9372017372
 01/01  01:00:00,20.3388479082,20.3089065165,14.2470392988,14.1169693378,37.24123639,37.7930655698
 01/01  01:05:00,20.3403989232,,13.3654126183,14.0717349737,36.88265556,37.2930451739
 01/01  01:10:00,20.3402460934,,13.0897519232,,36.72095556,36.9616148866
 01/01  01:15:00,20.3370435647,,13.5927815796,,37.40917778,37.0688441579
 01/01  01:20:00,20.3321929809,,14.4041593327,,37.96583833,37.5064452435
 01/01  01:25:00,20.3277449966,,15.063609259,,38.52876,38.0245424619
 01/01  01:30:00,20.3246608653,,14.6755443559,,37.23988333,37.8588282829
 01/01  01:35:00,20.3320080035,,13.5953222353,,36.95423889,37.3428812872
 01/01  01:40:00,20.3281286868,,13.2331702339,,36.71838333,36.9971532476
 01/01  01:45:00,20.3193064029,,13.6718106505,,37.40301344,37.0780043518
 01/01  01:50:00,20.3096562588,,14.4367893578,,37.89360889,37.4801103115
 01/01  01:55:00,20.2978062337,,15.1347779711,,38.54309056,38.0014458704
 01/01  02:00:00,20.2868884166,20.3230067856,14.5976901669,14.0717349737,37.244,37.8563443267
 01/01  02:05:00,20.2790928271,,13.6402949638,,36.92142489,37.3305026942
 01/01  02:10:00,20.2686665373,,13.6229872777,,37.10815556,37.1341287953
 01/01  02:15:00,20.2544324715,,14.1844231992,,37.66650306,37.3321386347
 01/01  02:20:00,20.2393214405,,14.8642452373,,38.15204222,37.7384328561
 01/01  02:25:00,20.2220617199,,15.7644055721,,39.17105556,38.4021640435
 01/01  02:30:00,20.2070042583,,15.1488054302,,37.61526111,38.3072334627
 01/01  02:35:00,20.1928891494,,13.9889714436,,37.20576394,37.6956905658
 01/01  02:40:00,20.1752969658,,13.5041946655,,36.8211,37.2262229677
 01/01  02:45:00,20.1564808252,,13.9513998338,,37.57690856,37.2516198679
 01/01  02:50:00,20.1393352773,,14.9738276804,,38.43417722,37.7951312558
 01/01  02:55:00,20.1283474787,,15.8411725967,,39.12815944,38.4815303411
 01/01  03:00:00,20.1205401699,20.1986224267,15.2598468809,14.5620478984,37.93649056,38.446655259
 01/01  03:05:00,20.1140727107,,14.2012815273,,37.42814444,37.916279126
 01/01  03:10:00,20.1069009545,,13.5751932912,,36.91042222,37.3967401433
 01/01  03:15:00,20.0934698521,,14.3097572031,,38.27357,37.6027988023
 01/01  03:20:00,20.0762915955,,15.5835479889,,38.99203389,38.3194337345
 01/01  03:25:00,20.0607850666,,15.0193976957,,37.55067778,38.2054260893
 01/01  03:30:00,20.0467463408,,14.4550197693,,37.90426889,37.9121954465
 01/01  03:35:00,20.0320557482,,14.3394625932,,37.49562778,37.7496111012
 01/01  03:40:00,20.0159117476,,14.2922189356,,37.52883061,37.5958249784
 01/01  03:45:00,19.9992098738,,14.6093574658,,37.91426778,37.7003358565
 01/01  03:50:00,19.9828477508,,15.191794994,,38.43442722,38.0409786769
 01/01  03:55:00,19.967182494,,15.7148309913,,38.77781333,38.4312735741
 01/01  04:00:00,19.9574493398,20.0377436229,15.3368909731,14.7190627857,38.06388889,38.3835865211
 01/01  04:05:00,19.9485850422,,14.6555771603,,37.66227778,38.0192358607
 01/01  04:10:00,19.9404121818,,14.0866238559,,37.11223889,37.5732819806
 01/01  04:15:00,19.9264221439,,14.2671872278,,37.66535,37.4839361378
 01/01  04:20:00,19.9084146344,,15.0540133906,,38.29714889,37.8462493947
 01/01  04:25:00,19.890652664,,16.1642936808,,39.42441722,38.5761309524
 01/01  04:30:00,19.8755664331,,15.6775950004,,37.82614389,38.5169106252
 01/01  04:35:00,19.867503184,,14.5173394124,,37.39491356,37.897788028
