Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),EMS:IW Calculated Heating Demand [KW](TimeStep) 
 01/01  01:00:00,22.8836136732519,14.4148022307844 
 01/01  02:00:00,22.6792942965992,14.1142425134917 
 01/01  03:00:00,22.5476950737985,13.5022524380396 
 01/01  04:00:00,22.4106257468463,13.3047416855115 
 01/01  05:00:00,22.2547314049205,12.9710381459431 
 01/01  06:00:00,22.0887693275455,12.8076392958912 
 01/01  07:00:00,21.9106485340476,12.6570832025156 
 01/01  08:00:00,21.7213243456483,12.3725209898717 
 01/01  09:00:00,21.5247452988508,14.981423774047 
 01/01  10:00:00,21.3161125853191,25.4785363641856 
 01/01  11:00:00,21.2402218223991,48.2223139504899 
 01/01  12:00:00,21.5065384834932,49.1907710059398 
 01/01  13:00:00,22.8177225703804,41.0861480797901 
 01/01  14:00:00,23.9038134099899,37.8687354240742 
 01/01  15:00:00,24.2003300909177,35.485482976922 
 01/01  16:00:00,24.3384492970863,32.9363549809558 
 01/01  17:00:00,24.436905702705,31.1565498327747 
 01/01  18:00:00,24.5602491831675,30.7903548011527 
 01/01  19:00:00,24.5171649900355,29.4039429883681 
 01/01  20:00:00,24.337649293979,23.3648942961003 
 01/01  21:00:00,24.1468673305898,22.0331803200051 
 01/01  22:00:00,23.9594240155148,20.6901092551163 
 01/01  23:00:00,23.7556057422771,19.9531641685194 
 01/01  24:00:00,23.5285197227674,19.290866557131 
 01/02  01:00:00,23.290424140209,19.6903323648965 
 01/02  02:00:00,23.030200239021,16.2003135283067 
 01/02  03:00:00,22.8063898617992,15.8634727879776 
 01/02  04:00:00,22.6380792281071,15.0912110140613 
 01/02  05:00:00,22.4656312410547,14.5627179546289 
 01/02  06:00:00,22.290216806881,14.3469132853867 
 01/02  07:00:00,22.1231031983016,13.1729814440881 
 01/02  08:00:00,21.9795761789687,15.9569115203509 
 01/02  09:00:00,21.8337806324099,15.3726185100814 
 01/02  10:00:00,21.6886326667145,14.3371173166387 
 01/02  11:00:00,21.5496078439766,24.6204013453862 
 01/02  12:00:00,21.5208529066968,48.6846723870972 
 01/02  13:00:00,21.8352428021525,40.7197671187667 
 01/02  14:00:00,22.2533288959207,35.8548499222962 
 01/02  15:00:00,22.504075720745,34.6542143556135 
 01/02  16:00:00,22.6789994518369,30.2250122585957 
 01/02  17:00:00,22.7294549437251,30.2476011720351 
 01/02  18:00:00,22.743608353037,27.3986520422123 
 01/02  19:00:00,22.7350400034728,25.3518136494802 
 01/02  20:00:00,22.7057027777186,23.3536178210653 
 01/02  21:00:00,22.6544175467625,18.2653541149769 
 01/02  22:00:00,22.5895536075504,17.4499750879739 
 01/02  23:00:00,22.5182770736667,16.726750745568 
 01/02  24:00:00,22.4328543470714,16.0304352699117 
 01/03  01:00:00,22.3304449554714,15.7128452767601 
 01/03  02:00:00,22.2162891054481,14.8277188940438 
 01/03  03:00:00,22.0937060362105,14.5444460178231 
 01/03  04:00:00,21.9625542638337,14.1244100728949 
 01/03  05:00:00,21.8321239977229,13.9971036323486 
 01/03  06:00:00,21.7057568521883,13.0988172230747 
 01/03  07:00:00,21.5860800093909,12.723306957645 
 01/03  08:00:00,21.4615194528027,15.7460462842312 
 01/03  09:00:00,21.3370036922148,26.5380125291559 
 01/03  10:00:00,21.3054625900142,48.1905794990199 
 01/03  11:00:00,21.6013567562027,50.2959640854432 
 01/03  12:00:00,22.0384394156438,45.1248366965834 
 01/03  13:00:00,22.4463498388955,40.9125157031951 
 01/03  14:00:00,22.7023902628471,38.1417403836245 
 01/03  15:00:00,22.874058835827,30.5103328416696 
 01/03  16:00:00,22.9116505191561,28.6213515406296 
 01/03  17:00:00,22.9067576168083,27.7986731386173 
 01/03  18:00:00,22.8887764015429,26.2751677009865 
 01/03  19:00:00,22.8566777569548,24.6891566480933 
 01/03  20:00:00,22.8098293861874,23.310220484177 
 01/03  21:00:00,22.7549075471285,18.484478212944 
 01/03  22:00:00,22.6969663831891,17.4406739232757 
 01/03  23:00:00,22.6474981727704,17.0524116417547 
 01/03  24:00:00,22.5881782654723,16.2699947217498 
 01/04  01:00:00,22.5189063776259,16.3279134203868 
 01/04  02:00:00,22.4184550307299,18.6837233512935 
 01/04  03:00:00,22.2701560693793,17.5920120495964 
 01/04  04:00:00,22.064815623608,14.7093488723848 
 01/04  05:00:00,21.8894355653629,14.2739089410033 
 01/04  06:00:00,21.7582266713421,13.3335131453234 
 01/04  07:00:00,21.6204133379816,15.665861571648 
 01/04  08:00:00,21.4286595069318,35.0061132335394 
 01/04  09:00:00,21.2996154445497,48.8150324965914 
 01/04  10:00:00,21.5215332118561,51.4841052096813 
 01/04  11:00:00,21.8499198345617,46.4204246943114 
 01/04  12:00:00,22.1601051329532,40.9294585264955 
 01/04  13:00:00,22.5811678305232,38.6609612610568 
 01/04  14:00:00,22.9670228694308,36.4831993020972 
 01/04  15:00:00,23.0821415072079,35.1078343638236 
 01/04  16:00:00,22.9335070144284,32.6789801565427 
 01/04  17:00:00,22.7170421772745,29.2192682660271 
 01/04  18:00:00,22.6270628463169,31.1214000583219 
 01/04  19:00:00,22.3837839625792,40.1432896079076 
 01/04  20:00:00,22.1913751114309,44.1302651837991 
 01/04  21:00:00,22.1580698859158,33.7377363849097 
 01/04  22:00:00,22.1258335881393,30.5222729898665 
 01/04  23:00:00,21.9721923008335,29.2763366363689 
 01/04  24:00:00,21.7594734655122,28.2466015827802 
 01/05  01:00:00,21.5083187781015,27.0628481613841 
 01/05  02:00:00,21.221090600619,26.7813872310817 
 01/05  03:00:00,20.9077117322263,25.1893948591573 
 01/05  04:00:00,20.5839833431866,23.8691354814395 
 01/05  05:00:00,20.2558922474,33.5283127415777 
 01/05  06:00:00,20.0572692023812,36.2246894014002 
 01/05  07:00:00,20.0213584303094,39.5283130064674 
 01/05  08:00:00,20.0366263680933,49.2528007866222 
 01/05  09:00:00,20.0525270307133,50.0182006448518 
 01/05  10:00:00,20.0736679482752,50.9624855394389 
 01/05  11:00:00,20.1419195858696,55.432407064736 
 01/05  12:00:00,20.5979305377415,54.7692693194345 
 01/05  13:00:00,21.0285661563145,54.3771253338752 
 01/05  14:00:00,21.1913055222277,54.5487594311528 
 01/05  15:00:00,21.2774648358629,54.2510421447397 
 01/05  16:00:00,21.3661482611453,54.4378501523744 
 01/05  17:00:00,21.4362505718862,53.316603535027 
 01/05  18:00:00,21.5105558625118,54.5945588790419 
 01/05  19:00:00,21.5603188293211,54.5683846800372 
 01/05  20:00:00,21.6030391881299,54.6051681578762 
 01/05  21:00:00,21.6359869883904,43.874855821795 
 01/05  22:00:00,21.6687797028204,38.3600297785335 
 01/05  23:00:00,21.6518563754995,39.5758292391105 
 01/05  24:00:00,21.5932791751338,37.9925943774728 
 01/06  01:00:00,21.4480411313826,36.3154354504803 
 01/06  02:00:00,21.2319903713186,34.7739744786109 
 01/06  03:00:00,20.9706343680832,33.1898028149173 
 01/06  04:00:00,20.6802883085174,32.2573196186142 
 01/06  05:00:00,20.3540949287358,39.2625989928008 
 01/06  06:00:00,20.1033624329493,37.8992662938459 
 01/06  07:00:00,19.9559383189982,39.6553544395764 
 01/06  08:00:00,19.865906986394,50.525077362413 
 01/06  09:00:00,19.770818421843,53.5837336780751 
 01/06  10:00:00,19.70908259447,56.7254853176213 
 01/06  11:00:00,19.7982518002211,56.0316737020773 
 01/06  12:00:00,19.9377478678752,55.2866605312442 
 01/06  13:00:00,20.149341154802,53.5014165295194 
 01/06  14:00:00,20.4819679167868,53.3885459489098 
 01/06  15:00:00,21.0353539324907,52.7664552671585 
 01/06  16:00:00,21.4131913767292,52.9828104043997 
 01/06  17:00:00,21.5674258496974,54.441217421957 
 01/06  18:00:00,21.7304204839654,53.9760411389734 
 01/06  19:00:00,21.7842633803474,53.1217277398884 
 01/06  20:00:00,21.6957577688398,54.0368510771196 
 01/06  21:00:00,21.6228376921155,41.7219687699667 
 01/06  22:00:00,21.5540350325874,39.4574596433759 
 01/06  23:00:00,21.3815187458523,36.9072135820142 
 01/06  24:00:00,21.1672215213875,35.6551197688028 
 01/07  01:00:00,20.9052948824384,34.7134369177682 
 01/07  02:00:00,20.5946057481289,33.2529658994515 
 01/07  03:00:00,20.2613018332185,40.4673103324441 
 01/07  04:00:00,20.0058852332366,39.292100888679 
 01/07  05:00:00,19.8624785193228,48.7713350473643 
 01/07  06:00:00,19.8978173553576,41.0127287843536 
 01/07  07:00:00,19.823920572315,44.4729081861001 
 01/07  08:00:00,19.7672667438965,46.8384414341724 
 01/07  09:00:00,19.761892368854,57.1686958583542 
 01/07  10:00:00,19.7620649230052,57.0711863089762 
 01/07  11:00:00,19.7714001248068,56.6277997192066 
 01/07  12:00:00,19.9757107763189,55.6704023104395 
 01/07  13:00:00,20.3407696228164,55.5200200457931 
 01/07  14:00:00,20.7559178581346,54.6442241697907 
 01/07  15:00:00,21.0433856820094,55.4420184581926 
 01/07  16:00:00,21.2240819512954,56.0429237878066 
 01/07  17:00:00,21.3333287516679,53.6428384582042 
 01/07  18:00:00,21.3826514705435,56.0309262290914 
 01/07  19:00:00,21.3960920835995,56.4490204343428 
 01/07  20:00:00,21.4008988056432,43.5362247598445 
 01/07  21:00:00,21.3443296695728,40.9885065860646 
 01/07  22:00:00,21.1426241387793,38.9786111894931 
 01/07  23:00:00,20.8785774261515,36.2919028483592 
 01/07  24:00:00,20.5807214640531,34.7696144590831 
 01/08  01:00:00,20.2570237455284,40.305346290929 
 01/08  02:00:00,20.0060086965664,46.2964540426273 
 01/08  03:00:00,19.9271383991667,41.7872861048833 
 01/08  04:00:00,19.8054944767897,50.6822873904985 
 01/08  05:00:00,19.7960189516452,43.8767208368849 
 01/08  06:00:00,19.7073542266163,46.5058689405748 
 01/08  07:00:00,19.6787406689881,47.8773744840135 
 01/08  08:00:00,19.6565657156022,47.6270049749306 
 01/08  09:00:00,19.6312139061643,58.4507573096774 
 01/08  10:00:00,19.5857387959645,57.2777862868045 
 01/08  11:00:00,19.7821467626733,57.0836341442256 
 01/08  12:00:00,20.0339865227988,56.0477296869895 
 01/08  13:00:00,20.2941353549618,55.1902143686916 
 01/08  14:00:00,20.4985356337698,56.3271488940332 
 01/08  15:00:00,20.6497882555353,56.5860696641296 
 01/08  16:00:00,20.7915523319737,54.9506636937456 
 01/08  17:00:00,20.887289646757,56.286227280741 
 01/08  18:00:00,21.0717653739913,56.2711561013799 
 01/08  19:00:00,21.1999216051626,56.2440497993737 
 01/08  20:00:00,21.2208724105696,44.7776517751735 
 01/08  21:00:00,21.1956706728089,42.9998320770189 
 01/08  22:00:00,21.1295658950319,39.8692662621802 
 01/08  23:00:00,20.9655653742038,37.6391405888505 
 01/08  24:00:00,20.7400666854523,35.4872646224898 
 01/09  01:00:00,20.4689468384024,41.1754112610567 
 01/09  02:00:00,20.2266652545789,38.1951897790074 
 01/09  03:00:00,20.042078415055,48.0584759677165 
 01/09  04:00:00,20.0177789680737,40.1174725193165 
 01/09  05:00:00,19.8885476133346,43.5926528341601 
 01/09  06:00:00,19.7990413918492,46.9036918864645 
 01/09  07:00:00,19.7724100363819,47.0649314947303 
 01/09  08:00:00,19.7635014909567,55.5872935219647 
 01/09  09:00:00,19.7549930128277,55.1951869680546 
 01/09  10:00:00,19.7538883681335,55.6673198691666 
 01/09  11:00:00,19.762037838887,56.3935687773901 
 01/09  12:00:00,19.855311333666,56.5821874607975 
 01/09  13:00:00,20.0032810691984,57.0126971297549 
