Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.20 23:03
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,48862.37,79.89,89.49
,Net Site Energy,48862.37,79.89,89.49
,Total Source Energy,174392.40,285.13,319.41
,Net Source Energy,174392.40,285.13,319.41


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,611.63
,Net Conditioned Building Area,545.99
,Unconditioned Building Area,65.64


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,44014.83,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,206.71,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2917.17,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,1723.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,4847.54,0.00,0.00,0.00,44014.83,0.00
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,General,0.00,0.00,0.00,0.00,44014.83,0.00
,Cooling,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#corriNor#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#kitchen#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#stairNcom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#corriSou#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#GeneralLights,103.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#GeneralLights,103.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#smallConf#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,ELECTRIC EQUIPMENT#kitchen#05,181.86,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#05,366.78,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#05,360.16,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#05,352.09,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#05,103.43,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#05,110.03,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#05,110.03,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#05,108.05,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#05,352.09,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#05,169.89,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#05,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#05,170.15,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#05,110.12,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,1723.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.38,0.00,0.00,0.00,0.00,0.00
,HVAC,3.16,0.00,0.00,0.00,80.62,0.00
,Other,5.34,0.00,0.00,0.00,0.00,0.00
,Total,8.88,0.00,0.00,0.00,80.62,0.00


Utility Use Per Total Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,0.34,0.00,0.00,0.00,0.00,0.00
,HVAC,2.82,0.00,0.00,0.00,71.96,0.00
,Other,4.77,0.00,0.00,0.00,0.00,0.00
,Total,7.93,0.00,0.00,0.00,71.96,0.00


Electric Loads Satisfied

,,Electricity [kWh],Percent Electricity [%]
,Fuel-Fired Power Generation,0.00,0.00
,High Temperature Geothermal*,0.00,0.00
,Photovoltaic Power,0.00,0.00
,Wind Power,0.00,0.00
,Net Decrease in On-Site Storage,0.00,0.00
,Total On-Site Electric Sources,0.00,0.00
,,,
,Electricity Coming From Utility,4847.54,100.00
,Surplus Electricity Going To Utility,0.00,0.00
,Net Electricity From Utility,4847.54,100.00
,,,
,Total On-Site and Utility Electric Sources,4847.54,100.00
,Total Electricity End Uses,4847.54,100.00


On-Site Thermal Sources

,,Heat [kWh],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,-
,Condensate Collection,0.00,-
,Groundwater Well,0.00,-
,Total On Site Water Sources,0.00,-
,-,-,-
,Initial Storage,0.00,-
,Final Storage,0.00,-
,Change in Storage,0.00,-
,-,-,-
,Water Supplied by Utility,0.00,-
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,0.00,-
,Total Water End Uses,0.00,-


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,0.55
,Tolerance for Zone Cooling Setpoint Not Met Time,0.55


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,130.00
,Time Setpoint Not Met During Occupied Cooling,449.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,804.00


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.20 23:03
,RunPeriod,WHOLEYEAR
,Weather File,Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205
,Latitude [deg],40.35
,Longitude [deg],-79.9
,Elevation [m],380.00
,Time Zone,-5.0
,North Axis Angle [deg],15.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],2160.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],498.67,73.42,181.35,62.58,181.32
,Above Ground Wall Area [m2],498.67,73.42,181.35,62.58,181.32
,Window Opening Area [m2],212.42,30.30,79.90,26.41,75.81
,Gross Window-Wall Ratio [%],42.60,41.27,44.06,42.21,41.81
,Above Ground Window-Wall Ratio [%],42.60,41.27,44.06,42.21,41.81


Conditioned Window-Wall Ratio

