Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2017.09.21 04:20
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,WHOLEYEAR ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2160.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,64141.15,104.87,117.48
,Net Site Energy,64141.15,104.87,117.48
,Total Source Energy,229171.40,374.69,419.74
,Net Source Energy,229171.40,374.69,419.74


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.250
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,611.63
,Net Conditioned Building Area,545.99
,Unconditioned Building Area,65.64


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,58333.90,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,206.71,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2917.17,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,61.71,0.00,0.00,0.00,0.00,0.00
,Pumps,2621.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,5807.26,0.00,0.00,0.00,58333.90,0.00
Note: District heat appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,General,0.00,0.00,0.00,0.00,58333.90,0.00
,Cooling,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,ELECTRIC EQUIPMENT#corriNor#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#kitchen#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#stairNcom#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#corriSou#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#GeneralLights,103.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#GeneralLights,103.36,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#smallConf#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#GeneralLights,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,General,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,ELECTRIC EQUIPMENT#kitchen#05,181.86,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#bas#05,366.78,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-yujie#05,360.16,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-bapp#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-weili#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-zhiang#05,352.09,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-nina#05,103.43,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-volker#05,110.03,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-erica#05,110.03,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-james#05,108.05,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-vivian#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-chenlu#05,352.09,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-omer#05,105.63,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf1#05,169.89,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-annie#05,0.00,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#largeConf0#05,170.15,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#off-surekha#05,110.12,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,61.71,0.00,0.00,0.00,0.00,0.00
,Pumps,General,2621.66,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

