Date/Time,EMS:IW North Zone Average Temperature [C](TimeStep),CMU DISTRICTHEATING:District Heating Hot Water Energy [J](Hourly) 
 01/01  01:00:00,22.8836136732519,0.0 
 01/01  02:00:00,22.6792942965992,0.0 
 01/01  03:00:00,22.5476950737985,0.0 
 01/01  04:00:00,22.4106257468463,0.0 
 01/01  05:00:00,22.2547314049205,0.0 
 01/01  06:00:00,22.0887693275455,0.0 
 01/01  07:00:00,21.9106485340476,0.0 
 01/01  08:00:00,21.7213243456483,0.0 
 01/01  09:00:00,21.5247452988508,0.0 
 01/01  10:00:00,21.3161125853191,1043787253.65294 
 01/01  11:00:00,21.2402218223991,746515225.402744 
 01/01  12:00:00,21.5065384834932,463485926.737754 
 01/01  13:00:00,22.8177225703804,0.0 
 01/01  14:00:00,23.9038134099899,0.0 
 01/01  15:00:00,24.2003300909177,0.0 
 01/01  16:00:00,24.3384492970863,0.0 
 01/01  17:00:00,24.436905702705,0.0 
 01/01  18:00:00,24.5602491831675,0.0 
 01/01  19:00:00,24.5171649900355,0.0 
 01/01  20:00:00,24.337649293979,0.0 
 01/01  21:00:00,24.1468673305898,0.0 
 01/01  22:00:00,23.9594240155148,0.0 
 01/01  23:00:00,23.7556057422771,0.0 
 01/01  24:00:00,23.5285197227674,0.0 
 01/02  01:00:00,23.290424140209,0.0 
 01/02  02:00:00,23.030200239021,0.0 
 01/02  03:00:00,22.8063898617992,0.0 
 01/02  04:00:00,22.6380792281071,0.0 
 01/02  05:00:00,22.4656312410547,0.0 
 01/02  06:00:00,22.290216806881,0.0 
 01/02  07:00:00,22.1231031983016,0.0 
 01/02  08:00:00,21.9795761789687,0.0 
 01/02  09:00:00,21.8337806324099,0.0 
 01/02  10:00:00,21.6886326667145,0.0 
 01/02  11:00:00,21.5496078439766,1039708204.02982 
 01/02  12:00:00,21.5208529066968,744146619.227715 
 01/02  13:00:00,21.8352428021525,4293863.01211744 
 01/02  14:00:00,22.2533288959207,0.0 
 01/02  15:00:00,22.504075720745,20774285.7511716 
 01/02  16:00:00,22.6789994518369,64924849.9166109 
 01/02  17:00:00,22.7294549437251,83513373.4342543 
 01/02  18:00:00,22.743608353037,0.0 
 01/02  19:00:00,22.7350400034728,0.0 
 01/02  20:00:00,22.7057027777186,0.0 
 01/02  21:00:00,22.6544175467625,0.0 
 01/02  22:00:00,22.5895536075504,0.0 
 01/02  23:00:00,22.5182770736667,0.0 
 01/02  24:00:00,22.4328543470714,0.0 
 01/03  01:00:00,22.3304449554714,0.0 
 01/03  02:00:00,22.2162891054481,0.0 
 01/03  03:00:00,22.0937060362105,0.0 
 01/03  04:00:00,21.9625542638337,0.0 
 01/03  05:00:00,21.8321239977229,0.0 
 01/03  06:00:00,21.7057568521883,0.0 
 01/03  07:00:00,21.5860800093909,0.0 
 01/03  08:00:00,21.4615194528027,0.0 
 01/03  09:00:00,21.3370036922148,977998871.370009 
 01/03  10:00:00,21.3054625900142,704581000.004468 
 01/03  11:00:00,21.6013567562027,443435353.830022 
 01/03  12:00:00,22.0384394156438,0.0 
 01/03  13:00:00,22.4463498388955,0.0 
 01/03  14:00:00,22.7023902628471,0.0 
 01/03  15:00:00,22.874058835827,0.0 
 01/03  16:00:00,22.9116505191561,0.0 
 01/03  17:00:00,22.9067576168083,0.0 
 01/03  18:00:00,22.8887764015429,0.0 
 01/03  19:00:00,22.8566777569548,0.0 
 01/03  20:00:00,22.8098293861874,0.0 
 01/03  21:00:00,22.7549075471285,0.0 
 01/03  22:00:00,22.6969663831891,0.0 
 01/03  23:00:00,22.6474981727704,0.0 
 01/03  24:00:00,22.5881782654723,0.0 
 01/04  01:00:00,22.5189063776259,0.0 
 01/04  02:00:00,22.4184550307299,0.0 
 01/04  03:00:00,22.2701560693793,0.0 
 01/04  04:00:00,22.064815623608,0.0 
 01/04  05:00:00,21.8894355653629,0.0 
 01/04  06:00:00,21.7582266713421,0.0 
 01/04  07:00:00,21.6204133379816,0.0 
 01/04  08:00:00,21.4286595069318,1004756322.30687 
 01/04  09:00:00,21.2996154445497,692521759.396947 
 01/04  10:00:00,21.5215332118561,441392367.645659 
