,f,c
2017-01-01T05:05:00Z,97.98413,36.65785
2017-01-01T05:10:00Z,97.48712,36.38173333
2017-01-01T05:15:00Z,98.45029,36.91682778
2017-01-01T05:20:00Z,99.46553,37.48085
2017-01-01T05:25:00Z,101.287109,38.49283833
2017-01-01T05:30:00Z,98.46845,36.92691667
2017-01-01T05:35:00Z,97.81177,36.56209444
2017-01-01T05:40:00Z,98.38815,36.88230556
2017-01-01T05:45:00Z,99.29456,37.38586667
2017-01-01T05:50:00Z,100.191307,37.88405944
2017-01-01T05:55:00Z,101.110893,38.39494056
2017-01-01T06:00:00Z,99.0342255,37.24123639
2017-01-01T06:05:00Z,98.38878,36.88265556
2017-01-01T06:10:00Z,98.09772,36.72095556
2017-01-01T06:15:00Z,99.33652,37.40917778
2017-01-01T06:20:00Z,100.338509,37.96583833
2017-01-01T06:25:00Z,101.351768,38.52876
2017-01-01T06:30:00Z,99.03179,37.23988333
2017-01-01T06:35:00Z,98.51763,36.95423889
2017-01-01T06:40:00Z,98.09309,36.71838333
2017-01-01T06:45:00Z,99.3254242,37.40301344
2017-01-01T06:50:00Z,100.208496,37.89360889
2017-01-01T06:55:00Z,101.377563,38.54309056
2017-01-01T07:00:00Z,99.0392,37.244
2017-01-01T07:05:00Z,98.4585648,36.92142489
2017-01-01T07:10:00Z,98.79468,37.10815556
2017-01-01T07:15:00Z,99.7997055,37.66650306
2017-01-01T07:20:00Z,100.673676,38.15204222
2017-01-01T07:25:00Z,102.5079,39.17105556
2017-01-01T07:30:00Z,99.70747,37.61526111
2017-01-01T07:35:00Z,98.9703751,37.20576394
2017-01-01T07:40:00Z,98.27798,36.8211
2017-01-01T07:45:00Z,99.6384354,37.57690856
2017-01-01T07:50:00Z,101.181519,38.43417722
2017-01-01T07:55:00Z,102.430687,39.12815944
2017-01-01T08:00:00Z,100.285683,37.93649056
2017-01-01T08:05:00Z,99.37066,37.42814444
2017-01-01T08:10:00Z,98.43876,36.91042222
2017-01-01T08:15:00Z,100.892426,38.27357
2017-01-01T08:20:00Z,102.185661,38.99203389
2017-01-01T08:25:00Z,99.59122,37.55067778
2017-01-01T08:30:00Z,100.227684,37.90426889
2017-01-01T08:35:00Z,99.49213,37.49562778
2017-01-01T08:40:00Z,99.5518951,37.52883061
2017-01-01T08:45:00Z,100.245682,37.91426778
2017-01-01T08:50:00Z,101.181969,38.43442722
2017-01-01T08:55:00Z,101.800064,38.77781333
2017-01-01T09:00:00Z,100.515,38.06388889
2017-01-01T09:05:00Z,99.7921,37.66227778
2017-01-01T09:10:00Z,98.80203,37.11223889
2017-01-01T09:15:00Z,99.79763,37.66535
2017-01-01T09:20:00Z,100.934868,38.29714889
2017-01-01T09:25:00Z,102.963951,39.42441722
2017-01-01T09:30:00Z,100.087059,37.82614389
2017-01-01T09:35:00Z,99.3108444,37.39491356
2017-01-01T09:40:00Z,99.18972,37.32762222
