,c
01/01/17 01:00 AM,37.2672932642
01/01/17 02:00 AM,37.4586338058
01/01/17 03:00 AM,37.8114201767
01/01/17 04:00 AM,37.9394977358
01/01/17 05:00 AM,38.0122791392
01/01/17 06:00 AM,38.2972945825
01/01/17 07:00 AM,38.5692159767
01/01/17 08:00 AM,38.7303054175
01/01/17 09:00 AM,61.2749406025
01/01/17 10:00 AM,60.3799852333
01/01/17 11:00 AM,37.7842665925
01/01/17 12:00 PM,30.2059481008
01/01/17 01:00 PM,29.7617032542
01/01/17 02:00 PM,29.786150935
01/01/17 03:00 PM,27.7235596625
01/01/17 04:00 PM,31.3060166242
01/01/17 05:00 PM,32.2107831017
01/01/17 06:00 PM,34.4755228792
01/01/17 07:00 PM,48.5308718058
01/01/17 08:00 PM,31.9480942617
01/01/17 09:00 PM,32.5421041392
01/01/17 10:00 PM,33.963332375
01/01/17 11:00 PM,34.9587931617
01/02/17 12:00 AM,35.5557121433
01/02/17 01:00 AM,36.140316375
01/02/17 02:00 AM,36.4747733875
01/02/17 03:00 AM,37.069484235
01/02/17 04:00 AM,37.2527802333
01/02/17 05:00 AM,37.447985955
01/02/17 06:00 AM,37.4683305967
01/02/17 07:00 AM,37.4038856017
01/02/17 08:00 AM,56.8474009725
01/02/17 09:00 AM,56.1177351858
01/02/17 10:00 AM,36.81797224
01/02/17 11:00 AM,40.4627323525
01/02/17 12:00 PM,36.7019258933
01/02/17 01:00 PM,34.16957431
01/02/17 02:00 PM,34.23975887
01/02/17 03:00 PM,34.1433439342
01/02/17 04:00 PM,34.0506113617
01/02/17 05:00 PM,34.41691862
01/02/17 06:00 PM,34.2893348992
01/02/17 07:00 PM,34.3209672683
01/02/17 08:00 PM,38.8637705458
01/02/17 09:00 PM,34.4199164492
01/02/17 10:00 PM,30.9547152125
01/02/17 11:00 PM,31.4304721567
01/03/17 12:00 AM,32.4497345183
01/03/17 01:00 AM,33.160371055
01/03/17 02:00 AM,33.0670615225
01/03/17 03:00 AM,33.62831369
01/03/17 04:00 AM,33.809411805
01/03/17 05:00 AM,33.6977661567
01/03/17 06:00 AM,34.1209187608
01/03/17 07:00 AM,34.2253235783
