Time,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,,
2017-01-01T05:05:00Z,1,0,2.527777778,89.2,4.138888889,229,1.028192,,0
2017-01-01T05:10:00Z,2,0,2.527777778,88.9,4.194444444,236,2.503424,,
2017-01-01T05:15:00Z,0,0,2.472222222,88.7,4.166666667,237,1.743456,,
2017-01-01T05:20:00Z,0,0,2.45,88.4,4.194444444,243,2.01168,,
2017-01-01T05:25:00Z,0,0,2.422222222,88.2,4.194444444,241,1.251712,,
2017-01-01T05:30:00Z,0,0,2.45,88.1,4.244444444,251,1.251712,,
2017-01-01T05:35:00Z,0,0,2.388888889,88,4.194444444,250,1.519936,,
2017-01-01T05:40:00Z,0,0,2.411111111,87.8,4.244444444,237,2.503424,,
2017-01-01T05:45:00Z,0,0,2.361111111,87.7,4.222222222,244,2.01168,,
2017-01-01T05:50:00Z,0,0,2.372222222,87.6,4.244444444,251,1.251712,,
2017-01-01T05:55:00Z,0,0,2.377777778,87.5,4.272222222,237,1.251712,,
2017-01-01T06:00:00Z,0,0,2.377777778,87.3,4.3,233,1.251712,,
2017-01-01T06:05:00Z,0,0,2.361111111,87.2,4.3,247,1.519936,,
2017-01-01T06:10:00Z,0,0,2.361111111,87,4.322222222,253,1.743456,,
2017-01-01T06:15:00Z,0,0,2.338888889,86.9,4.322222222,239,1.519936,,
2017-01-01T06:20:00Z,0,0,2.327777778,87,4.3,229,1.519936,,
2017-01-01T06:25:00Z,0,0,2.361111111,87,4.322222222,227,1.519936,,
2017-01-01T06:30:00Z,0,0,2.35,86.8,4.35,244,1.251712,,
2017-01-01T06:35:00Z,0,0,2.361111111,86.7,4.377777778,240,1.028192,,
2017-01-01T06:40:00Z,0,0,2.35,86.8,4.35,240,2.01168,,
2017-01-01T06:45:00Z,0,0,2.211111111,87.7,4.061111111,277,3.755136,,
2017-01-01T06:50:00Z,0,0,2.322222222,88.7,4.011111111,270,1.519936,,
2017-01-01T06:55:00Z,0,0,2.388888889,89,4.038888889,277,2.01168,,
2017-01-01T07:00:00Z,0,0,2.377777778,88.8,4.061111111,272,2.279904,,
