# # iw north average temp C,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.381157946000000081e+01,2.268283859999999947e+02,1.821564219999999921e+02,7.919166667000000359e+01,1.529629626000000009e+01,2.301848007919999972e+01,0.000000000000000000e+00
2.406852862999999942e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.809999999999999432e+01,1.662638889000000120e+01,2.357256374079999972e+01,0.000000000000000000e+00
1.967999109000000146e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.163333332999999925e+01,4.193518518000000306e+00,2.807631641749999929e+01,1.000000000000000000e+00
2.058307570999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.499166667000000075e+01,-4.217592593000000001e+00,3.089972855829999787e+01,1.000000000000000000e+00
2.258959649999999897e+01,4.639117690999999866e+01,7.160379949999999827e-01,8.469166667000000359e+01,4.752777778000000453e+00,3.668283792580000124e+01,1.000000000000000000e+00
2.225029899000000100e+01,1.840994715000000070e+01,2.516820643999999731e+02,6.004999999999999716e+01,9.367129628999999014e+00,3.218779048169999868e+01,1.000000000000000000e+00
2.290573812999999959e+01,1.824446877999999970e+02,2.594688188000000082e+02,6.865000000000000568e+01,-2.637962963000000105e+00,4.083604726920000161e+01,1.000000000000000000e+00
2.166601073000000000e+01,8.132915884999999889e+01,6.456659667000000269e+00,8.099166667000000075e+01,1.687962963000000016e+01,2.154001413419999977e+01,0.000000000000000000e+00
2.364978221000000147e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.674166667000000075e+01,1.486435185000000025e+01,2.376096272170000034e+01,0.000000000000000000e+00
2.188776134000000084e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.244166666999999649e+01,-4.930555560000000059e-01,3.410538186250000336e+01,1.000000000000000000e+00
1.928301499000000163e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.791666666999999791e+01,3.462962960000000034e-01,3.026166161920000164e+01,1.000000000000000000e+00
2.309091519000000048e+01,1.210722154999999987e+02,1.518177359000000060e+01,9.567499999999999716e+01,1.285555556000000088e+01,2.492932360670000236e+01,1.000000000000000000e+00
2.058951504999999926e+01,2.088071422999999882e+01,1.591946979999999956e-01,9.859166666999999507e+01,3.084722221999999903e+00,4.082817411999999990e+01,1.000000000000000000e+00
2.248770675999999824e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.154999999999999716e+01,1.009398148000000006e+01,3.021220807499999950e+01,1.000000000000000000e+00
1.834814781000000039e+01,3.293390057999999954e+01,2.820561442999999713e+02,6.879999999999999716e+01,-5.056944443999999983e+00,3.414174807919999921e+01,1.000000000000000000e+00
2.168286859000000177e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.080833332999999996e+01,6.775000000000000355e+00,2.052071252420000036e+01,1.000000000000000000e+00
1.960908136000000113e+01,8.500066466999999903e+00,1.893318053000000134e+02,7.718333332999999641e+01,-8.788425926000000388e+00,5.924234518579999786e+01,1.000000000000000000e+00
2.269172792999999899e+01,5.061655927999999705e+01,2.613150562999999948e+01,7.292499999999999716e+01,3.494444445000000066e+00,3.841468236170000239e+01,1.000000000000000000e+00
2.202995389000000159e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.561666667000000075e+01,-2.812962962999999927e+00,3.793795615670000387e+01,1.000000000000000000e+00
2.134983901000000017e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.740833333000000493e+01,2.808333333000000209e+00,3.665906253669999870e+01,1.000000000000000000e+00
2.402565799999999996e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.577499999999999858e+01,1.156574074000000074e+01,2.322821085329999846e+01,1.000000000000000000e+00
2.289661561999999861e+01,1.856623551999999790e+02,1.688862514999999860e+02,6.104999999999999716e+01,-4.675925926000000565e+00,5.172069930669999849e+01,1.000000000000000000e+00
2.302005438999999853e+01,1.359628455000000145e+02,8.936793148000000429e+02,5.070833333000000209e+01,1.459398148000000006e+01,2.212031692249999892e+01,0.000000000000000000e+00
2.279599771999999902e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.323333333000000067e+01,-8.989351852000000420e+00,5.921584907420000121e+01,1.000000000000000000e+00
2.163876796999999996e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.334166666999999507e+01,2.204166666999999968e+00,3.498463034249999737e+01,1.000000000000000000e+00
2.144179654999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.389166667000000643e+01,6.910185184999999564e+00,3.653051086579999662e+01,1.000000000000000000e+00
2.441543186000000176e+01,5.449351199999999951e-01,2.172184799999999916e-01,8.954999999999999716e+01,1.270462962999999945e+01,2.390850722329999911e+01,0.000000000000000000e+00
1.827639733000000177e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.979166666999999791e+01,7.708333330000000094e-01,4.834607768499999736e+01,1.000000000000000000e+00
2.050889202999999839e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.580833332999999641e+01,1.149814815000000046e+01,2.057595783249999855e+01,1.000000000000000000e+00
2.021675714999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.091666666999999791e+01,-1.791203703999999952e+00,5.930681004750000085e+01,1.000000000000000000e+00
2.286249541000000107e+01,1.144500440000000019e+01,3.446791297999999983e+02,4.776666666999999933e+01,8.892592592999999823e+00,3.124934467499999968e+01,1.000000000000000000e+00
2.176005783000000093e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,1.464074074000000003e+01,2.249077150079999754e+01,0.000000000000000000e+00
2.267010458000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.887500000000000000e+01,7.995370369999999838e+00,3.169474814420000186e+01,1.000000000000000000e+00
2.324583407000000079e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.669500000000000028e+01,1.317962963000000087e+01,2.247875439919999963e+01,1.000000000000000000e+00
2.226529616999999917e+01,2.202167694999999981e+01,4.874670027999999888e+02,4.206666666999999649e+01,4.204166666999999968e+00,3.396506160749999736e+01,1.000000000000000000e+00
2.430129189999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.846666666999999507e+01,1.806111110999999880e+01,2.337990775500000140e+01,0.000000000000000000e+00
1.919640730000000062e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.616666666999999791e+01,4.134259259999999991e-01,2.937357544749999860e+01,1.000000000000000000e+00
2.212985094000000075e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.951666667000000643e+01,4.318518518999999500e+00,3.296693082329999669e+01,1.000000000000000000e+00
2.216246303999999867e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.261666667000000075e+01,1.016944443999999947e+01,3.355971294919999792e+01,1.000000000000000000e+00
2.229752329000000088e+01,1.040579524999999990e+02,9.520324217000000644e+00,7.544166667000000359e+01,-3.425462963000000194e+00,5.636943166580000053e+01,1.000000000000000000e+00
2.278115929000000150e+01,7.268512735000000191e+01,6.930906780000000156e-01,8.818333332999999641e+01,3.645370371000000276e+00,4.105411356420000146e+01,1.000000000000000000e+00
2.489817902000000061e+01,2.166541700999999875e+01,2.598413949999999772e+01,4.573333333000000067e+01,1.449629630000000091e+01,2.427047653170000174e+01,1.000000000000000000e+00
