# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,elecEquipDensityHigh,elecEquipDensityLow,mullMetalConductivity,intMass,infilRate
2.368566180657940023e+01,8.880751542000000143e+01,1.800773274999999956e+02,4.361666667000000075e+01,-1.984259259000000108e+00,4.689656194500000197e+01,1.000000000000000000e+00,4.838085965371335107e+01,2.429542602801890894e+01,2.382537080055991225e+02,9.553593453929789803e+02,2.333112101981661968e-01
2.432647826918229939e+01,1.425295858000000067e+02,4.187119805999999755e+01,6.997499999999999432e+01,1.792592592999999823e+01,2.166643818500000052e+01,0.000000000000000000e+00,4.078119925977272686e+01,1.756337291342326168e+01,6.800643644455375636e+01,3.657973260351751605e+02,1.663168344529183940e-01
2.596700808565960017e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.419166666999999649e+01,1.992546296000000083e+01,2.500192453749999899e+01,0.000000000000000000e+00,3.038398246238246969e+01,1.121601887538853148e+01,3.869081339350469193e+02,5.149148786124660546e+02,7.394692919086670591e-02
1.701017885048189981e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.640000000000000568e+01,-6.417592592999999290e+00,3.487280624920000349e+01,1.000000000000000000e+00,2.135456492565400666e+01,1.277547105147665008e+01,9.820503353764146937e+01,5.494071580249437829e+02,2.742593272375468683e-01
2.439616200604410068e+01,5.882069699000000185e+01,3.737710540000000137e+00,8.190000000000000568e+01,2.166666669999999795e-01,5.193527671420000047e+01,1.000000000000000000e+00,3.676066836574413088e+01,1.306456447894711204e+01,3.701267998701761712e+02,5.758421463371375921e+02,1.712589413817169615e-01
2.348704586940749905e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.356666667000000359e+01,9.270370370000000193e+00,4.360372611500000062e+01,1.000000000000000000e+00,3.556778123817142756e+01,1.530221512322269106e+01,3.985505563028871165e+02,6.846603511264099780e+02,2.051060335058910722e-01
2.559552872947530133e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.628333332999999783e+01,9.622222222000001324e+00,2.275132271329999867e+01,4.166666667000000213e-01,3.040406477720906864e+01,1.913609305818068052e+01,3.279497512502846917e+02,3.560030101577809774e+02,2.766141626329535197e-01
2.326184589747899878e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.697499999999999432e+01,-2.585648148000000202e+00,3.177798954580000057e+01,1.000000000000000000e+00,4.138337126859795490e+01,1.977929735570727132e+01,2.396461757653873690e+02,6.185729613227421169e+02,8.380885314812852593e-02
2.500313472883910038e+01,1.035709104999999930e+01,3.074842076000000368e+00,5.984166667000000217e+01,7.650925926000000210e+00,2.166891876000000039e+01,0.000000000000000000e+00,3.848409636853757831e+01,1.412254057024393283e+01,6.981483521879454202e+01,7.852159297019162523e+02,4.856802625034859627e-02
2.282676826407960036e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.806666667000000359e+01,-4.997685184999999919e+00,2.996584205499999953e+01,1.000000000000000000e+00,3.641694937726983028e+01,8.388530835402761454e+00,2.206710244406710615e+02,3.180611792362977326e+02,2.619710196958555809e-02
2.267500905709669823e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.943333332999999641e+01,1.414907406999999928e+01,2.246777011500000043e+01,0.000000000000000000e+00,4.588856548954493064e+01,1.394485501702126484e+01,3.309132580394756360e+02,9.253724820609714925e+02,2.940483473380786084e-01
2.298247497758470104e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.962500000000000000e+01,1.301018518999999962e+01,2.382049535169999999e+01,0.000000000000000000e+00,4.312591979533112863e+01,1.153176819374188788e+01,2.807012029941355422e+02,6.020116823328368127e+02,2.630741712742484806e-01
2.746551783918399892e+01,2.340750441999999865e+01,2.417283405999999957e+01,6.009166667000000217e+01,1.866064815000000010e+01,2.376784166170000034e+01,0.000000000000000000e+00,4.851492117059191855e+01,7.819357734985278086e+00,3.727529067650413026e+02,2.741588120412050671e+02,6.472136023547780947e-02
2.749616860840410126e+01,1.553739650999999924e+02,4.003082607000000053e+02,6.634999999999999432e+01,2.260648148000000024e+00,3.148761526830000079e+01,1.000000000000000000e+00,4.486578476308626762e+01,1.954208356570117999e+01,1.835857323618322710e+02,4.178969766034728082e+02,1.052012671414162548e-02
2.382864790421109902e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.244166666999999649e+01,-4.930555560000000059e-01,3.410538186250000336e+01,1.000000000000000000e+00,2.972419023907196589e+01,2.298881586932390064e+01,2.862988793792550268e+02,3.469123557681342618e+02,2.848522928293394096e-02
2.293515379013729927e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.025833332999999925e+01,4.130555556000000017e+00,1.866258597170000044e+01,1.000000000000000000e+00,3.641694937726983028e+01,8.388530835402761454e+00,2.206710244406710615e+02,3.180611792362977326e+02,2.619710196958555809e-02
2.234530572944640170e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.318333332999999641e+01,4.723148147999999935e+00,3.421131605579999757e+01,1.000000000000000000e+00,3.210373537140279154e+01,2.253818795111831719e+01,2.332774282241011292e+02,6.360181756260960810e+02,2.856682559773219277e-01
2.377576099620250005e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.874166667000000075e+01,-3.454629629999999896e+00,4.811199337829999934e+01,1.000000000000000000e+00,2.314837650225221211e+01,1.483842189148374047e+01,2.979227632394481589e+02,9.824250863669145701e+02,1.347787953733803334e-01
2.465336420753390101e+01,8.283368320000001006e+01,8.299269514999999728e+02,5.888333332999999925e+01,-4.084722221999999903e+00,4.954511009329999638e+01,1.000000000000000000e+00,4.142649338695771633e+01,1.743056717731030147e+01,9.888992985649942113e+01,4.056169264621535149e+02,5.548885138951842322e-02
2.270121981087260110e+01,1.129721290000000096e+02,6.806567069999999831e+02,5.976666666999999933e+01,-2.734722221999999814e+00,3.760325631330000107e+01,1.000000000000000000e+00,3.924280556331291336e+01,1.231284913132175696e+01,7.895402442042508540e+01,9.659944879675242646e+02,7.509528489299303888e-02
2.146050648178610132e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.218333332999999641e+01,1.356990741000000078e+01,2.245476296249999848e+01,0.000000000000000000e+00,2.042584253998370869e+01,9.521885618775908000e+00,3.817362603847241189e+02,5.661286186952856951e+02,1.830751951927847287e-01
