# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.138863557999999898e+01,1.606645042999999973e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.025833332999999925e+01,6.036111111000000307e+00,3.059755111579999820e+01,1.000000000000000000e+00
2.301778994000000012e+01,1.834404102999999964e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.247499999999999432e+01,5.254629630000000162e+00,3.357339343579999991e+01,1.000000000000000000e+00
2.170761552000000094e+01,3.740390043000000109e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.896666667000000217e+01,3.899537036999999984e+00,2.103154595750000055e+01,9.166666666999999658e-01
1.829818218000000130e+01,2.699164357000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.840000000000000568e+01,-5.254629630000000162e+00,3.451443935999999724e+01,1.000000000000000000e+00
2.262955059000000091e+01,3.187730138999999951e+01,3.869117689999999610e-01,1.750374369999999902e-01,9.110833332999999357e+01,4.559259259000000064e+00,3.835678055999999714e+01,1.000000000000000000e+00
2.288461888000000144e+01,3.528577884999999803e+00,6.536592828999999938e+01,8.427102998999999954e+02,2.989999999999999858e+01,3.879629630000000162e+00,2.933334257750000162e+01,1.000000000000000000e+00
2.284639976000000061e+01,3.474416798000000028e+01,1.674048351000000139e+02,3.548894162999999935e+01,5.618333333000000351e+01,-3.150925926000000210e+00,4.515251458499999870e+01,1.000000000000000000e+00
1.989386015999999913e+01,2.820696980000000309e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,-2.379166666999999791e+00,3.748843759329999870e+01,1.000000000000000000e+00
2.160829986999999974e+01,4.790478808999999671e+01,9.475119336999999575e+01,2.141899941000000140e+01,7.461666667000000075e+01,-5.143981482000000049e+00,5.123678037079999825e+01,1.000000000000000000e+00
2.111836638000000121e+01,2.704413768999999945e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.915833333000000493e+01,1.039351852000000020e+00,3.817358243500000015e+01,1.000000000000000000e+00
2.217736907000000102e+01,1.285865519999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.362500000000000000e+01,9.165277778000000097e+00,2.866691419500000038e+01,1.000000000000000000e+00
2.069301439999999559e+01,2.191212996000000146e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.440833333000000493e+01,-8.166666670000000128e-01,3.272894676079999954e+01,1.000000000000000000e+00
2.278259763999999876e+01,2.969947402000000025e+01,1.363503746000000092e+02,2.445710834000000133e+01,7.303333333000000493e+01,-5.188425925999999855e+00,4.774548212919999912e+01,1.000000000000000000e+00
1.683116097999999994e+01,3.261285380000000345e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.410833332999999357e+01,-8.910185184999999564e+00,3.989744722079999661e+01,1.000000000000000000e+00
2.169016660999999857e+01,1.423405348000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.994166667000000359e+01,6.369444445000000066e+00,2.907204095499999852e+01,1.000000000000000000e+00
2.201581453000000010e+01,1.297426167999999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.772499999999999432e+01,8.481481480999999434e+00,2.934382407920000091e+01,1.000000000000000000e+00
2.277791209000000094e+01,2.172455738000000025e+01,1.471800285999999858e+02,2.777808071999999697e+02,7.835416666999999791e+01,9.212972699999999460e-02,4.013400288249999903e+01,1.000000000000000000e+00
2.088338764999999952e+01,3.869242778000000271e+00,1.556800767000000008e+02,6.710816125999999713e+02,5.451666666999999933e+01,-2.065277778000000009e+00,2.584672921749999830e+01,1.000000000000000000e+00
2.278109234000000072e+01,2.659098569000000190e+00,1.211796030000000002e+02,1.747472843000000164e+00,6.445000000000000284e+01,1.419814814999999975e+01,2.205387360170000122e+01,1.000000000000000000e+00
1.945141540999999918e+01,7.719306833000000267e+01,5.152981823999999733e+01,1.761905007000000012e+01,8.494166667000000359e+01,2.231018519000000033e+00,5.542934495419999763e+01,1.000000000000000000e+00
2.092344781999999981e+01,2.728143406999999954e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.035833332999999357e+01,-4.722222200000000120e-02,3.834832330580000104e+01,1.000000000000000000e+00
2.025573801000000174e+01,2.909534625000000041e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.661666667000000075e+01,8.701388889000000404e+00,1.934892150419999979e+01,1.000000000000000000e+00
2.249658980000000241e+01,2.099472215000000119e+01,1.506469819999999848e-01,6.989841099999999363e-02,8.341666666999999791e+01,9.496296296000000581e+00,3.427188472329999769e+01,1.000000000000000000e+00
2.091073932999999840e+01,2.647912532999999868e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.918333332999999641e+01,1.008333332999999943e+00,3.873030541749999855e+01,1.000000000000000000e+00
2.098101009000000161e+01,1.893271758999999932e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.151666666999999933e+01,6.812962962999999483e+00,2.719046416579999814e+01,1.000000000000000000e+00
2.255422906000000083e+01,3.862229942999999821e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200833332999999925e+01,8.001851851999999710e+00,3.886377054580000134e+01,1.000000000000000000e+00
2.088329743999999977e+01,3.100985618000000166e+00,1.253773790999999989e+02,8.483261691000000155e+02,3.094999999999999929e+01,3.225925926000000388e+00,2.177254911170000184e+01,1.000000000000000000e+00
2.228168183000000013e+01,4.296789915000000093e+01,2.015894601000000108e+01,1.061005737999999976e+00,9.928333333000000493e+01,1.218194444000000054e+01,4.538387036999999680e+01,1.000000000000000000e+00
2.201348796999999990e+01,1.456996029999999998e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.117499999999999716e+01,8.196296295999999870e+00,3.028044447999999988e+01,1.000000000000000000e+00
1.806249581999999876e+01,2.954717222000000021e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,-7.588888888999999693e+00,3.646341720830000099e+01,1.000000000000000000e+00
2.320966566999999969e+01,9.597147052000000400e+00,3.645374624000000097e+01,3.118783381999999715e+00,9.718333332999999641e+01,1.124120369999999980e+01,3.238324474000000208e+01,1.000000000000000000e+00
2.141336652000000029e+01,1.970744128000000117e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.408333333000000209e+01,6.009259258999999354e+00,3.340500954170000369e+01,1.000000000000000000e+00
2.010035289999999719e+01,3.529330467999999854e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,-8.250925926000000743e+00,4.287625300919999916e+01,1.000000000000000000e+00
2.279120126999999840e+01,1.745826442999999983e+01,2.582491502999999966e+01,1.407462183000000033e+00,9.864166667000000643e+01,8.395370370000000193e+00,3.392750592080000160e+01,1.000000000000000000e+00
2.153723297000000159e+01,0.000000000000000000e+00,6.961176097999999257e+00,1.443381491999999877e+00,8.175000000000000000e+01,7.810185184999999919e+00,2.253618610999999916e+01,0.000000000000000000e+00
2.271611517999999919e+01,2.965395373999999862e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.475000000000000000e+01,3.951851851999999887e+00,3.935593679999999495e+01,1.000000000000000000e+00
2.359669342000000114e+01,2.797838803000000318e+00,1.744280995999999959e+02,4.968783020000000050e+01,8.118333332999999641e+01,1.379675925999999997e+01,2.509965375330000015e+01,1.000000000000000000e+00
1.843907107000000067e+01,2.583079223000000013e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900000000000000000e+01,-7.321759258999999354e+00,3.351611367079999582e+01,1.000000000000000000e+00
2.068919327000000052e+01,1.924084337000000033e+01,7.395991886999999565e+01,1.124657250000000025e-01,9.422499999999999432e+01,5.851851852000000243e+00,2.985037889920000254e+01,1.000000000000000000e+00
2.273539843000000005e+01,2.130726437999999945e+01,1.096413059000000061e+02,7.591077728999999863e+02,5.695000000000000284e+01,2.700462963000000105e+00,3.418274267670000199e+01,1.000000000000000000e+00
2.081055689999999814e+01,6.076879871999999949e+01,1.700279814999999815e+02,1.129678730999999914e+02,7.152500000000000568e+01,8.430555559999999282e-01,5.997526078579999620e+01,1.000000000000000000e+00
2.219142380999999986e+01,3.694506817999999981e+01,3.842988064000000037e+01,1.292184474000000023e+02,5.774166667000000075e+01,-3.306944443999999983e+00,4.431306134329999935e+01,1.000000000000000000e+00
2.310733046000000002e+01,2.488631695999999849e+01,1.232138361000000089e+02,6.586641150000000380e+02,6.335833333000000067e+01,2.848148147999999935e+00,3.639497012830000244e+01,1.000000000000000000e+00
2.185668025000000014e+01,7.650067620000000090e+01,8.561680259999999709e-01,4.298598429999999637e-01,7.003333333000000493e+01,3.350925926000000388e+00,5.846859323999999702e+01,1.000000000000000000e+00
2.284414534000000074e+01,1.062372208000000029e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.679999999999999716e+01,1.022222222000000080e+01,2.841601638330000057e+01,1.000000000000000000e+00
2.071887255000000039e+01,2.872234983999999969e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.984166666999999507e+01,-9.250000000000000444e-01,3.974636777919999986e+01,1.000000000000000000e+00
2.037910627000000119e+01,3.256753791999999947e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.951666667000000643e+01,-3.182870369999999838e+00,4.160953055579999926e+01,1.000000000000000000e+00
2.386693378000000010e+01,2.949286035000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.763333332999999925e+01,1.492175925999999997e+01,2.321058362500000172e+01,1.000000000000000000e+00
