# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.367787558681079929e+01,8.784361259327329918e+00,1.075024291999999981e+01,1.981486399999999870e-01,9.677500000000000568e+01,5.101851852000000243e+00,4.130300773249999935e+01,1.000000000000000000e+00,1.473107272688006786e-01,3.648367155421855159e+02,8.201424913543775119e+02,1.614388907701698628e+00,1.020988877578571241e+01,2.935499769048449537e+01,5.432854908984987435e-02
2.306137210527250048e+01,5.428960162230739961e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.500833332999999925e+01,5.388888888999999516e+00,1.931818184750000000e+01,1.000000000000000000e+00,3.433583718596289747e-01,3.439694090597057539e+02,8.236840031895462744e+02,1.339847169840579610e+00,1.566390799068915030e+01,3.978989092071289235e+01,1.026770073024844826e-01
2.545294809382980006e+01,0.000000000000000000e+00,1.200782425000000018e+02,8.154904659000000038e+02,5.451666666999999933e+01,1.622685184999999919e+01,2.365642453670000123e+01,0.000000000000000000e+00,2.167788036671306484e-01,2.881193027343114181e+02,2.701377991698321921e+02,1.250653637292088227e+00,1.668543847913993972e+01,4.875404374514728545e+01,1.390893893158907935e-01
2.226957393235430160e+01,6.425369834315190154e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.879166666999999791e+01,9.735648147999999225e+00,2.824054126829999944e+01,1.000000000000000000e+00,2.044777136185834954e-01,1.105357376272473715e+02,6.439279353400978607e+02,1.364143958930962741e+00,2.066034637586834322e+01,3.905573089384613183e+01,1.924273111753144194e-02
2.183080397871630041e+01,1.586328163179780049e+01,6.778657517999999982e+01,2.225033594000000114e+00,8.405833332999999641e+01,-1.527777800000000054e-02,4.174057426000000248e+01,1.000000000000000000e+00,8.833024369941254450e-02,2.069592808654924170e+02,5.153519956084878686e+02,1.649712372064200849e+00,1.211453523927608700e+01,2.069652644249924833e+01,1.871022528114932304e-01
1.643886207746610140e+01,5.353536150253590087e+00,8.561925002999998924e+00,3.251061556999999880e+01,8.054999999999999716e+01,3.114351851999999976e+00,5.588791939829999933e+01,1.000000000000000000e+00,7.731562623461198103e-02,1.796680875739024259e+02,7.223730250305441132e+02,1.172103959847158539e+00,5.682530827866071554e+00,2.188943058397989461e+01,2.729452736725673234e-01
1.715006575093410035e+01,1.285521934528139987e+01,6.647146564000000524e+01,9.555038649999999523e-01,8.188333332999999925e+01,1.835648148000000202e+00,5.291286499920000352e+01,1.000000000000000000e+00,4.859555535255327685e-01,3.137285391030895880e+02,5.305553284117345356e+02,1.272842019044190920e+00,1.801637541408014798e+01,4.198841103983971834e+01,6.143041502700720413e-02
2.325878870095689877e+01,6.668517093375999849e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.647499999999999432e+01,1.098009258999999993e+01,1.989589486579999900e+01,1.000000000000000000e+00,3.793634674744623125e-01,1.824237746879740598e+02,2.638951186276983094e+02,1.443675133186272719e+00,2.203267049933604582e+01,4.696207111018068048e+01,1.156773041926733581e-01
2.088299941407980143e+01,1.313050377720190021e+01,1.349668417000000034e+02,1.031452156000000002e+02,4.212500000000000000e+01,-4.865740739999999676e-01,4.074380643420000325e+01,1.000000000000000000e+00,2.144002194503074055e-01,1.614212521456423133e+02,5.106439542920652457e+02,1.498524975847641549e+00,1.460962960517514553e+01,4.714942149926224602e+01,1.757068456826271774e-01
1.881244507334909954e+01,2.339423286215599873e+01,1.426292143000000046e+01,1.407152959999999897e-01,8.547499999999999432e+01,-4.141666666999999968e+00,5.057006824079999774e+01,1.000000000000000000e+00,1.035603299824078977e-01,1.492405080694519484e+02,3.234067421364761685e+02,1.479770724189670705e+00,2.208531667232876572e+01,2.041312760066799825e+01,2.590653520428431444e-01
