# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.838100799999999779e+01,2.605315338000000125e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.763333332999999925e+01,-5.147685185000000274e+00,3.388849210330000261e+01,1.000000000000000000e+00
2.137535889999999839e+01,1.930803115999999875e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.276666666999999933e+01,6.106481482000000405e+00,3.363208562079999808e+01,1.000000000000000000e+00
2.171899871000000104e+01,0.000000000000000000e+00,1.425295858000000067e+02,4.187119805999999755e+01,6.997499999999999432e+01,1.792592592999999823e+01,2.166643818500000052e+01,0.000000000000000000e+00
1.975085849999999965e+01,8.281009174999999800e+01,4.157387511999999674e+00,1.118649396999999990e+00,7.109999999999999432e+01,-5.680555560000000170e-01,6.263164763830000226e+01,1.000000000000000000e+00
2.217342452000000108e+01,3.522723031999999677e+01,4.419346995000000078e+01,1.382264166999999873e+02,5.642499999999999716e+01,-2.085185184999999830e+00,4.308152995420000053e+01,1.000000000000000000e+00
1.884369743999999969e+01,2.334617272999999926e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.665833332999999783e+01,-4.273611111000000129e+00,3.214729890830000159e+01,1.000000000000000000e+00
2.135034179000000165e+01,5.685488626000000600e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.570833333000000209e+01,-7.090740741000000291e+00,3.628272739749999687e+01,1.000000000000000000e+00
2.101276395000000008e+01,2.334660944000000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.404999999999999716e+01,-2.243981481000000056e+00,3.488435630920000108e+01,1.000000000000000000e+00
2.080228328000000104e+01,2.526963873000000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.933333333000000209e+01,4.494907406999999466e+00,3.707931526920000209e+01,1.000000000000000000e+00
2.165250054999999918e+01,1.971291352000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.451666667000000643e+01,3.754166666999999791e+00,3.419879512920000053e+01,1.000000000000000000e+00
1.984164618999999874e+01,6.820735195999999689e+01,6.490447593999999754e+01,6.290989577000000281e+02,7.390000000000000568e+01,-1.166111111000000022e+01,6.560280736079999997e+01,1.000000000000000000e+00
2.277420532000000009e+01,1.806672099999999759e+01,4.661091236000000038e+01,7.006527493000000106e+01,9.679999999999999716e+01,9.943055553999998963e+00,3.277606505749999855e+01,1.000000000000000000e+00
2.328578667000000024e+01,0.000000000000000000e+00,8.354066858000000195e+01,2.711041605999999859e+01,7.404807787000000019e+01,1.671371049000000042e+01,2.376673240750000105e+01,0.000000000000000000e+00
2.279006030000000038e+01,5.604279427000000169e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.703333333000000493e+01,-9.781944444000000516e+00,5.806630004670000034e+01,1.000000000000000000e+00
2.405298884999999842e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.288333332999999925e+01,1.375092592000000025e+01,2.465391227670000163e+01,0.000000000000000000e+00
2.411821533999999900e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.975833332999999925e+01,1.753657407000000035e+01,2.378675092579999983e+01,0.000000000000000000e+00
2.244683685000000040e+01,1.100841109999999823e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.355833332999999641e+01,8.952314814999999371e+00,2.704380840829999855e+01,1.000000000000000000e+00
2.499386244000000090e+01,2.837194806999999930e+00,2.214318622000000047e+01,1.832190945000000113e+02,3.878333332999999783e+01,1.789907407999999833e+01,2.466172101749999968e+01,1.000000000000000000e+00
1.926034174999999848e+01,7.986390801999999667e+01,7.703344923000000222e+01,6.598005686000000196e+02,4.985833333000000067e+01,-3.808796296000000137e+00,5.846467458419999730e+01,1.000000000000000000e+00
