# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.562094107741620164e+01,0.000000000000000000e+00,2.383020764000000042e+02,5.390283821999999958e+01,4.515833332999999783e+01,1.828472221999999903e+01,2.328794913329999972e+01,0.000000000000000000e+00,9.577415426658987541e-02,1.443747899671303685e+02,2.666880292711653055e+02,1.683835442926175041e+00,7.536707817508647267e+00,4.130580214837499398e+01,2.655521430510329184e-01
2.268248154196430022e+01,7.063994085237600196e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.420000000000000284e+01,2.985185185000000185e+00,3.706948423499999734e+01,1.000000000000000000e+00,9.105911746781485128e-02,7.300029960346608959e+01,3.742724438159638112e+02,1.384576681619444694e+00,1.261400277394273672e+01,2.939470090606123875e+01,1.669948067052226537e-01
2.138584863819779969e+01,1.188016883764199960e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.075000000000000000e+01,-2.998611111000000218e+00,4.111676694420000189e+01,1.000000000000000000e+00,8.869710130739943965e-02,1.410478959798466576e+02,2.501742219605962134e+02,1.471041423261382430e+00,1.724033209042147163e+01,2.242534020030747399e+01,1.187887882474059631e-01
2.412096799885659948e+01,4.820592590977000214e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.998333332999999357e+01,9.857407408000000260e+00,3.044665766670000195e+01,1.000000000000000000e+00,9.319588734480892256e-02,3.622314591025563573e+02,2.579617562037149128e+02,1.716453494124464019e+00,1.623741040035459093e+01,2.769412117148975128e+01,8.930765425530343138e-02
2.444701893463900078e+01,4.962357399678220204e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855833332999999641e+01,9.706944444999999533e+00,3.406144488920000413e+01,1.000000000000000000e+00,5.630245448112675133e-02,3.836433862366549192e+02,6.928600535173891330e+02,1.381317841633938226e+00,1.700713816010468804e+01,4.396624093007097400e+01,1.631176106035626960e-02
2.246449435921229920e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.974166667000000075e+01,1.025648147999999971e+01,2.378843424000000084e+01,0.000000000000000000e+00,1.954204750329082210e-02,3.282167090809770116e+02,6.512103974697550939e+02,1.227771807839877383e+00,6.884007517967824619e+00,3.832275828765875758e+01,9.983504774910582913e-02
2.381801882740380094e+01,1.650444195381900059e+01,2.003125406999999925e+01,2.218645228000000191e+00,6.966666666999999791e+01,8.499999999999999778e-01,4.264599671250000057e+01,1.000000000000000000e+00,6.871774376897206438e-02,3.979019144153724028e+02,2.810984453125160485e+02,1.415358131435730193e+00,6.860758004231428231e+00,3.722298735818681337e+01,2.985093768504505918e-01
2.279798912614790041e+01,7.621196613076789639e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.085833333000000067e+01,8.796296295999999515e+00,2.798996893079999992e+01,1.000000000000000000e+00,7.580097972095167433e-03,1.884671618242002751e+02,5.635477606074257437e+02,1.658406166167734952e+00,1.106650650444476547e+01,3.999338831574142006e+01,2.797392348781208016e-01
2.234291830304210080e+01,4.044984267539219580e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.715833333000000493e+01,2.906944443999999628e+00,3.614031637499999761e+01,1.000000000000000000e+00,4.268828951334259492e-02,6.286283089384036060e+01,8.900118344003944912e+02,1.178819946063965673e+00,7.984175007574536131e+00,3.894633440063413587e+01,1.096045520504817933e-01
2.111914979899329836e+01,3.363412664672409846e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.091666666999999791e+01,-1.791203703999999952e+00,5.930681004750000085e+01,1.000000000000000000e+00,8.252295730576854338e-02,1.349596111214444250e+02,6.748222269799000514e+02,1.251059116950814509e+00,1.274629303936836067e+01,4.607975285032037505e+01,1.061922332550159637e-01
2.356010945908100140e+01,9.653853212542649942e+00,6.703989151000000390e+01,9.000874720000000551e-01,9.815000000000000568e+01,7.945833332999999499e+00,3.416957431000000156e+01,1.000000000000000000e+00,5.733483094271387553e-02,9.994595984057825433e+01,8.619057059389213009e+02,1.668103643021956906e+00,9.072407551815416582e+00,3.841114543156106720e+01,2.731079447601227339e-01
2.585625614086080049e+01,8.410471129689890191e+00,4.119960054999999954e+00,7.552038119999999743e-01,9.901666667000000643e+01,8.457407406999999822e+00,3.443598222250000163e+01,1.000000000000000000e+00,9.319588734480892256e-02,3.622314591025563573e+02,2.579617562037149128e+02,1.716453494124464019e+00,1.623741040035459093e+01,2.769412117148975128e+01,8.930765425530343138e-02
2.235420059447659824e+01,1.135882060776109981e+01,4.387961966999999674e+01,3.321112799999999948e-02,4.721666667000000217e+01,4.099074073999999790e+00,3.545858395749999659e+01,1.000000000000000000e+00,6.409382474765912274e-02,2.926576953911632017e+02,5.384985793001173988e+02,1.211161773898333349e+00,2.082838533898512878e+01,3.051750129719806992e+01,1.768313232283902636e-01
2.420743450983480116e+01,0.000000000000000000e+00,1.359628455000000145e+02,8.936793148000000429e+02,5.070833333000000209e+01,1.459398148000000006e+01,2.212031692249999892e+01,0.000000000000000000e+00,1.054416448262788034e-02,1.785824116346647656e+02,4.004654771548209737e+02,1.357070940894057554e+00,1.717482723374057940e+01,2.623937293888605993e+01,2.861558099278012635e-01
2.297234856725820151e+01,1.701423698328279954e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.967499999999999716e+01,3.940277778000000009e+00,3.209895649500000303e+01,1.000000000000000000e+00,2.463125107272843423e-03,1.721491201539522251e+02,7.877339315595929747e+02,1.600044318544052935e+00,1.800555666104752817e+01,3.856346735800493519e+01,2.079543928069315373e-01
2.312404983444899997e+01,0.000000000000000000e+00,1.113270599000000232e+02,1.964786852000000010e+02,6.651666667000000643e+01,1.818425926000000103e+01,2.478004483420000170e+01,0.000000000000000000e+00,1.478745473416216445e-03,3.080300052724997499e+02,3.669938171515789804e+02,1.283775101182363709e+00,8.920755341989670129e+00,2.384672297950774222e+01,2.434643221823880668e-02
2.071168606000379953e+01,4.204027499330139861e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.317499999999999716e+01,-4.225462963000000016e+00,2.268216369829999834e+01,1.000000000000000000e+00,4.021338733370220797e-02,3.963829620293230960e+02,5.583659899782452385e+02,1.222363185824097531e+00,2.007187748332129829e+01,4.011633433500955448e+01,2.106232775179704975e-01
2.433820658817539950e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.245833333000000209e+01,1.630416667000000075e+01,2.387654994420000065e+01,0.000000000000000000e+00,2.903932588922067057e-02,2.353135776072170700e+02,6.372041709260838616e+02,1.230276439155143064e+00,2.088848042370910107e+01,4.498666773858160184e+01,8.656025831008733185e-02
2.258583482114629959e+01,1.546709036288769923e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,-8.250925926000000743e+00,4.287625300919999916e+01,1.000000000000000000e+00,2.091482165130597454e-02,3.007797054996864858e+02,7.861965919554331776e+02,1.474238368517433617e+00,8.347883664123747494e+00,2.158535552966576532e+01,3.745145571091756942e-02
2.275646958700649947e+01,7.469172596973300271e-01,8.574429087000000393e+00,1.486643165000000089e+01,5.164999999999999858e+01,1.215462963000000052e+01,2.293774833830000048e+01,1.000000000000000000e+00,6.624098184551104052e-02,1.450858267058262641e+02,8.818608915831875947e+02,1.206866014956048394e+00,2.328270617664516706e+01,2.006828747070973407e+01,1.785017105842478247e-01
2.388340241580539924e+01,2.292911939218879880e+01,7.161706197000000884e+00,9.380391351000000100e+01,4.309166667000000217e+01,-7.773148149999999923e-01,5.033448939830000057e+01,1.000000000000000000e+00,6.490140295964483275e-02,3.197173422383818320e+02,6.005731767005488564e+02,1.487926493508112902e+00,2.271465531532082238e+01,4.787499678323597152e+01,9.215641292586204680e-02
2.273298169898070142e+01,8.668229550936709771e+00,9.629120629999999847e-01,1.298632475999999869e+00,4.998333333000000067e+01,4.098148147999999935e+00,4.297096555579999944e+01,1.000000000000000000e+00,8.287491879685074392e-02,2.673777722591679549e+02,3.724951032013847225e+02,1.218222087413627808e+00,2.155755576253772432e+01,3.146704521672086230e+01,4.121589724948358791e-02
2.308483063438719896e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.695000000000000284e+01,1.536111110999999951e+01,2.397532936920000068e+01,0.000000000000000000e+00,9.569700866938646300e-02,2.962990637726338718e+02,7.211803147668911151e+02,1.468794617567019900e+00,1.074722250048554884e+01,2.300984278125367055e+01,9.453229648248634431e-02
2.271776970679740160e+01,8.655083531869230740e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.337500000000000000e+01,2.086111111000000129e+00,3.435996518999999694e+01,1.000000000000000000e+00,9.128102271965603254e-02,1.402906870464186113e+02,4.301072272376629826e+02,1.702243628354157989e+00,2.001442681172560256e+01,2.880976278342313179e+01,1.742613531914101455e-01
2.311383354847080085e+01,1.103148663060430046e+01,8.215280717999999638e+01,5.446761347999998861e+02,9.317499999999999716e+01,1.150416667000000004e+01,3.368826867579999629e+01,1.000000000000000000e+00,2.289231385808376124e-02,3.437276263206556450e+02,8.986435891123514921e+02,1.317776957160686990e+00,7.038777429281830145e+00,4.307646791256821928e+01,6.309196594446807305e-02
2.439679457164389831e+01,1.828580080950800024e+01,7.268512735000000191e+01,6.930906780000000156e-01,8.818333332999999641e+01,3.645370371000000276e+00,4.105411356420000146e+01,1.000000000000000000e+00,2.826560797806109554e-02,3.900474872026716753e+02,4.711912775927344228e+02,1.527624290480592784e+00,5.452728127255202395e+00,2.801777534710100781e+01,2.113116482463419932e-01
2.310078666119759916e+01,1.764373780576390160e+01,1.011330130000000054e+02,1.825584003999999823e+02,7.704999999999999716e+01,1.408472221999999974e+01,4.255406837329999803e+01,1.000000000000000000e+00,2.009516730645962562e-02,1.419411502782606362e+02,9.539419409263041416e+02,1.591583037958784530e+00,2.049382960141797128e+01,3.296611862892606837e+01,4.470169664380439084e-02
