# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1.927320287999999948e+01,1.806772356000000102e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.870833333000000209e+01,-4.773148150000000034e-01,2.914196606499999831e+01,1.000000000000000000e+00
2.321607234000000020e+01,3.427451181999999985e+00,1.259486375000000038e+02,8.039362277000000176e+02,3.041666667000000146e+01,1.051296295999999941e+01,2.577441319000000064e+01,1.000000000000000000e+00
2.180995568999999890e+01,2.945134479000000027e+01,1.164453291000000057e+01,1.274017430000000006e+00,9.268333332999999641e+01,4.319444439999999830e-01,4.556306638830000111e+01,1.000000000000000000e+00
2.237616507999999982e+01,1.508439225999999955e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.515000000000000568e+01,1.237731482000000049e+01,3.162973305419999903e+01,1.000000000000000000e+00
2.323357753000000159e+01,0.000000000000000000e+00,1.906220298999999940e+01,1.213807676000000058e+01,7.738333332999999925e+01,1.574259258999999922e+01,2.389979027829999936e+01,0.000000000000000000e+00
2.260132579000000064e+01,4.680895160000000033e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.520000000000000284e+01,-2.393518520000000038e-01,4.871738509330000255e+01,1.000000000000000000e+00
2.333647566000000140e+01,9.116635495000000589e+00,1.333310467999999958e+02,8.128486431000000323e+01,9.527500000000000568e+01,1.311203704000000059e+01,3.074737665329999814e+01,1.000000000000000000e+00
1.859111726000000075e+01,7.912220553000000223e+01,2.810293703000000143e+00,6.937090609000000185e+00,6.283333333000000209e+01,-5.956481482000000049e+00,5.602611402830000031e+01,1.000000000000000000e+00
2.505033429999999939e+01,0.000000000000000000e+00,5.890606808999999799e+01,6.447711533000000372e+02,3.850833332999999925e+01,1.829907408000000046e+01,2.385325053669999917e+01,0.000000000000000000e+00
2.213444575999999842e+01,6.408013379999999870e+01,1.244978224000000182e+02,1.527493771999999979e+02,6.393333333000000351e+01,-5.264351851999999887e+00,6.529286453749999453e+01,1.000000000000000000e+00
2.291399257000000134e+01,3.183371183999999854e+00,1.778166561999999828e+02,4.560993143999999120e+02,5.770000000000000284e+01,4.120370369999999838e+00,2.609859171169999925e+01,1.000000000000000000e+00
2.033405193000000111e+01,3.090293386000000364e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.810000000000000142e+01,2.461574074000000056e+00,1.993380954579999909e+01,1.000000000000000000e+00
2.214648947999999962e+01,1.539725634999999926e+01,6.184886379999999795e-01,4.838561120000000049e-01,9.912500000000000000e+01,7.606481481000000322e+00,3.227188444920000165e+01,1.000000000000000000e+00
2.462987383000000108e+01,2.795956891999999971e+00,1.710491526999999792e+02,4.938644343999999364e+02,3.681666666999999649e+01,1.928935184999999919e+01,2.440502909829999822e+01,1.000000000000000000e+00
2.163507779000000042e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.659999999999999432e+01,1.694675926000000032e+01,2.165458766080000075e+01,0.000000000000000000e+00
1.911002664000000095e+01,4.248165595999999766e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.377499999999999858e+01,3.427777778000000275e+00,4.377987550920000359e+01,1.000000000000000000e+00
2.352070228999999912e+01,2.613063031999999897e+00,1.167517310000000066e+02,5.810471211000000267e+02,4.300833332999999925e+01,1.184722222000000080e+01,2.247192386580000090e+01,1.000000000000000000e+00
2.243004863000000171e+01,8.922134166000001088e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.405833332999999641e+01,6.932870369999999838e+00,2.873951088829999989e+01,1.000000000000000000e+00
2.113365036000000075e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.029166666999999791e+01,1.020185185000000061e+01,2.133521620420000175e+01,0.000000000000000000e+00
2.331922617000000031e+01,0.000000000000000000e+00,1.398000198000000012e+02,4.823529907999999864e+02,8.585833332999999357e+01,1.481666667000000004e+01,2.282101435250000065e+01,0.000000000000000000e+00
2.280042953999999966e+01,2.854763346000000368e+00,1.596769361000000060e+02,1.162519104000000070e+01,7.041666666999999791e+01,9.281944445000000599e+00,2.135108851500000071e+01,1.000000000000000000e+00
2.149317122000000069e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.020833333000000209e+01,1.186898148000000042e+01,2.144469417999999905e+01,0.000000000000000000e+00
2.064964056000000170e+01,8.095114558000000216e+01,2.228795900999999802e+00,2.144761233000000100e+00,8.491666666999999791e+01,-3.253240741000000380e+00,6.249990995329999777e+01,1.000000000000000000e+00
2.271302676999999903e+01,0.000000000000000000e+00,5.711294151999999968e+01,1.371865651000000019e+00,5.526666666999999933e+01,1.118657407999999975e+01,2.159441507000000016e+01,0.000000000000000000e+00
2.224873989999999679e+01,3.828010562000000050e+01,2.333925389999999993e+02,1.594434194000000105e+02,7.205833332999999641e+01,-5.615740740000000342e-01,3.842858849830000167e+01,1.000000000000000000e+00
2.283829382000000052e+01,3.599589849999999558e+01,1.026114878000000061e+02,7.395680938999998943e+02,6.867499999999999716e+01,-8.775925926000001098e+00,4.264384299999999683e+01,1.000000000000000000e+00
2.090751000000000204e+01,2.382251596000000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.954166666999999791e+01,6.955092592999999823e+00,3.660755919830000238e+01,1.000000000000000000e+00
2.088084175999999914e+01,3.682258628000000034e+00,1.134141462999999987e+02,8.331819767999999158e+02,3.491666666999999791e+01,1.147685185000000052e+00,2.553380464250000159e+01,1.000000000000000000e+00
2.120813697999999903e+01,6.554856021999999882e+01,5.867768197000000185e+01,4.096590260000000372e-01,6.929999999999999716e+01,-4.147222221999999903e+00,6.529663185079999721e+01,1.000000000000000000e+00
2.583500154000000038e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.419166666999999649e+01,1.992546296000000083e+01,2.500192453749999899e+01,0.000000000000000000e+00
2.218695610000000329e+01,1.783044426000000016e+01,8.764126604000000498e+01,2.792976315000000209e+00,9.329999999999999716e+01,1.283287037000000019e+01,2.813543731000000037e+01,5.000000000000000000e-01
2.172785524000000024e+01,3.087192486000000180e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.348333332999999357e+01,6.939351852000000598e+00,2.156221687580000079e+01,1.000000000000000000e+00
2.124055251000000055e+01,2.109853873999999863e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.297499999999999432e+01,4.258950508999999940e+00,3.413271764830000166e+01,1.000000000000000000e+00
2.147943538999999902e+01,2.154137889000000072e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.840000000000000568e+01,2.512037036999999806e+00,3.505293704999999704e+01,1.000000000000000000e+00
2.118953558000000115e+01,2.655908442999999863e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.956666667000000359e+01,-7.023148147999999757e+00,3.505619377420000404e+01,1.000000000000000000e+00
2.240565426999999943e+01,1.438522880000000015e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.695000000000000284e+01,1.073240741000000043e+01,3.101273018499999878e+01,1.000000000000000000e+00
2.055786606999999933e+01,2.757960886000000222e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.848333332999999357e+01,9.205555556000000195e+00,1.957331500920000167e+01,1.000000000000000000e+00
2.200960733999999874e+01,1.845154992000000149e+01,3.178632663000000136e+01,6.450183130000000098e-01,7.734166666999999507e+01,1.186527777999999955e+01,2.807640069500000024e+01,4.166666667000000213e-01
2.274439050999999878e+01,3.512272097000000315e+01,2.657111959999999939e+01,9.618246240000000169e-01,7.634166666999999507e+01,2.425462963000000194e+00,4.673757611079999919e+01,1.000000000000000000e+00
2.252940437000000173e+01,2.255890880000000109e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.429166666999999791e+01,4.748611111000000662e+00,3.717708424079999929e+01,1.000000000000000000e+00
2.146014291999999912e+01,1.813216316999999833e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271666667000000217e+01,6.322685186000000179e+00,3.317869167079999926e+01,1.000000000000000000e+00
2.221187828000000053e+01,2.769814095999999992e+01,3.812751981000000256e+01,9.936870123999999294e+01,6.862500000000000000e+01,1.409259259000000153e+00,3.844133353750000026e+01,1.000000000000000000e+00
2.279006030000000038e+01,5.604279427000000169e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.703333333000000493e+01,-9.781944444000000516e+00,5.806630004670000034e+01,1.000000000000000000e+00
2.047976400000000297e+01,3.137021207000000089e+01,5.961226680000000222e-01,2.238346739999999835e-01,8.069166667000000359e+01,-1.996759259000000064e+00,4.127794953749999962e+01,1.000000000000000000e+00
2.256881736000000060e+01,2.248987783999999834e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.304166666999999791e+01,4.802777778000000275e+00,3.695047866670000047e+01,1.000000000000000000e+00
2.251873615999999956e+01,2.304015852999999936e+01,1.304903520999999955e+02,5.573062137000000149e+01,7.062500000000000000e+01,1.656018519000000078e+00,3.788489023249999832e+01,1.000000000000000000e+00
2.236757584000000065e+01,6.254464121000000176e+01,5.639481697000000082e+01,1.090643760999999898e+02,7.894166667000000359e+01,1.888888889999999765e-01,6.451929323999999610e+01,1.000000000000000000e+00
2.253982332000000000e+01,9.829446088999999276e+00,1.149817500999999993e+02,6.792098767999999787e+00,8.142499999999999716e+01,6.246296296000000581e+00,3.461669101420000061e+01,1.000000000000000000e+00
2.388796626999999972e+01,0.000000000000000000e+00,1.638584985999999901e+02,9.390264886999999305e+01,7.053333333000000493e+01,1.628194444000000018e+01,2.399463264419999931e+01,0.000000000000000000e+00
2.261436523000000065e+01,3.257345892000000021e+01,4.999208789000000053e+01,3.970197301000000323e+01,4.910833333000000067e+01,4.368055555999999839e+00,4.055209796169999947e+01,1.000000000000000000e+00
2.276082707999999855e+01,2.000452763999999917e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.390000000000000568e+01,3.156944443999999628e+00,3.823475564750000188e+01,1.000000000000000000e+00
2.055721933999999962e+01,0.000000000000000000e+00,4.572286960999999650e+01,4.222398689999999899e-01,9.777500000000000568e+01,1.102962963000000052e+01,2.093781457920000122e+01,0.000000000000000000e+00
2.241947404000000077e+01,1.093985746000000070e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.683333333000000209e+01,9.439814815000000081e+00,2.732911851829999961e+01,1.000000000000000000e+00
1.927320287999999948e+01,1.806772356000000102e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.870833333000000209e+01,-4.773148150000000034e-01,2.914196606499999831e+01,1.000000000000000000e+00
2.160213166999999856e+01,3.844541501999999777e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.736666667000000075e+01,7.539351852000000243e+00,2.120402723079999774e+01,1.000000000000000000e+00
2.122000318999999990e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.756666628000000685e+01,1.020879651000000088e+01,2.140762175920000132e+01,0.000000000000000000e+00
2.073349633000000125e+01,3.140988048000000088e+00,1.329506781999999987e+02,1.486759264000000087e+02,8.646666666999999507e+01,6.759722222000000613e+00,2.189745560169999905e+01,1.000000000000000000e+00
2.268876124000000161e+01,1.009502477999999925e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.955833332999999641e+01,7.554166667000000501e+00,2.935362157750000023e+01,1.000000000000000000e+00
2.081899127000000149e+01,8.181358950000000618e+01,1.801787505000000067e+01,1.808329561999999946e+00,8.016666666999999791e+01,-2.013425926000000032e+00,6.234615374829999723e+01,1.000000000000000000e+00
2.281147569999999902e+01,4.165662627999999756e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.994166667000000359e+01,-3.481944444999999888e+00,4.933465921250000008e+01,1.000000000000000000e+00
2.072179754000000074e+01,2.860648652000000070e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.704999999999999716e+01,1.088749999999999929e+01,2.008544670000000210e+01,1.000000000000000000e+00
2.046871980999999963e+01,2.813070093000000327e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.539999999999999858e+01,9.012962962999999661e+00,1.955999790579999953e+01,1.000000000000000000e+00
2.468599915000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.648333332999999357e+01,1.713935185000000061e+01,2.253266451829999895e+01,0.000000000000000000e+00
