# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
22.3999987517,5.329226795,0,0,85.84166667,10.58009259,29.6905500142,1,0.0788342843,176.9520070175,674.6772396735,1.2822434161,19.4596940889,21.5734818276,0.1628159448
24.8544007109,0,2.096440103,0.346594931,95.3,13.07268519,24.47687176,0,0.032642223,207.3080151884,338.5710150087,1.1781076153,12.450374352,44.9688458201,0.0993996289
25.3760529319,0,50.09745111,13.08756832,55.975,21.98472222,25.1633108333,0,0.0415505675,273.4480743381,978.0454742003,1.5293232132,10.5398876307,30.5563836523,0.1497727977
18.3176378751,10.9612080942,0,0,79.16666667,9.656944444,35.6001772592,1,0.0989425554,66.885460706,535.1372348195,1.5103914941,15.7200529181,49.5388542247,0.2884752553
25.5304021362,0,4.105337482,3.708631958,54.66666667,21.68194444,22.8595236108,0,0.0750415409,228.2236429098,634.3700231464,1.3711126732,5.4798131443,29.9935570465,0.0687899574
19.8525748423,8.2551229547,0,0,70.875,4.4125,33.1623113108,1,0.0364558527,279.4820815491,502.741835617,1.3482061479,13.8625095198,21.4556416076,0.0335530077
22.8744913553,19.2110519054,184.6940931,166.9357954,65.2,1.727777778,36.30068988,1,0.0040904564,147.3960928291,936.763776769,1.4341755828,9.8566022141,43.0053405444,0.0828037197
19.5872484262,12.7669478012,0,0,74.54166667,10.30046296,32.7066586158,1,0.0898244295,68.4887034152,887.7251770147,1.6970514967,20.3218238103,37.4746989826,0.1809241444
20.0580375725,12.5858388578,88.57046107,121.4052216,62.4,-8.612037037,50.5248993992,1,0.0902594869,235.2101889146,743.76394168,1.3460196165,8.8986532917,40.902976381,0.0117751282
22.2220391193,12.2378731921,98.15626777,7.770804033,94.75,4.230555556,38.2788872208,1,0.0117228535,71.0064845348,487.6154752154,1.2853602014,16.0647682704,42.4563842739,0.2049818438
23.6041447547,12.009595263,77.78792163,815.7048409,62.5,6.30462963,29.786150935,1,0.0695645626,187.9921121769,499.9248367262,1.5637118999,15.75784594,40.8785969287,0.2505825044
23.1921387688,14.1748400249,72.68512735,0.693090678,88.18333333,3.645370371,41.0541135642,1,0.0956816867,337.6740780656,377.1373468876,1.5438168766,20.8341992079,45.5203014487,0.0675903744
22.523275506,4.8364097036,0,0,95.63333333,0.862037037,29.3599435592,1,0.0245845129,137.0772387548,258.4652346457,1.2010966646,5.3375553398,38.7536905178,0.148179159
20.7833779324,10.1005886332,0,0,70.1202375,-7.126322778,40.0072863433,1,0.0963140266,213.4374449565,349.967688902,1.5281402013,22.043827667,32.575366326,0.0206842919
20.9132937508,12.4183062294,246.8971142,514.0370893,40.3,5.478703704,26.412549975,1,0.0734675449,92.4009229601,957.6867842689,1.4530828882,6.6913273001,38.2811608521,0.1053556229
21.7789666948,14.168438144,248.7105575,425.0589289,57.05833333,1.875462963,37.4747738467,1,0.0047135703,89.1369445501,795.5566848541,1.2724813253,15.5149542246,22.1676217636,0.2450311921
22.5271561811,27.1571595939,0,0,50.45,7.192592593,22.4252359017,0,0.0016869063,211.0506856572,735.3380582309,1.5363858349,13.1881424646,33.4357679867,0.0788016799
22.4436356695,6.3403041642,0,0,70.63928544,0.618055704,29.5690685367,1,0.0480742937,212.1114430251,758.9025390485,1.3335241875,17.3062086662,47.7705414036,0.1411357194
15.5763376881,8.8769233563,0,0,61.2,-10.475,42.5486889358,1,0.046663992,341.8741364112,805.528175358,1.2834688945,15.5470409748,27.0735706568,0.1139559116
19.4252704825,0,81.32915885,6.456659667,80.99166667,16.87962963,21.5400141342,0,0.0788342843,176.9520070175,674.6772396735,1.2822434161,19.4596940889,21.5734818276,0.1628159448
17.6940130944,10.0348929065,0,0,89.55,1.964351852,30.8262897675,1,0.0532783299,150.8753994975,894.3551171755,1.4118398948,22.3199291154,34.1742780119,0.2958060998
21.7496112535,12.5711797025,119.7915364,753.93953,60.44166667,6.873611111,24.4789919392,1,0.0989425554,66.885460706,535.1372348195,1.5103914941,15.7200529181,49.5388542247,0.2884752553
22.30771312,8.9106038462,0,0,73.85,-1.643981482,29.9239630642,1,0.0383396359,244.4478889147,584.8453524564,1.4643651715,22.1468239623,22.3671842577,0.0478530737
19.6967258881,3.6047974088,0,0,96.30833333,6.773148148,32.2820615008,1,0.091302922,388.5202834353,483.5856705761,1.1311129531,16.6464167419,27.1694749348,0.1148376096
23.0615646944,0,12.7485842,0.378406699,97.2,10.75185185,21.0300782408,0,0.0026422459,376.3575288786,906.3548254775,1.5023554156,24.2961431199,40.3170208397,0.2351445375
24.827659683,0,0,0,81.75833333,15.0587963,24.3142219675,0,0.0844032421,238.4169673959,388.7268293366,1.5908580699,6.2048231451,41.1629822343,0.1995012516
24.6277724575,9.7534707826,170.0279815,112.9678731,71.525,0.843055556,59.9752607858,1,0.0490062897,380.8463281049,875.9422226025,1.6758742425,23.5428641057,23.7308525246,0.0639407526
23.908152423,5.4886516527,0,0,49.99166667,7.434722222,18.8635195692,1,0.0984216761,227.0436298801,811.8835717924,1.3530596434,22.6829009588,26.7957631635,0.1293246503
23.0076524746,8.5212534049,0,0,53.94166667,3.208333333,24.282889735,1,0.0576281104,139.7405217526,222.1200322587,1.5173065797,11.246780219,23.0656440948,0.0307843493
21.7099721025,11.7801420268,11.28802081,1.110309275,91.64166667,13.0662037,23.4942275433,1,0.0130497219,98.4036336239,332.5229101641,1.3396316974,5.9862294891,34.4572773633,0.2815471857
21.343816447,22.4526314244,297.815124,38.09369346,64.98333333,7.663888889,22.0549754033,1,0.005609737,259.0928799721,865.6356735705,1.7162609713,15.1536258192,34.2694394551,0.2321340665
26.9761953128,0,0,0,54.75,20.22962963,25.2221083333,0,0.0150913537,153.6222973866,431.3555810837,1.5206700523,18.8074263437,37.6023161992,0.289964429
18.2010704339,12.8332298137,0,0,69.95,-5.953240741,43.1830988892,1,0.0295176047,294.3870521693,220.3986483892,1.4936989983,8.1769172025,30.0704598381,0.0973651623
20.1333187089,7.3488222463,0,0,69.825,4.458333334,31.3135709058,1,0.0984216761,227.0436298801,811.8835717924,1.3530596434,22.6829009588,26.7957631635,0.1293246503
26.2141798519,0,0,0,68.07500074,12.87037048,23.6809749583,0,0.0427753735,205.7378854317,595.8271128056,1.7115579498,20.6821587207,43.4531412913,0.0901920758
21.1422031366,8.927118006,5.752381583,0.732432767,77.45,-2.02037037,37.7739971183,1,0.031795359,272.9078847101,710.8946441315,1.4059432104,6.7635137355,36.8789843237,0.2569130634
22.7904905234,0,0,0,89.43333333,14.14907407,22.467770115,0,0.0295176047,294.3870521693,220.3986483892,1.4936989983,8.1769172025,30.0704598381,0.0973651623
22.8539367464,5.6532834977,151.3421243,31.41115276,91.725,14.36064815,26.3523195792,0.5833333333,0.0423037352,236.1830403071,889.8299776955,1.251373259,24.1662186269,43.7784673911,0.0290547586
18.7804440175,15.7366019632,182.4446878,259.4688188,68.65,-2.637962963,40.8360472692,1,0.0705533351,297.5548955157,844.8348472688,1.459644217,5.8587532327,21.6913717711,0.2239103548
18.9163330304,18.8443236495,5.922498967,20.93747134,76.825,-3.824537037,56.6774404158,1,0.0030581488,302.88975974,982.9917440893,1.3499305984,19.4971950815,47.0129287142,0.1657017436
21.4885516386,13.6145040627,103.5724783,7.938713893,73.75833333,8.160185185,32.5115888192,1,0.0537905638,128.9880323936,566.7597966664,1.5040208113,11.979260768,35.1829578892,0.2208605431
26.5281971963,0,163.5314268,10.72448446,46.1,18.88796296,23.440114815,0,0.0759351591,265.5221764622,756.1307894664,1.4029285021,11.4756999435,48.418192175,0.0557617166
23.5933587307,10.1385776215,34.67439427,3.250760042,63.35833333,12.07175926,25.8586231658,1,0.0657611766,138.9459035216,721.4992726806,1.3847781791,19.7584119781,24.8242801508,0.2159183746
19.8848544175,19.1087921002,0,0,85.53333333,-8.70462963,39.3400987492,1,0.011017148,250.3334061916,800.6310995357,1.7068075823,10.3642142254,26.981889586,0.0779116529
21.847888828,15.3861401475,31.55065677,120.5049405,79.50833333,1.551851852,61.2749406025,1,0.0809960423,217.5529100748,228.9324158885,1.57357589,11.8178821441,33.3333377315,0.1963709342
22.0930669453,10.2110814825,0,0,66.21666667,8.096296296,33.5407591717,1,0.0795541745,232.9371153246,454.1296442224,1.6174330421,8.5780706251,31.8683402638,0.2083243398
22.8424717278,12.2759107205,12.67542511,316.410208,54.59166667,3.560648148,41.8822417133,1,0.0915845672,298.9066645927,809.6478291741,1.4651056092,16.1933336107,32.9885696856,0.1940181094
21.1198346134,15.9209156962,0,0,72.54166667,-3.627777778,38.4125599567,1,0.0121121635,80.8269658684,825.2451479587,1.6548211621,9.6672569435,46.712420174,0.0883828409
