# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
1.103240659250660016e+01,2.705187660000000216e-01,1.413767090000000171e-01,8.129166666999999791e+01,1.018287036999999984e+01,3.188519909249999884e+01,1.000000000000000000e+00,3.645585267491240761e-02,2.794820815491308394e+02,5.027418356169804952e+02,1.348206147913257213e+00,1.386250951975668144e+01,2.145564160761242434e+01,3.355300770578256014e-02
2.247965530764560071e+01,6.184886379999999795e-01,4.838561120000000049e-01,9.912500000000000000e+01,7.606481481000000322e+00,3.227188444920000165e+01,1.000000000000000000e+00,7.547046126212449135e-02,1.062361433274080014e+02,5.561484135105657742e+02,1.468510550060649678e+00,2.173622646278816362e+01,4.218751445252173937e+01,1.528677554338282729e-01
2.210035425310000079e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.454166666999999791e+01,6.395833332999999676e+00,2.000072136249999843e+01,1.000000000000000000e+00,4.713570343619944390e-03,8.913694455009114392e+01,7.955566848541278659e+02,1.272481325295448773e+00,1.551495422459349349e+01,2.216762176363486958e+01,2.450311920674566046e-01
1.593553041280019933e+01,1.213444379999999825e+02,5.083300386999999887e+02,6.412500000000000000e+01,1.535185185000000008e+00,3.373847330579999948e+01,1.000000000000000000e+00,5.116232560349655289e-02,3.436907107862302837e+02,6.199325253402771523e+02,1.557363373323025213e+00,1.390174770231207191e+01,3.371768407028761771e+01,1.223506096683276284e-01
7.615634620274110311e+00,8.215280717999999638e+01,5.446761347999998861e+02,9.317499999999999716e+01,1.150416667000000004e+01,3.368826867579999629e+01,1.000000000000000000e+00,9.388405332502275380e-02,2.292944592343672241e+02,7.979428567930456211e+02,1.468051837093093059e+00,1.273779144145547804e+01,3.565898021905542947e+01,2.719787022089031892e-02
1.777562978679840100e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.900833332999999925e+01,-8.187037036999999629e+00,3.223048521169999958e+01,1.000000000000000000e+00,3.948202291396378516e-02,2.311837370015362012e+02,6.938933511799230018e+02,1.223449479338386325e+00,6.290797213628271045e+00,2.039879268509897159e+01,8.375603610298923418e-02
7.386352785755430084e+00,5.669719229999999754e+01,1.537142169999999863e-01,9.770833333000000209e+01,1.083425925999999961e+01,1.412245854180000038e+01,2.500000000000000000e-01,3.078877230554632333e-02,2.528375882323457233e+02,4.367160305352504110e+02,1.389983633273776720e+00,2.408534026198232780e+01,2.313899381683210166e+01,2.644194313959028486e-01
2.098816382213280107e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.533333333000000209e+01,7.795370369999999660e+00,5.445405365749999760e+01,1.000000000000000000e+00,9.692303656620390728e-02,1.205663094610257815e+02,8.927028802025284904e+02,1.276492803345599114e+00,6.395573602927490775e+00,4.742839953232605410e+01,1.284953555189591035e-01
2.240448453597879919e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.995000000000000284e+01,6.367129629999999985e+00,2.838679444579999966e+01,1.000000000000000000e+00,2.852456055894343062e-02,2.564700579430353855e+02,7.804403559473328187e+02,1.487225743351755280e+00,1.179835330497816415e+01,2.091492604011443746e+01,7.765205685973483596e-02
9.089231526810820583e+00,4.892306351999999947e+01,2.619747709999999952e-01,9.766666666999999791e+01,1.423240741000000043e+01,2.901943422579999776e+01,1.000000000000000000e+00,8.873171223151078701e-02,3.529752544585029455e+02,4.022446298411732641e+02,1.583149315409452473e+00,6.057536696357854744e+00,4.054595971709338897e+01,5.113275286796320485e-02
