,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
1/01/2017 1:00,0,0,88.11666667,4.217592592,37.2672932642,1
1/01/2017 2:00,0,0,87.46666667,4.234722222,37.4586338058,1
1/01/2017 3:00,0,0,90.46666667,3.55,37.8114201767,1
1/01/2017 4:00,0,0,91.18333333,3.132407407,37.9394977358,1
1/01/2017 5:00,0,0,88.45833333,2.585185185,38.0122791392,1
1/01/2017 6:00,0,0,84.8,2.097222222,38.2972945825,1
1/01/2017 7:00,0,0,81.65833333,1.57037037,38.5692159767,1
1/01/2017 8:00,0,0,79.18333333,1.008333333,38.7303054175,1
1/01/2017 9:00,31.55065677,120.5049405,79.50833333,1.551851852,61.2749406025,1
1/01/2017 10:00,80.34808569,40.3496545,76.20833333,2.142592593,60.3799852333,1
1/01/2017 11:00,89.93254637,646.0959326,70.15833333,4.362037037,37.7842665925,1
1/01/2017 12:00,83.87229875,799.6568506,66.94166667,4.836574074,30.2059481008,1
1/01/2017 13:00,81.37587076,833.3810725,66.01666667,5.459259259,29.7617032542,1
1/01/2017 14:00,77.78792163,815.7048409,62.5,6.30462963,29.786150935,1
1/01/2017 15:00,64.48825364,787.7039537,58.775,7.241203704,27.7235596625,1
1/01/2017 16:00,48.70251187,606.6308945,57.48333333,7.855555555,31.3060166242,1
1/01/2017 17:00,16.49335409,279.8542519,61.85,6.743518519,32.2107831017,1
1/01/2017 18:00,0,0,67.65833333,5.565740741,34.4755228792,1
1/01/2017 19:00,0,0,72.7,4.6375,48.5308718058,1
1/01/2017 20:00,0,0,73.16666667,4.60787037,31.9480942617,1
1/01/2017 21:00,0,0,75.1,4.075462963,32.5421041392,1
1/01/2017 22:00,0,0,75.275,3.685185185,33.963332375,1
1/01/2017 23:00,0,0,75.31666667,3.411111111,34.9587931617,1
2/01/2017 0:00,0,0,76.98333333,2.881481482,35.5557121433,1
2/01/2017 1:00,0,0,77.15833333,2.906944444,36.140316375,1
2/01/2017 2:00,0,0,78.53333333,2.993981482,36.4747733875,1
2/01/2017 3:00,0,0,84.2,2.985185185,37.069484235,1
2/01/2017 4:00,0,0,88.65,3.240277778,37.2527802333,1
2/01/2017 5:00,0,0,93.675,3.994444445,37.447985955,1
2/01/2017 6:00,0,0,95.975,5.44537037,37.4683305967,1
2/01/2017 7:00,0,0,97.03333333,5.835648148,37.4038856017,1
2/01/2017 8:00,0,0,97.4,6.002777778,56.8474009725,1
2/01/2017 9:00,10.89272629,1.731747936,97.375,6.256944445,56.1177351858,1
2/01/2017 10:00,40.82889874,2.908372452,97.84166667,6.574074074,36.81797224,1
2/01/2017 11:00,49.1400772,0.965103578,98.14166667,6.945370371,40.4627323525,1
2/01/2017 12:00,70.04130784,1.249465587,98.25833333,7.377777778,36.7019258933,1
2/01/2017 13:00,67.03989151,0.900087472,98.15,7.945833333,34.16957431,1
2/01/2017 14:00,81.86030679,2.795701392,98.24166667,8.282407407,34.23975887,1
2/01/2017 15:00,54.87417179,1.850997034,98.35,8.425462963,34.1433439342,1
2/01/2017 16:00,34.60199483,3.282849732,98.125,8.471759259,34.0506113617,1
2/01/2017 17:00,9.057513641,2.482003915,97.61666667,8.403240741,34.41691862,1
2/01/2017 18:00,0,0,96.73333333,8.406018518,34.2893348992,1
2/01/2017 19:00,0,0,95.275,8.135185185,34.3209672683,1
2/01/2017 20:00,0,0,92.00833333,8.001851852,38.8637705458,1
2/01/2017 21:00,0,0,90.04166667,8.055555555,34.4199164492,1
2/01/2017 22:00,0,0,89.1,7.942129629,30.9547152125,1
2/01/2017 23:00,0,0,88.55833333,7.475,31.4304721567,1
3/01/2017 0:00,0,0,89.18333333,7.122685185,32.4497345183,1
3/01/2017 1:00,0,0,89.63333333,6.953703704,33.160371055,1
3/01/2017 2:00,0,0,90.475,6.687037037,33.0670615225,1
3/01/2017 3:00,0,0,90.3,6.8875,33.62831369,1
3/01/2017 4:00,0,0,89.90833333,7.268518519,33.809411805,1
3/01/2017 5:00,0,0,89.25,7.850462963,33.6977661567,1
3/01/2017 6:00,0,0,91.69166667,7.768518518,34.1209187608,1
3/01/2017 7:00,0,0,93.79166667,7.869444444,34.2253235783,1
3/01/2017 8:00,0,0,95.33333333,7.79537037,54.4540536575,1
3/01/2017 9:00,6.629698319,0.819274112,96.54166667,7.508333333,45.8293696308,1
3/01/2017 10:00,19.37681274,0.530552678,97.08333333,7.216666667,33.3828305508,1
3/01/2017 11:00,31.71518213,0.372330412,97.54166667,7.151851852,45.4273887025,1
3/01/2017 12:00,46.46700807,0.382175411,98.125,7.281944445,35.5371939542,1
3/01/2017 13:00,58.79010151,0.568239112,98.53333333,7.635648148,34.3119071642,1
3/01/2017 14:00,61.00516651,0.990875153,98.55833333,8,39.8216611167,1
3/01/2017 15:00,47.94346577,1.209620558,98.46666667,8.249074074,36.2650466517,1
3/01/2017 16:00,25.82491503,1.407462183,98.64166667,8.39537037,33.9275059208,1
3/01/2017 17:00,4.119960055,0.755203812,99.01666667,8.457407407,34.4359822225,1
3/01/2017 18:00,0,0,99.35,8.437037037,41.21882538,1
3/01/2017 19:00,0,0,99.63333333,8.640740741,33.5223730817,1
3/01/2017 20:00,0,0,99.925,9.016203704,33.4375866233,1
3/01/2017 21:00,0,0,100,9.926388889,29.7015037725,1
3/01/2017 22:00,0,0,99.98333333,9.857407408,30.4466576667,1
3/01/2017 23:00,0,0,99.85833333,9.650925926,31.0409234667,1
4/01/2017 0:00,0,0,97.90833333,8.425462963,31.1487666675,1
4/01/2017 1:00,0,0,95.99166667,6.776851852,31.7232301217,1
4/01/2017 2:00,0,0,95.00833333,6.640277778,31.9305347492,1
4/01/2017 3:00,0,0,95.59166667,6.475925926,32.5238715325,1
4/01/2017 4:00,0,0,96.86666667,6.606944444,33.034614375,1
4/01/2017 5:00,0,0,93.4,6.409259259,33.3190511158,1
4/01/2017 6:00,0,0,92.2,5.509259259,33.7276363792,1
4/01/2017 7:00,0,0,91,4.828703704,34.045874325,1
4/01/2017 8:00,0,0,93.18333333,3.577777778,56.0315781008,1
4/01/2017 9:00,7.629788778,1.180528426,90.88333333,2.984722222,52.8712334267,1
4/01/2017 10:00,51.35200528,10.91902658,85.58333333,2.849074074,38.1354928808,1
4/01/2017 11:00,97.67744577,406.9445107,70.95,3.268518518,37.2911700467,1
4/01/2017 12:00,109.6413059,759.1077729,56.95,2.700462963,34.1827426767,1
4/01/2017 13:00,111.2250299,806.0305791,55.04166667,2.446759259,36.9178838983,1
4/01/2017 14:00,122.3932796,20.60087578,59.70833333,0.947685185,37.7126041533,1
4/01/2017 15:00,97.76284525,173.472986,56.05,0.260648148,40.71241699,1
4/01/2017 16:00,38.23592993,945.629901,54.35,0.205092593,41.7124856483,1
4/01/2017 17:00,18.25110671,599.4594159,53.80833333,-0.706018519,47.5587609708,1
4/01/2017 18:00,0,0,53.525,-1.946296296,53.2639823608,1
4/01/2017 19:00,0,0,57.68333333,-2.710648148,57.117934815,1
4/01/2017 20:00,0,0,58.74166667,-3.45462963,48.1119933783,1
4/01/2017 21:00,0,0,62.925,-4.209259259,37.930735415,1
