# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.117359201557270154e+01,2.076204428184139861e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.432500000000000284e+01,1.305601852000000029e+01,2.236650438999999935e+01,1.000000000000000000e+00,2.253411333531435846e-03,2.424773315338047439e+02,8.362864518719389935e+02,1.258696316186060482e+00,1.079533947899807345e+01,8.989155387956219989e-02
2.047477805300869846e+01,8.523101314921200711e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.488333332999999925e+01,-4.021759258999999531e+00,3.036224738329999795e+01,1.000000000000000000e+00,4.948704627334058782e-03,1.143061712752514438e+02,6.845507653932008907e+02,1.299005187766334224e+00,2.445876558175403304e+01,2.284364322548728399e-01
2.317979883792219908e+01,1.354295537248460057e+01,4.996748009000000224e+01,3.163608641999999804e+02,6.659166666999999507e+01,-7.842592592999999113e+00,3.430313424420000246e+01,1.000000000000000000e+00,4.265073253149741055e-03,3.768961120149651265e+02,7.412139658190446880e+02,1.355402326605086527e+00,4.869668627015667539e+01,1.098731138953213116e-01
2.052575003780160046e+01,1.130347094382550033e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.727499999999999858e+01,-3.313888888999999782e+00,2.730047995829999863e+01,1.000000000000000000e+00,3.531946939555875593e-03,3.677244982498125978e+02,6.549486991152982682e+02,1.382172781828908903e+00,3.826653327129484694e+01,7.823042429720233892e-02
2.522476971718790040e+01,8.489853006122810797e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.260833333000000067e+01,-4.428240741000000646e+00,2.327035110579999966e+01,1.000000000000000000e+00,1.369895070731332563e-03,1.476970469684061982e+02,5.283287792425419411e+02,1.501744504539866742e+00,4.821367979178583596e+01,3.177450116836207095e-02
2.792260595294689907e+01,0.000000000000000000e+00,4.670474069000000128e+01,9.621897497000000499e+01,3.305833333000000351e+01,1.229814814999999939e+01,2.304850414330000064e+01,0.000000000000000000e+00,1.743393282710370721e-03,2.124461657522500104e+02,2.745236692249545172e+02,1.536931605806739265e+00,3.178209743989638270e+01,1.173401664514347881e-01
1.936068450949180075e+01,1.849743511809660035e+01,2.066952601000000129e+02,1.499644164999999987e+02,6.750833332999999925e+01,-3.842129630000000073e+00,4.352367037079999790e+01,1.000000000000000000e+00,3.382791350100884491e-03,1.745925444529504489e+02,7.330175241822489625e+02,1.246054525609138874e+00,1.360184769718382292e+01,9.031651284265969359e-02
1.706134665513850024e+01,1.586664228751230077e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.295833333000000209e+01,-8.648148150000000145e-01,4.023534236079999715e+01,1.000000000000000000e+00,3.294046623888729000e-03,1.093663052658253036e+02,4.786172509284692183e+02,1.240693346316795509e+00,6.474049044039809075e+00,2.631777195313877993e-01
2.653638917298449940e+01,0.000000000000000000e+00,8.574429087000000393e+00,1.486643165000000089e+01,5.164999999999999858e+01,1.215462963000000052e+01,2.293774833830000048e+01,1.000000000000000000e+00,2.710260494317996184e-03,3.564322033928339124e+02,3.000132591161612936e+02,1.664373899749695518e+00,3.043729668830946622e+01,1.028484053020957585e-02
2.074895471927829860e+01,2.555878752643480079e-01,1.223222243000000020e+02,7.904099670999999994e+00,7.945833333000000209e+01,1.428981482000000014e+01,2.420875833330000049e+01,8.333333330000000649e-02,2.747681467760023939e-03,6.823849768186443043e+01,8.166684212041030833e+02,1.243500800596485378e+00,1.287797329404331315e+01,5.557875176093278469e-02
2.647079475450550134e+01,0.000000000000000000e+00,2.443851512999999898e+01,1.713097045999999901e+00,6.615833333000000493e+01,1.764675925999999961e+01,2.203347864250000043e+01,0.000000000000000000e+00,1.668743241399044943e-03,3.624629378020246122e+02,5.758112203416604871e+02,1.309447884618076596e+00,4.081245016955510607e+01,2.025508805934365941e-01
1.815094151821709900e+01,3.296748870441810197e+01,3.601917218999999726e+00,5.954888432000000620e+00,5.979166666999999791e+01,-2.870370400000000002e-02,5.359324699079999732e+01,1.000000000000000000e+00,2.629315525474593216e-03,2.196115707677751345e+02,8.283042498966913172e+02,1.199551786596803060e+00,6.161058059847917434e+00,2.810107246793843716e-01
2.432062107234530046e+01,2.812383698893140149e+01,1.923498004999999864e+02,6.650343079999998963e+01,6.189999999999999858e+01,-3.053240741000000202e+00,4.269534495250000106e+01,1.000000000000000000e+00,2.701492730770574911e-03,1.768326777623440194e+02,9.556957718404948992e+02,1.486744402604403437e+00,3.704151815159322325e+01,1.708772666436381149e-01
2.374847740368329951e+01,1.619369456578790079e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.562500000000000000e+01,-1.216203703999999997e+00,3.658702016250000355e+01,1.000000000000000000e+00,2.846156668456454979e-03,3.039093601345094839e+02,4.921604534116270315e+02,1.383337490504677136e+00,3.367384901828994259e+01,1.051559520081235266e-01
2.379728470404329954e+01,3.717575707550199837e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.258333333000000209e+01,-2.439814810000000278e-01,4.312286787170000224e+01,1.000000000000000000e+00,1.900957025497989781e-03,1.181511813984954813e+02,3.777675926913134958e+02,1.649482551004019637e+00,2.102899810827003790e+01,1.624195090958216112e-02
2.686673886504809872e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.235000000000000142e+01,2.015416666999999862e+01,2.518210830499999986e+01,0.000000000000000000e+00,1.189069578385521398e-03,1.929618361566191993e+02,3.183594968466316004e+02,1.237855520116008190e+00,2.057212691413140959e+01,3.800244910604915621e-02
2.590069377667769857e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.636666667000000075e+01,1.719814815000000152e+01,2.270767600419999965e+01,0.000000000000000000e+00,4.456154190051481861e-03,3.264506714370371583e+02,5.535090777825314490e+02,1.362816243929690252e+00,2.969912791837981558e+01,3.080655196528001016e-02
2.199244959591640125e+01,9.415679548023540235e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.970000000000000284e+01,9.625925926000000743e+00,2.266863079250000013e+01,0.000000000000000000e+00,3.475888280495066304e-03,3.533975824871176883e+02,4.239875253001650890e+02,1.555724649937534121e+00,2.142999924489360097e+01,6.887481709400990193e-02
2.008794316200890151e+01,5.410818254047230269e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.729999999999999716e+01,-1.558333333000000209e+00,1.998231130919999998e+01,1.000000000000000000e+00,1.134300690718077547e-03,1.786423756743024001e+02,4.252756686624351801e+02,1.414201816702623349e+00,1.043674841355322158e+01,1.847447833518126303e-01
2.138331740433299899e+01,0.000000000000000000e+00,9.676026425000000586e+01,4.498117005999999947e+02,6.755833332999999641e+01,1.721064815000000081e+01,2.372584357499999896e+01,0.000000000000000000e+00,3.195938486228119563e-03,7.743256536757387209e+01,9.868963921724576949e+02,1.518118310436190166e+00,7.931016410894072166e+00,5.859569096805614108e-02
2.237598599287339951e+01,2.082763325466239834e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.244166666999999649e+01,-4.930555560000000059e-01,3.410538186250000336e+01,1.000000000000000000e+00,1.395039494467462896e-03,2.729898596615066140e+02,4.881868698303937890e+02,1.589956012664550222e+00,2.028719877829015417e+01,1.083123319325947770e-01
2.126231334009609952e+01,9.715537721560000506e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.283333333000000209e+01,-2.906018518999999856e+00,2.975043048579999905e+01,1.000000000000000000e+00,3.510230742826925005e-03,2.021780916447262655e+02,6.481160247604173037e+02,1.347235571528083931e+00,3.718119563419708129e+01,1.789537093888762531e-01
2.309868332808569846e+01,6.837184256839690022e+01,1.856623551999999790e+02,1.688862514999999860e+02,6.104999999999999716e+01,-4.675925926000000565e+00,5.172069930669999849e+01,1.000000000000000000e+00,1.114737066985121636e-03,3.428813193649222058e+02,2.307269573368230056e+02,1.539524068832057058e+00,1.103771247347160767e+01,6.184595488018241466e-02
1.900394731261360093e+01,2.395671774989250125e+01,1.129721290000000096e+02,6.806567069999999831e+02,5.976666666999999933e+01,-2.734722221999999814e+00,3.760325631330000107e+01,1.000000000000000000e+00,3.463070724556215323e-03,1.367787866834084411e+02,3.292774087580614832e+02,1.535710724166354790e+00,6.763231030479363248e+00,2.100091568236469863e-01
2.219910741073709914e+01,1.222428537447169994e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.808333333000000209e+01,6.114814814999999903e+00,3.265172199500000261e+01,1.000000000000000000e+00,1.095603227237780574e-03,2.381450546451519585e+02,6.426907403317563876e+02,1.182613967761011020e+00,1.744623261364035471e+01,3.848161066139745706e-02
2.097763262669829842e+01,2.251925278415010112e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.574166667000000075e+01,-2.529629630000000073e+00,4.041112351920000378e+01,1.000000000000000000e+00,4.206785384494845896e-03,8.180752555945252880e+01,5.457526877409331973e+02,1.498499944485523816e+00,1.863440940944182245e+01,7.440344516953674436e-02
2.060724062305470028e+01,3.591740455264989862e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.024166667000000075e+01,-9.175925929999999564e-01,3.816738793079999681e+01,1.000000000000000000e+00,1.084331251976834807e-03,1.709417583623303187e+02,8.814200218694029445e+02,1.577740239692161150e+00,1.223615328948499936e+01,2.801953213159589784e-01
2.423586581985010113e+01,2.920549698324089860e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.292499999999999716e+01,-4.209259258999999531e+00,3.793073541500000090e+01,1.000000000000000000e+00,3.175139061680441570e-03,2.488130696394830181e+02,3.540371325236395705e+02,1.660961460785047139e+00,2.608961324359010803e+01,2.105259348351036786e-01
2.184562853927840109e+01,1.187960034319690017e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.189999999999999858e+01,-4.398148147999999757e+00,3.459857314749999802e+01,1.000000000000000000e+00,3.913746338848710440e-03,3.503415579117340712e+02,7.685263664118983797e+02,1.290010632634985832e+00,1.811467019595536243e+01,1.886204844609996878e-01
2.094437009986949860e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.756666628000000685e+01,1.020879651000000088e+01,2.140762175920000132e+01,0.000000000000000000e+00,3.644310838771024422e-03,1.314181275973641334e+02,3.615589778895927111e+02,1.671595262637485479e+00,2.308368725774190722e+01,2.246282841298892219e-01
2.083643269250340069e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.776666666999999933e+01,1.052731482000000085e+01,2.125801944420000211e+01,0.000000000000000000e+00,2.304637223248723332e-03,2.229848778349333713e+02,9.229687627535159891e+02,1.549861627129690334e+00,4.225118931248970000e+01,2.258939377092121503e-01
2.412130978025750139e+01,7.392077632415849919e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887500000000000000e+01,1.741666666999999835e+00,3.319255531499999989e+01,1.000000000000000000e+00,4.186047079207034192e-03,3.869382172918867582e+02,2.276677075327272632e+02,1.135451952239066253e+00,4.689749814860273602e+01,1.246709984273525057e-01
2.331477608003190127e+01,6.110924687462500060e+01,1.237766779000000099e+02,1.567670575999999869e+02,6.467499999999999716e+01,-7.680555554999999757e+00,5.965897337919999899e+01,1.000000000000000000e+00,4.060272410939794532e-03,1.953597519498929671e+02,2.702191572163962974e+02,1.654707831769912207e+00,4.477354277716439412e+01,1.280786960584605165e-02
2.426911653881380104e+01,2.477616625834449859e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.810000000000000142e+01,2.461574074000000056e+00,1.993380954579999909e+01,1.000000000000000000e+00,4.199169915726861518e-03,1.300191698053632763e+02,4.841632425300594491e+02,1.359041617801848512e+00,4.936077300993248684e+01,3.679653081064301889e-02
2.157577573885750155e+01,1.867049873064020105e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.516666666999999791e+01,-1.084583332999999961e+01,3.882047976919999854e+01,1.000000000000000000e+00,1.248249253220104927e-03,3.818065951513153777e+02,3.247051448808083478e+02,1.294822894977739169e+00,2.370655611780917482e+01,9.739371739722244015e-02
2.945071633777279985e+01,0.000000000000000000e+00,1.331019831000000124e+02,8.921533933000000616e+02,5.516666666999999791e+01,1.312592592999999930e+01,2.201806368920000168e+01,0.000000000000000000e+00,2.148227972308117649e-03,3.293592927466302172e+02,9.338054097551333825e+02,1.202547540485483069e+00,4.941870463087237653e+01,6.634106988422827644e-02
2.053925115405840174e+01,8.698537534745520361e+01,6.490447593999999754e+01,6.290989577000000281e+02,7.390000000000000568e+01,-1.166111111000000022e+01,6.560280736079999997e+01,1.000000000000000000e+00,1.154665788088825350e-03,6.563007712718545861e+01,7.362714531138137772e+02,1.523831150917235755e+00,2.290903055107324704e+01,2.240795480025949138e-01
2.113062570150820108e+01,2.255458944330399973e+01,2.785615808999999672e+02,1.545305050000000051e+02,6.174166667000000075e+01,-1.779166666999999924e+00,4.109307064749999938e+01,1.000000000000000000e+00,3.851468991882149584e-03,1.418988358663517033e+02,2.152688120511188572e+02,1.422982062673728842e+00,1.879280734435810274e+01,2.655870881392305427e-01
2.442833692855090177e+01,2.947567942358559900e+00,1.234831065999999851e+02,8.642621687000000748e+02,4.574166667000000075e+01,1.111527777999999955e+01,2.333710740829999963e+01,1.000000000000000000e+00,2.701492730770574911e-03,1.768326777623440194e+02,9.556957718404948992e+02,1.486744402604403437e+00,3.704151815159322325e+01,1.708772666436381149e-01
2.409125803420869971e+01,4.756532211531830256e+01,8.388936069000000373e+01,1.085843507999999957e+01,9.334999999999999432e+01,2.085185184999999830e+00,4.780009550999999846e+01,1.000000000000000000e+00,1.124871825549989858e-03,1.840109828168360764e+02,6.965564310992132278e+02,1.658827970060677170e+00,2.031654811874730626e+01,1.506377994548613597e-01
2.381739712977810086e+01,0.000000000000000000e+00,6.124096845999999772e+01,1.061993630000000088e+01,7.794166667000000359e+01,1.722268517999999915e+01,2.155745231499999903e+01,0.000000000000000000e+00,4.850825318694952822e-03,3.551934663804802312e+02,6.239671583331792135e+02,1.573132562486869945e+00,2.315305286225503067e+01,1.311594877967690309e-01
2.339948872958320081e+01,0.000000000000000000e+00,3.425027224000000103e+01,1.050650528999999977e+01,7.769166667000000359e+01,4.924999999999999822e+00,3.471652306420000400e+01,0.000000000000000000e+00,4.049349551665928915e-03,1.678675737783287332e+02,6.058654259433602647e+02,1.417108463474515023e+00,2.675633789639211813e+01,1.302748655704606684e-01
2.210829929743150046e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.934999999999999432e+01,-2.433333333000000209e+00,1.680275002670000006e+01,0.000000000000000000e+00,1.747291020671845520e-03,2.419886825980589435e+02,7.776021982953147926e+02,1.227040372184117212e+00,4.093424321036125235e+01,2.736215000815087756e-02
1.778064262145160157e+01,5.882957089988310173e+01,1.624948569000000020e+01,1.085687437000000033e+00,8.638333332999999925e+01,-5.898148149999999923e-01,6.103168694330000221e+01,1.000000000000000000e+00,2.001443314610056642e-03,8.332587525086117353e+01,7.739514679139352893e+02,1.402879336752659079e+00,7.152703452803524264e+00,1.957925412913540109e-01
2.383666972632489944e+01,1.488204446781839962e+01,3.205415201000000280e+01,3.250749370000000082e-01,7.224166667000000075e+01,4.319447550000000136e-01,4.032502999919999809e+01,1.000000000000000000e+00,4.937953161234731429e-03,1.058649356336598828e+02,9.451875893828423614e+02,1.217848921788699634e+00,2.509385797093330339e+01,1.146491572321186869e-01
1.784938781698100030e+01,1.095790293357680056e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.575833332999999925e+01,4.006481481999999872e+00,3.554095742079999809e+01,1.000000000000000000e+00,1.844752707661755434e-03,1.251844488761843337e+02,3.953152406449962086e+02,1.165493271133820619e+00,5.629647841493810034e+00,1.269192660613167878e-01
2.487504267017930104e+01,4.702996016807580304e+01,2.239482204000000110e+01,3.398185871000000358e+00,7.864166667000000643e+01,-3.902777779999999641e-01,5.110826421329999647e+01,1.000000000000000000e+00,3.559488159507634506e-03,2.931306286325846031e+02,3.357800953838505507e+02,1.626431629430543424e+00,1.432612245589277578e+01,2.073190367275764279e-01
2.315412285567829898e+01,9.192270204779740439e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.689999999999999858e+01,2.954166666999999968e+00,2.988046389830000038e+01,1.000000000000000000e+00,3.413181625559653064e-03,3.302035384345828675e+02,5.904616674832329863e+02,1.418514303057685444e+00,2.647334862710205527e+01,1.542990342537312876e-01
2.297194893988730158e+01,2.697775673622259873e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.175000000000000000e+01,2.623148148000000290e+00,3.594592781419999739e+01,1.000000000000000000e+00,1.342082936762343994e-03,1.159510036867405631e+02,8.921086646854521405e+02,1.618302847360520103e+00,3.780150664245109482e+01,1.006736530325460788e-01
2.107104011242800112e+01,2.157594097986810056e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.300000000000000000e+01,9.023148149999999923e-01,3.666269652420000114e+01,1.000000000000000000e+00,3.431372200744419593e-03,1.595875227248322403e+02,2.064363558191189441e+02,1.559825546105250371e+00,1.883509415412826371e+01,2.529257597448621997e-01
2.406187171977050099e+01,7.763382051931819738e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.978333333000000493e+01,1.237962963000000016e+01,2.498060969000000142e+01,4.166666667000000213e-01,1.814429903414274160e-03,3.387581450921188093e+02,3.325283657460930726e+02,1.562639519331993299e+00,2.526088988404813662e+01,4.621298149086018603e-02
2.088580253700650147e+01,9.251335398474639149e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.778333332999999783e+01,1.907407410000000192e-01,3.282405578750000075e+01,1.000000000000000000e+00,4.070651933743093913e-03,3.965163471159507935e+02,6.654193946220116231e+02,1.194184323111706636e+00,1.189349488932475118e+01,3.477560080191488545e-02
2.188228246144160138e+01,7.614724161191610108e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.629166666999999791e+01,-5.143055556000000195e+00,3.295607402750000148e+01,1.000000000000000000e+00,2.387110350955412314e-03,6.182877269990746782e+01,6.522516800905931404e+02,1.132367128856925031e+00,4.786300278750093895e+01,7.955189345176499893e-02
2.303444568308420060e+01,0.000000000000000000e+00,3.425027224000000103e+01,1.050650528999999977e+01,7.769166667000000359e+01,4.924999999999999822e+00,3.471652306420000400e+01,0.000000000000000000e+00,1.940184549853871381e-03,1.004514344271341315e+02,5.875543479754697955e+02,1.137387316334498299e+00,3.252372721413570389e+01,1.929475411693664932e-01
2.360422922906409937e+01,3.511752665134490137e+00,9.458780086999999526e+01,8.460080444999999827e+01,5.152499999999999858e+01,5.501851852000000598e+00,2.094123722169999979e+01,1.000000000000000000e+00,1.663619922799967378e-03,1.399755536781139540e+02,2.899917024742358080e+02,1.652572587567856743e+00,2.615756186271092432e+01,2.784449653343072373e-01
2.127572016885649830e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.545000000000000284e+01,1.305509258999999922e+01,2.353680250580000077e+01,0.000000000000000000e+00,1.696740055562385606e-03,2.960210799658342467e+02,8.227363034928872594e+02,1.561319732498515744e+00,5.128699788720134656e+00,1.378430940493717283e-01
2.343395831773469951e+01,2.252219087754350113e+01,4.629005766999999771e+00,2.630195277999999970e+00,5.477499999999999858e+01,7.798148147999999225e+00,4.383229430499999779e+01,1.000000000000000000e+00,4.598909108323614818e-03,3.782880289617885410e+02,3.027836243979503479e+02,1.467987048814734408e+00,3.685754824716503464e+01,1.071751017543555312e-01
1.976201243049969847e+01,6.386386006585180297e+00,5.075681140000000147e-01,1.760757769999999889e-01,8.278333333000000493e+01,3.908333333000000298e+00,2.726271389749999940e+01,1.000000000000000000e+00,4.425297018553606479e-03,1.411559391168402726e+02,2.225019490877782573e+02,1.241207328311970226e+00,4.016737799188686608e+01,9.341447949862212441e-02
2.441656574600370178e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.790000000000000568e+01,1.268657407999999975e+01,2.306384603249999898e+01,0.000000000000000000e+00,1.729190606605158272e-03,3.256941680706922284e+02,9.160895588642272287e+02,1.315481046863212766e+00,2.956027899614473142e+01,1.468677194023890464e-01
2.446791384227080002e+01,3.253577110672469797e+00,1.302993987999999774e+02,6.842472255999999788e+02,4.716666666999999791e+01,1.428101851999999994e+01,2.572519121750000082e+01,1.000000000000000000e+00,1.717302582293959989e-03,3.469357076610093031e+02,3.382064131039992390e+02,1.600749781654774440e+00,3.200155152144203896e+01,1.887104777428671304e-02
2.220091232369989953e+01,5.541554419743089710e+00,1.631615921999999728e+02,1.215042397999999935e+01,7.904999999999999716e+01,8.988888889000000049e+00,2.176755277330000027e+01,1.000000000000000000e+00,2.732291664522577997e-03,3.884844723638805135e+02,6.321578044654133919e+02,1.645484136130256125e+00,1.004795044750069621e+01,1.863098995679945274e-02
2.287579288552380063e+01,1.601302682306650027e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.909999999999999432e+01,7.942129629000000079e+00,3.095471521249999824e+01,1.000000000000000000e+00,2.409725346266097974e-03,3.145148880510639628e+02,5.410458543835266028e+02,1.697948317521181139e+00,2.170164003951856202e+01,2.874914806570508241e-02
2.594270512213959989e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.361666667000000075e+01,1.504259258999999993e+01,2.503831663920000139e+01,0.000000000000000000e+00,3.450962150349398423e-03,3.071474004057951674e+02,8.904541647926170072e+02,1.439489811959333565e+00,3.553515484910391820e+01,1.825706015596452736e-01
2.333125535091300051e+01,1.220008583240429978e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.451666667000000643e+01,3.754166666999999791e+00,3.419879512920000053e+01,1.000000000000000000e+00,3.531946939555875593e-03,3.677244982498125978e+02,6.549486991152982682e+02,1.382172781828908903e+00,3.826653327129484694e+01,7.823042429720233892e-02
2.393743295865110099e+01,1.215260528927080053e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.247499999999999432e+01,5.254629630000000162e+00,3.357339343579999991e+01,1.000000000000000000e+00,1.763220483284131702e-03,3.686797256468664727e+02,6.886998535677116706e+02,1.186770912366239772e+00,3.579341434619716011e+01,1.752236774842017009e-01
2.467128240899510061e+01,1.229150926750240025e+01,8.881121143999999390e+01,3.489518821000000326e+00,8.997499999999999432e+01,2.114351851999999976e+00,3.961559416669999933e+01,1.000000000000000000e+00,4.832756895337814856e-03,2.665577604783236438e+02,5.433297153862376945e+02,1.269097389920863739e+00,4.491740284691584861e+01,1.140793373452369114e-01
2.098127278935039897e+01,1.135761420473050087e+01,1.606985175000000083e+02,7.518548366999999644e+01,8.099166667000000075e+01,5.534259258999999709e+00,3.516222900420000030e+01,1.000000000000000000e+00,4.760715281803131610e-03,3.065213802834289254e+02,7.507085118013800411e+02,1.229602813227683944e+00,1.335126003789098093e+01,2.860788398558651302e-01
2.603108089203630016e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.829166666999999791e+01,1.854074074000000039e+01,2.471886388829999959e+01,0.000000000000000000e+00,4.023848165189547813e-03,2.777862054254391069e+02,9.544668009729489313e+02,1.441221677452368954e+00,3.357124004570592746e+01,1.414836076759095063e-01
2.353811996954379993e+01,1.809642292120170026e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.563333332999999925e+01,8.620370370000000060e-01,2.935994355920000132e+01,1.000000000000000000e+00,2.971933129464202766e-03,3.326870226663504582e+02,2.818632853790961690e+02,1.709027442900409088e+00,3.490476048835823519e+01,1.126588112232057570e-01
2.308987373545770083e+01,9.016328416928109490e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.778333332999999783e+01,1.907407410000000192e-01,3.282405578750000075e+01,1.000000000000000000e+00,2.345071490342004634e-03,1.043857938980802373e+02,5.792237280964961883e+02,1.154895729918101521e+00,3.612454214392975871e+01,6.910929795560023792e-02
2.235544322043519827e+01,6.268512874020819936e+01,7.854529546999999923e+01,3.396435873000000356e+02,7.465000000000000568e+01,-1.069537036999999913e+01,6.662767296170000009e+01,1.000000000000000000e+00,3.413181625559653064e-03,3.302035384345828675e+02,5.904616674832329863e+02,1.418514303057685444e+00,2.647334862710205527e+01,1.542990342537312876e-01
