# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
2.025516345460519929e+01,9.051934515000000658e+01,2.224111911999999691e+00,6.790833333000000493e+01,1.667129630000000029e+00,4.054298486249999911e+01,1.000000000000000000e+00,2.380913822252194844e-03,2.409175342082513680e+02,8.770206603539451180e+02,1.264392464341783651e+00,1.121028044499492538e+01,2.648375482080660426e-01
8.508703925012410352e+00,3.813902182000000352e+01,2.223269415000000038e+01,9.080833332999999641e+01,2.774999999999999911e+00,3.837968463420000376e+01,1.000000000000000000e+00,4.152656118179704967e-03,2.317592855822681486e+02,4.608960108067341253e+02,1.197652387304252386e+00,4.259817848127693196e+01,1.797792775043067226e-01
2.293425318442290006e+01,1.382724970999999812e+02,3.213062093000000345e+02,7.234166666999999507e+01,-9.023611111000001017e+00,6.538032351830000266e+01,1.000000000000000000e+00,2.178432533451950259e-03,3.737875334655872166e+02,6.997718233210871404e+02,1.350115990003270872e+00,2.644896455206381702e+01,6.795979001098895189e-02
2.590109759667020128e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.700833332999999925e+01,1.046527777999999920e+01,2.198917289079999904e+01,1.000000000000000000e+00,4.186047079207034192e-03,3.869382172918867582e+02,2.276677075327272632e+02,1.135451952239066253e+00,4.689749814860273602e+01,1.246709984273525057e-01
2.100674001613450059e+01,1.234044513999999992e+02,2.744321276000000154e+01,8.508333333000000209e+01,-7.645833332999999676e+00,5.976176463000000183e+01,1.000000000000000000e+00,2.076623602745080073e-03,2.832698755674859967e+02,2.364783948527314408e+02,1.139352426650992012e+00,2.414043837232141243e+01,5.534330289362341532e-02
1.696570754024930139e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.695000000000000284e+01,1.073240741000000043e+01,3.101273018499999878e+01,1.000000000000000000e+00,1.663619922799967378e-03,1.399755536781139540e+02,2.899917024742358080e+02,1.652572587567856743e+00,2.615756186271092432e+01,2.784449653343072373e-01
2.283523368731979986e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.772499999999999432e+01,8.481481480999999434e+00,2.934382407920000091e+01,1.000000000000000000e+00,4.633347772270412016e-03,1.606079800260424690e+02,4.201682165272542306e+02,1.121784792847453804e+00,3.993968360712926113e+01,2.230163753067932741e-01
1.427145486638529981e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.532500000000000284e+01,7.541203703999999952e+00,3.212944236749999760e+01,1.000000000000000000e+00,4.573893489634754499e-03,3.742844404784396488e+02,9.683250554640773089e+02,1.707612977628758300e+00,2.905628420772340093e+01,1.687889428269872261e-01
2.310772029133239869e+01,1.024201024000000046e+02,1.062232611999999961e+02,8.642499999999999716e+01,7.201388888999999516e+00,3.320493546329999646e+01,1.000000000000000000e+00,4.084656865889373101e-03,1.457205740340635316e+02,2.963513621710319512e+02,1.281919950417324428e+00,2.825441592563410609e+01,2.038726443731086746e-01
2.314567137752580095e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.834999999999999432e+01,2.313888889000000226e+00,3.522463400830000069e+01,1.000000000000000000e+00,2.506207260487653028e-03,1.939554276775360790e+02,6.133578379377338479e+02,1.292060023327559648e+00,4.639861315518889739e+01,1.626923007206388938e-01
0.000000000000000000e+00,5.198804146999999887e+01,4.835717757000000283e+00,9.059166666999999507e+01,1.439722221999999974e+01,2.371116990830000049e+01,0.000000000000000000e+00,4.232048860049434855e-03,3.755265873464473998e+02,4.984481436557517213e+02,1.174339387010132851e+00,2.594218560412230801e+01,7.582221243862326265e-02
2.446911922035609877e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.154166666999999791e+01,3.716203703999999775e+00,3.412195020920000132e+01,1.000000000000000000e+00,2.791686170390166206e-03,1.666094217036198302e+02,6.951573034884686422e+02,1.572144913355831175e+00,4.748954416904500420e+01,6.266082911402058586e-02
2.124459064381940010e+01,2.954615901000000235e+02,2.182349290999999596e+02,6.656666667000000359e+01,7.147685185000000274e+00,2.336956508749999983e+01,1.000000000000000000e+00,2.946083343069912704e-03,2.738710109881812969e+02,9.623806477476456394e+02,1.402093553604806475e+00,2.573506313081978547e+01,4.766936043896192327e-02
1.849568605223409890e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.662500000000000000e+01,-6.052777777999999387e+00,3.398175537080000197e+01,1.000000000000000000e+00,1.729190606605158272e-03,3.256941680706922284e+02,9.160895588642272287e+02,1.315481046863212766e+00,2.956027899614473142e+01,1.468677194023890464e-01
1.900106443865870176e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.079166666999999791e+01,-7.502777777999999564e+00,3.599194696330000198e+01,1.000000000000000000e+00,1.888181856860437265e-03,7.950667939481145652e+01,2.163148706564732606e+02,1.551634042568908800e+00,4.181269483162942890e+01,1.390343461762539312e-01
0.000000000000000000e+00,8.035306100000000340e-01,2.637421480000000096e-01,8.572499999999999432e+01,-4.445370371000000098e+00,1.490551952920000112e+01,0.000000000000000000e+00,2.414759631700918400e-03,3.790977779630890723e+02,4.560350947451259458e+02,1.204960342152399777e+00,4.439497950785965941e+01,7.557460102515593803e-02
2.268793233953130084e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.653333332999999783e+01,2.137037036999999806e+00,3.449006504169999943e+01,1.000000000000000000e+00,1.866608268071400000e-03,1.689649689059437492e+02,6.594357334057822300e+02,1.276252594851649880e+00,3.314199698990859133e+01,9.142509117254489504e-02
2.536002732443440166e+01,4.551181591000000282e+01,6.249466152999999622e+02,1.877499999999999858e+01,1.048287037000000055e+01,2.240245812999999941e+01,1.000000000000000000e+00,3.510230742826925005e-03,2.021780916447262655e+02,6.481160247604173037e+02,1.347235571528083931e+00,3.718119563419708129e+01,1.789537093888762531e-01
6.881291403545530372e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.515000000000000568e+01,1.237731482000000049e+01,3.162973305419999903e+01,1.000000000000000000e+00,3.229182408821706235e-03,3.634725306173608033e+02,7.157380304185427349e+02,1.302775213216142980e+00,3.477072512388668457e+01,1.497753552019452095e-01
2.265780111859379886e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.881666667000000359e+01,2.930555559999999948e-01,3.770606867579999744e+01,1.000000000000000000e+00,2.187778060634124055e-03,2.399363089129870161e+02,5.831858993571114524e+02,1.496751368299487739e+00,3.525906914521466717e+01,6.065327959054317430e-02
2.280238351941639863e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.201666667000000643e+01,1.296898148000000006e+01,2.824966255080000010e+01,1.000000000000000000e+00,1.162112756619086262e-03,1.311394752706946463e+02,4.055160976323883801e+02,1.409485204609556286e+00,2.375352248877081607e+01,8.678331185931845160e-02
1.898592021054329848e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.812500000000000000e+01,2.414351851999999798e+00,3.593381615670000429e+01,1.000000000000000000e+00,3.029619258033161133e-03,2.034977745385193089e+02,2.871918847413335811e+02,1.274303606977726488e+00,9.058667913783013503e+00,2.696009342168160794e-01
2.094773815575189957e+01,1.067070143000000026e+00,1.443663878000000178e+00,7.864166667000000643e+01,-6.791666667000000324e+00,5.154743374920000321e+01,1.000000000000000000e+00,2.559248127699868987e-03,8.591833619070773409e+01,6.000847037543795750e+02,1.188069879055074551e+00,7.535103637819892342e+00,8.590979462316081228e-02
2.218943835110540164e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.029999999999999716e+01,6.887500000000000178e+00,3.362831368999999881e+01,1.000000000000000000e+00,2.140458082988122047e-03,2.622390873208515245e+02,2.557159780803685862e+02,1.313034727046793471e+00,4.318211027750430020e+01,1.697027435751778113e-01
2.056972567811509833e+01,2.177531549999999925e+02,1.078474946999999950e+01,7.946666666999999507e+01,4.147222221999999903e+00,2.642386050329999847e+01,1.000000000000000000e+00,1.395039494467462896e-03,2.729898596615066140e+02,4.881868698303937890e+02,1.589956012664550222e+00,2.028719877829015417e+01,1.083123319325947770e-01
