# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityAll,infilRate
1.994787828912609839e+01,2.322131674187299932e+00,2.978151240000000257e+02,3.809369345999999723e+01,6.498333332999999357e+01,7.663888888999999871e+00,2.205497540329999850e+01,1.000000000000000000e+00,1.041356183540378651e-03,2.340358343055598880e+02,3.656585751334539509e+02,1.276828079592483345e+00,1.469832208323277456e+01,5.349185001103711617e-02
2.449965103435049940e+01,3.883781887794960141e+01,6.938068239999999776e+01,4.498385100000000247e-01,8.657500000000000284e+01,3.840277777999999920e+00,5.137716388999999850e+01,1.000000000000000000e+00,4.049349551665928915e-03,1.678675737783287332e+02,6.058654259433602647e+02,1.417108463474515023e+00,2.675633789639211813e+01,1.302748655704606684e-01
2.253256489112969874e+01,2.270649812489429920e+01,9.355392232999999891e+00,1.513601283000000031e+01,6.039166666999999933e+01,7.097222222000000080e+00,3.642959390250000240e+01,1.000000000000000000e+00,1.814429903414274160e-03,3.387581450921188093e+02,3.325283657460930726e+02,1.562639519331993299e+00,2.526088988404813662e+01,4.621298149086018603e-02
2.360942580404550029e+01,2.055323321067690046e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.200833332999999925e+01,8.001851851999999710e+00,3.886377054580000134e+01,1.000000000000000000e+00,1.637954441067905782e-03,2.510622052160948670e+02,2.793687368441935632e+02,1.379858127328974948e+00,4.198018592757316014e+01,2.636883750768242995e-02
2.374540540633709895e+01,1.397148249722419955e+01,1.937681273999999831e+01,5.305526779999999443e-01,9.708333333000000209e+01,7.216666667000000146e+00,3.338283055080000139e+01,1.000000000000000000e+00,4.874880319403456647e-03,7.329972729519464281e+01,7.796106637787092950e+02,1.565837023142194750e+00,4.167227527042810209e+01,1.639172889299949087e-01
2.432188712544949993e+01,5.100925137883439930e+01,1.368383543000000024e+01,2.151679311999999733e+00,6.915833333000000493e+01,-3.226851849999999855e-01,6.312616740749999877e+01,1.000000000000000000e+00,4.910894691618668435e-03,2.139021338134693053e+02,6.311496698057580943e+02,1.642035051699113346e+00,3.666667558319045384e+01,2.150201639916197310e-02
2.083261476802940138e+01,3.325630299196630002e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.623333333000000067e+01,2.792129629999999807e+00,2.138628047750000150e+01,1.000000000000000000e+00,2.831463449703757948e-03,2.645390930305287611e+02,8.458643622781205522e+02,1.318945704676229624e+00,3.886686213613005236e+01,1.979843369165388001e-01
2.788148207124449840e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.579166666999999791e+01,1.248240741000000043e+01,2.131293215250000017e+01,0.000000000000000000e+00,1.637954441067905782e-03,2.510622052160948670e+02,2.793687368441935632e+02,1.379858127328974948e+00,4.198018592757316014e+01,2.636883750768242995e-02
2.349096142339159954e+01,6.715268465580130020e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.393333333000000351e+01,1.204907406999999964e+01,2.674258749999999907e+01,1.000000000000000000e+00,3.150197165087693062e-03,2.199836050456858914e+02,3.989522774679278427e+02,1.460362280477494057e+00,1.452357657799235469e+01,2.374049266360619692e-01
1.963410876362640067e+01,2.869954679951229881e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.817499999999999716e+01,-1.996296295999999915e+00,1.997676213420000124e+01,1.000000000000000000e+00,2.900611272649683634e-03,8.667891702683880339e+01,8.484923541320213189e+02,1.267381706407955777e+00,1.408893913380727625e+01,1.996389544914582148e-01
2.087422415062539827e+01,4.750729813755359743e+01,8.283368320000001006e+01,8.299269514999999728e+02,5.888333332999999925e+01,-4.084722221999999903e+00,4.954511009329999638e+01,1.000000000000000000e+00,2.112366371224581527e-03,2.872460369901454555e+02,9.436885093119142311e+02,1.482660630179463368e+00,1.032162586839565677e+01,2.833623257728076772e-01
2.223688350508029998e+01,7.313695294119949786e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.549166667000000075e+01,1.029398147999999935e+01,2.728506778830000101e+01,1.000000000000000000e+00,3.887915174331547929e-03,1.758806093521608602e+02,7.472020764477089187e+02,1.478135441542840711e+00,2.672940999773497595e+01,6.447210082831640598e-02
2.304922743972139898e+01,1.999579584556019896e+01,1.480851456999999982e+02,3.104982916999999887e+01,5.568333333000000351e+01,6.833333329999999872e-01,4.098308625079999956e+01,1.000000000000000000e+00,4.486148946679022198e-03,9.093506799484333669e+01,4.614570568845211369e+02,1.345357309199376683e+00,4.986277333275406676e+01,2.908324382357228011e-01
2.317646843063770135e+01,1.452728273169049977e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.854999999999999716e+01,2.366666667000000057e+00,3.563705087999999677e+01,1.000000000000000000e+00,4.401517683719139221e-03,3.419451642358214940e+02,8.447858237940555455e+02,1.447432455824233077e+00,3.561320033111525873e+01,2.062431047967796804e-01
2.626482574345839893e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.185000000000000142e+01,1.354537037000000055e+01,2.380552310999999932e+01,0.000000000000000000e+00,1.637954441067905782e-03,2.510622052160948670e+02,2.793687368441935632e+02,1.379858127328974948e+00,4.198018592757316014e+01,2.636883750768242995e-02
2.543799356300100101e+01,2.044999223986249959e+01,1.223932795999999854e+02,2.060087577999999908e+01,5.970833333000000209e+01,9.476851849999999855e-01,3.771260415329999915e+01,1.000000000000000000e+00,2.791686170390166206e-03,1.666094217036198302e+02,6.951573034884686422e+02,1.572144913355831175e+00,4.748954416904500420e+01,6.266082911402058586e-02
2.535429196455410050e+01,2.729221901637680148e+01,6.231800358000000273e+01,3.565163708000000042e+01,7.276666667000000643e+01,1.802777778000000053e+00,5.064759657329999953e+01,1.000000000000000000e+00,4.331462121855234569e-03,1.818729782510268933e+02,4.095157083350679841e+02,1.343890174246241909e+00,4.467103217318057773e+01,7.335089091386111371e-02
2.369200756253599849e+01,6.167743689747889846e+01,5.639481697000000082e+01,1.090643760999999898e+02,7.894166667000000359e+01,1.888888889999999765e-01,6.451929323999999610e+01,1.000000000000000000e+00,3.887915174331547929e-03,1.758806093521608602e+02,7.472020764477089187e+02,1.478135441542840711e+00,2.672940999773497595e+01,6.447210082831640598e-02
2.342192066313290155e+01,1.252547321702020078e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,4.124999999999999778e-01,2.572623723999999967e+01,1.000000000000000000e+00,3.616185881312999201e-03,1.112094030352823779e+02,5.051543586403498693e+02,1.443783128323230969e+00,4.103678395082427244e+01,4.023374748922668026e-02
2.830819082345529836e+01,6.728266827008630102e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.713333332999999925e+01,1.876249999999999929e+01,2.286571990750000083e+01,0.000000000000000000e+00,1.501789001712654226e-03,2.878826488677949555e+02,2.390259394291458079e+02,1.489186751654542062e+00,4.355537833672846659e+01,1.432479422338020780e-01
2.207625202444230084e+01,1.531361183122760039e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.595833333000000209e+01,1.857870370000000104e+00,1.969765507829999862e+01,1.000000000000000000e+00,4.863970688273825532e-03,6.336196325382439909e+01,6.194709210684395657e+02,1.236088366178565545e+00,3.970900201157214582e+01,1.721958024053403813e-01
2.474327128856840119e+01,2.342767546992009997e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.520000000000000284e+01,-2.393518520000000038e-01,4.871738509330000255e+01,1.000000000000000000e+00,4.713531383130667787e-03,2.691768032491753502e+02,8.784176537898877086e+02,1.429671324168916513e+00,3.905243204086863784e+01,1.353058403422365275e-01
2.237144265723039993e+01,2.015575361610990157e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.160833333000000067e+01,4.124999999999999778e-01,2.572623723999999967e+01,1.000000000000000000e+00,1.888181856860437265e-03,7.950667939481145652e+01,2.163148706564732606e+02,1.551634042568908800e+00,4.181269483162942890e+01,1.390343461762539312e-01
2.541224132799580104e+01,2.864696879142800157e+01,5.972334170999999969e+01,1.238377612000000028e+01,7.233333333000000209e+01,-1.967129630000000073e+00,4.253917787079999613e+01,1.000000000000000000e+00,1.384594961176735268e-03,3.106135933919736658e+02,3.846492806468238541e+02,1.396889834913769946e+00,3.432387245735871772e+01,2.212050126309585973e-01
2.083119129220279930e+01,3.657531999042860349e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.392499999999999716e+01,-1.166759258999999993e+01,4.580538680499999771e+01,1.000000000000000000e+00,3.585850798051193507e-03,2.866522138697437754e+02,3.805885585385306058e+02,1.622136485787322169e+00,1.798679522955139731e+01,2.870659298967139783e-01
2.621555848926400145e+01,7.833756083301410378e+00,8.093886005000000239e+01,8.255743330000000242e+02,4.575833332999999925e+01,4.242129629999999985e+00,2.786867714329999757e+01,1.000000000000000000e+00,4.137754517479344529e-03,9.774521892951582913e+01,7.122639427201647777e+02,1.585711448768649667e+00,4.522203154273914549e+01,3.029107219312957705e-02
2.498521004645060017e+01,9.110270019981639322e+00,8.764126604000000498e+01,2.792976315000000209e+00,9.329999999999999716e+01,1.283287037000000019e+01,2.813543731000000037e+01,5.000000000000000000e-01,2.846156668456454979e-03,3.039093601345094839e+02,4.921604534116270315e+02,1.383337490504677136e+00,3.367384901828994259e+01,1.051559520081235266e-01
2.084901619382389981e+01,2.976008972034069888e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.763333332999999925e+01,1.492175925999999997e+01,2.321058362500000172e+01,1.000000000000000000e+00,1.434036878386146015e-03,1.808028559579404373e+02,6.747201182351464013e+02,1.286188588120809273e+00,1.163307348709086497e+01,2.406376802042268226e-01
2.110119442021670011e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.798333332999999357e+01,1.222175926000000068e+01,2.139580715329999805e+01,0.000000000000000000e+00,1.948868112623838508e-03,3.158801091062522346e+02,9.305979454710156915e+02,1.507397508384403118e+00,7.792230197820033233e+00,1.116809569807403618e-01
2.080847092720210156e+01,8.044615303190509792e+01,1.739575310000000030e+01,6.231539050000000302e+00,5.576666666999999933e+01,7.679629628999999902e+00,5.473965004669999956e+01,1.000000000000000000e+00,1.289448423992952189e-03,3.951154929015928019e+02,6.676590970564759573e+02,1.713798827196832519e+00,3.284832560114084288e+01,2.143749994537535453e-01
2.030815601486600031e+01,3.827376198514910044e+01,1.502691650000000045e+01,1.277339844999999974e+00,8.180833332999999641e+01,2.228240741000000025e+00,6.376436254669999926e+01,1.000000000000000000e+00,4.311998588488278120e-03,1.987957835087470926e+02,8.856452105239803814e+02,1.208881207378966760e+00,8.535377343501851399e+00,5.041804448786649934e-02
2.145912793035089905e+01,2.969591307536629898e+01,1.102192130000000103e-01,6.486436400000000768e-02,9.409166666999999507e+01,3.870833333999999848e+00,5.766954527579999734e+01,1.000000000000000000e+00,4.100286768089923123e-03,3.908687758549635305e+02,4.003007074684602458e+02,1.126372559935681306e+00,1.957547857208612285e+01,4.112963562045286736e-02
2.654078729188410080e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.156666547000000378e+01,1.302638913999999914e+01,2.397191574170000194e+01,0.000000000000000000e+00,4.009826066959038329e-03,1.980250870863443993e+02,5.952590697297074485e+02,1.280354867113250528e+00,4.702460348689086089e+01,1.472899726754824112e-01
2.045703442539609895e+01,9.063497436814200725e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.293333333000000351e+01,-7.981481480000000017e-01,3.595732037079999799e+01,1.000000000000000000e+00,4.070651933743093913e-03,3.965163471159507935e+02,6.654193946220116231e+02,1.194184323111706636e+00,1.189349488932475118e+01,3.477560080191488545e-02
1.860802885590900146e+01,1.053691308753129974e+01,9.286259103999999809e+01,7.188375678999999536e+02,4.849166667000000075e+01,-7.361111109999999291e-01,4.229717815250000257e+01,1.000000000000000000e+00,4.506699203193411177e-03,1.471374494721733868e+02,9.925692268924435666e+02,1.161470080767597501e+00,1.264772171694056269e+01,2.572969906887794811e-01
