# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.855929730000000166e+00,1.547113371000000086e+02,4.825948411000000604e+00,7.364166667000000643e+01,9.147685185000000274e+00,2.152516342670000071e+01,1.000000000000000000e+00
2.071121869999999987e+01,3.685053837999999971e+00,5.885914859999999971e-01,9.634166666999999507e+01,1.036527777999999955e+01,2.111285740750000173e+01,0.000000000000000000e+00
2.757476716999999855e+00,1.370017157999999995e+02,7.434612687000001188e+02,2.434166666999999862e+01,7.523611111000000129e+00,2.014427866500000164e+01,1.000000000000000000e+00
2.430129189999999895e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.846666666999999507e+01,1.806111110999999880e+01,2.337990775500000140e+01,0.000000000000000000e+00
8.173115620000000092e+01,1.113820776000000023e+01,1.146370362999999948e+01,7.054999999999999716e+01,1.703703699999999932e-01,6.007412222250000156e+01,1.000000000000000000e+00
0.000000000000000000e+00,1.859643794999999784e+02,3.944478371999999808e+02,7.109166666999999507e+01,1.766712963000000158e+01,2.612704450000000023e+01,0.000000000000000000e+00
0.000000000000000000e+00,1.467233234000000266e+02,4.479779329999999948e-01,9.650000000000000000e+01,1.453333332999999961e+01,2.385900918000000104e+01,0.000000000000000000e+00
2.082461204000000166e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.850833332999999925e+01,3.747222221999999991e+00,3.689905556920000151e+01,1.000000000000000000e+00
4.153272418000000243e+00,8.215280717999999638e+01,5.446761347999998861e+02,9.317499999999999716e+01,1.150416667000000004e+01,3.368826867579999629e+01,1.000000000000000000e+00
2.866276403999999722e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.839999999999999858e+01,6.848148147999999935e+00,1.880744886579999786e+01,1.000000000000000000e+00
2.829443361999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.368333332999999641e+01,-4.260185185000000097e+00,3.788619814749999648e+01,1.000000000000000000e+00
2.101276395000000008e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.404999999999999716e+01,-2.243981481000000056e+00,3.488435630920000108e+01,1.000000000000000000e+00
4.338435943000000350e+01,4.629005766999999771e+00,2.630195277999999970e+00,5.477499999999999858e+01,7.798148147999999225e+00,4.383229430499999779e+01,1.000000000000000000e+00
3.597284324000000311e+01,1.923498004999999864e+02,6.650343079999998963e+01,6.189999999999999858e+01,-3.053240741000000202e+00,4.269534495250000106e+01,1.000000000000000000e+00
6.821199837999999716e+01,3.910594310000000462e+01,4.958176239000000152e+00,7.084999999999999432e+01,-3.689814810000000000e-01,6.608853944499999500e+01,1.000000000000000000e+00
2.700296343999999849e+01,1.352397276999999747e+02,5.214076826000000437e+02,4.420000000000000284e+01,2.489629630000000304e+01,2.528756763920000239e+01,0.000000000000000000e+00
