# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.232441762751459891e+01,4.232460452885889879e+01,1.486539444000000003e+02,4.788685723999999766e+01,7.225000000000000000e+01,-3.481481479999999906e-01,4.961093125000000015e+01,1.000000000000000000e+00,2.321121255020723063e-03,2.509342815209327568e+02,1.456164032380497186e+00,2.048688500391779299e-01
2.241088860836359942e+01,1.758248791024350055e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.012500000000000000e+01,3.811111111000000218e+00,3.485393989420000338e+01,1.000000000000000000e+00,4.793609426522707669e-03,3.871152846333105799e+02,1.657158819173924602e+00,6.111426508982446132e-02
1.874089069655680007e+01,7.851670149872849613e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.686666667000000075e+01,4.406944444999999710e+00,3.988441646829999598e+01,1.000000000000000000e+00,4.380788088028622629e-03,6.382746975131700538e+02,1.123708709157551278e+00,2.328473954083718767e-01
2.267974168589589823e+01,8.221971844219680747e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.101666667000000643e+01,9.499074073999999257e+00,2.358888097170000009e+01,1.000000000000000000e+00,1.896481863329364803e-03,6.530254081359403244e+02,1.596078144324084125e+00,1.101935872527511490e-01
2.193130181672090018e+01,6.463791317999279862e+00,3.178632663000000136e+01,6.450183130000000098e-01,7.734166666999999507e+01,1.186527777999999955e+01,2.807640069500000024e+01,4.166666667000000213e-01,4.722158776022705035e-03,3.511754335990665368e+02,1.414608811043623904e+00,1.664724213646371909e-01
2.442415494522019870e+01,0.000000000000000000e+00,1.467233234000000266e+02,4.479779329999999948e-01,9.650000000000000000e+01,1.453333332999999961e+01,2.385900918000000104e+01,0.000000000000000000e+00,2.150818078431962835e-03,5.371408417390964587e+02,1.318000552832910621e+00,9.787611096860887594e-02
2.146962992459170039e+01,1.988803315523490101e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.454166666999999791e+01,6.395833332999999676e+00,2.000072136249999843e+01,1.000000000000000000e+00,2.824167797987782447e-03,4.058758884458640637e+02,1.597002058028601956e+00,2.639053073326949606e-01
2.069768879891569924e+01,2.599249323276560020e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.574166667000000075e+01,-2.529629630000000073e+00,4.041112351920000378e+01,1.000000000000000000e+00,3.155599650884892242e-03,3.852563772083410640e+02,1.528196510677727105e+00,6.267162980161829211e-02
2.138897887051620117e+01,1.580522507588499970e+01,2.124919170999999949e+02,5.910629711000000270e+02,5.267499999999999716e+01,-4.999537036999999629e+00,2.559597150500000140e+01,1.000000000000000000e+00,4.492966646989987774e-03,2.257068428716428343e+02,1.676657572365880089e+00,1.798881475046612555e-02
2.036872977143330132e+01,9.223186324551220139e+01,4.876108899999999835e+01,9.900361228000000438e+02,7.809999999999999432e+01,-1.234305555999999982e+01,6.558474199079999778e+01,1.000000000000000000e+00,2.566407762459152822e-03,8.537907615838807942e+02,1.669155550523485854e+00,2.920363303038374103e-01
2.071954824351239921e+01,2.638999174611510057e+01,6.204845179000000144e+01,3.061054050999999987e+01,6.427500000000000568e+01,-3.140740741000000114e+00,4.592213009169999793e+01,1.000000000000000000e+00,4.613051311067204070e-03,8.884108361396774853e+02,1.308371635883027073e+00,2.656314474207473464e-01
2.229287138316560046e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.984999999999999432e+01,1.611759259000000100e+01,2.406311287500000162e+01,0.000000000000000000e+00,1.196566619609172166e-03,8.234718410506983446e+02,1.212540052894881759e+00,1.814903487228091694e-01
2.041573775253469947e+01,4.782114230277230149e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.210833333000000067e+01,-9.777777777999999032e+00,6.522693319420000080e+01,1.000000000000000000e+00,3.947283022515024782e-03,9.279000243803911872e+02,1.292258997002649235e+00,2.283171975819186794e-01
2.424645852862269990e+01,9.174041598797549879e-01,1.248317752000000098e+02,9.128496873999999934e+02,2.645833332999999854e+01,7.385648147999999580e+00,2.145472092079999982e+01,1.000000000000000000e+00,3.471523460772572671e-03,4.575430251066195524e+02,1.410954524508872820e+00,5.347503773207338412e-02
1.829582564572369918e+01,8.317142975418269302e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.916666666999999791e+01,9.656944444000000516e+00,3.560017725920000231e+01,1.000000000000000000e+00,3.278408335180769007e-03,6.497237896590137325e+02,1.182327979673948537e+00,2.858397452049060705e-01
2.151567409537420161e+01,1.977847826994009850e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.300000000000000000e+01,9.023148149999999923e-01,3.666269652420000114e+01,1.000000000000000000e+00,4.091309303554037380e-03,7.014619636920560879e+02,1.546689360619299070e+00,1.137805286907227487e-01
2.132778500238099895e+01,2.031353987646459913e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.815833333000000493e+01,2.022685184999999830e+00,3.919987180580000086e+01,1.000000000000000000e+00,2.110068533349270230e-03,9.293581757478563077e+02,1.261240541079304833e+00,1.735372318683275905e-01
2.265032956691790034e+01,2.451063768867469861e+01,1.136090710000000001e+02,2.120651303000000265e+00,5.976666666999999933e+01,3.528240741000000291e+00,3.809080166580000082e+01,1.000000000000000000e+00,1.786835012192131925e-03,8.376066367817558103e+02,1.702859735931173679e+00,1.085040907679248323e-01
1.989694705760500071e+01,2.305971398055930166e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.155833333000000351e+01,-2.341203704000000219e+00,3.923160893420000406e+01,1.000000000000000000e+00,2.202942282246613502e-03,2.059275035780814278e+02,1.468985259263128507e+00,2.245250902439384910e-01
2.202314200791629872e+01,1.889054246415280147e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.740000000000000568e+01,2.118981481000000056e+00,3.582768033330000179e+01,1.000000000000000000e+00,3.184932051740273651e-03,5.935259858316915142e+02,1.524131258141881107e+00,9.152301312522151400e-02
1.924719246898539993e+01,6.949445987098090249e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.155833333000000351e+01,-2.827314814999999815e+00,1.857415706079999751e+01,1.000000000000000000e+00,2.885388626613707985e-03,3.791948990636717554e+02,1.268769458012179774e+00,2.927458162355989768e-01
2.281063384652570036e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.261666667000000075e+01,1.260092593000000072e+01,2.328570213920000143e+01,0.000000000000000000e+00,2.848425659497415795e-03,5.680983693012983622e+02,1.437444582624876066e+00,1.127058747979942654e-01
2.161807672780010137e+01,1.349373327970559977e+01,1.024201024000000046e+02,1.062232611999999961e+02,8.642499999999999716e+01,7.201388888999999516e+00,3.320493546329999646e+01,1.000000000000000000e+00,2.356144795910630058e-03,3.362914550797347033e+02,1.201342978217951663e+00,1.605309213677735131e-02
2.358985355703250164e+01,4.438528462609640002e+01,6.947524056999999686e+01,1.248855146999999999e+00,9.073333332999999357e+01,3.469907406999999999e+00,4.773485738749999996e+01,1.000000000000000000e+00,3.884764985903505288e-03,9.113904238594385561e+02,1.667068336316752886e+00,2.983221867046707554e-01
2.244698622103999952e+01,4.324916219237019988e+01,2.123260401000000002e+02,2.900831645000000094e+02,5.817499999999999716e+01,-3.789351851999999798e+00,4.276751273170000189e+01,1.000000000000000000e+00,1.518756680930412979e-03,9.861496451231035962e+02,1.648470147888595694e+00,1.726372644375614440e-01
1.916445827041220085e+01,4.009676056166320279e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.082500000000000284e+01,-3.959722221999999903e+00,3.655674534829999800e+01,1.000000000000000000e+00,3.691148695981232714e-03,9.485436440884003559e+02,1.450936268484415148e+00,1.878319927692348179e-01
1.973448700581679915e+01,1.961049090819739860e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.629166666999999791e+01,-5.143055556000000195e+00,3.295607402750000148e+01,1.000000000000000000e+00,4.668157456647922636e-03,9.663344649991581718e+02,1.664155607507000756e+00,1.966222573818453279e-01
2.155610475109309832e+01,1.452363104727040088e+01,1.972588647999999978e+02,2.219514669000000140e+02,5.014166666999999933e+01,-3.014814814999999815e+00,3.135825114170000205e+01,1.000000000000000000e+00,3.019871445243784477e-03,5.713537551449555849e+02,1.454383510757594200e+00,4.689375447047038070e-02
2.270584073445159845e+01,1.999933565844479944e+01,1.156726927000000131e+02,7.563038875000000161e+00,4.258333333000000209e+01,5.980555556000000550e+00,3.354101577250000332e+01,1.000000000000000000e+00,2.144286548538170203e-03,7.825607637831085412e+02,1.707757693969767621e+00,3.568385991339531604e-02
2.138066234270459987e+01,4.384133589211810289e+01,8.703056600000000742e+01,6.734193921000000138e+00,6.645000000000000284e+01,-3.816666666999999791e+00,4.919954782420000328e+01,1.000000000000000000e+00,1.647109245553838881e-03,7.265286215594138639e+02,1.394775325686451906e+00,2.118058582314687188e-01
2.140619398926930117e+01,2.348671126345760030e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.965833333000000493e+01,-2.943055554999999934e+00,4.035808546330000013e+01,1.000000000000000000e+00,4.581161408852551901e-03,5.488883892173591903e+02,1.585058892627255078e+00,5.623366049880083178e-02
2.161882591937390075e+01,3.110420460188949932e+01,1.067070143000000026e+00,1.443663878000000178e+00,7.864166667000000643e+01,-6.791666667000000324e+00,5.154743374920000321e+01,1.000000000000000000e+00,2.705006595503500061e-03,7.140982873441400898e+02,1.670230399877266070e+00,1.277722409037496121e-01
