# # cmbedY,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.164418063682429860e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.831666667000000359e+01,4.071759258999999354e+00,3.150208683250000163e+01,1.000000000000000000e+00,2.920896325255330564e-03,7.790140281459426888e+02,1.242185071633659543e+00,8.236308246755484619e-02
1.798677648537319840e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.297499999999999432e+01,4.258950508999999940e+00,3.413271764830000166e+01,1.000000000000000000e+00,1.647109245553838881e-03,7.265286215594138639e+02,1.394775325686451906e+00,2.118058582314687188e-01
2.214324540386540008e+01,1.165430544000000026e+02,8.765355160000000296e+02,1.977499999999999858e+01,9.530555555999999484e+00,2.146826157419999959e+01,1.000000000000000000e+00,2.221443429335674680e-03,7.776058691553723747e+02,1.467558727478348590e+00,2.519522034045247327e-01
9.903507669159319349e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.201666667000000643e+01,1.120740741000000007e+01,2.286483453670000188e+01,9.166666666999999658e-01,1.163744389095558700e-03,7.872795966466964046e+02,1.712874417200004107e+00,1.520323891143737505e-01
4.202568543865489659e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.467499999999999716e+01,-6.740740740000000786e-01,4.656204051000000277e+01,1.000000000000000000e+00,1.689688753982362610e-03,4.462426942114563531e+02,1.647052875587096121e+00,8.377093318844403003e-02
2.066457064436379909e+01,6.585200269999999989e+01,4.178960980000000092e+01,6.051666666999999933e+01,7.643518518999999678e+00,5.953053962999999982e+01,1.000000000000000000e+00,2.653523422612122026e-03,8.309883606011621850e+02,1.518179156410710107e+00,2.645838340721909376e-01
0.000000000000000000e+00,2.031635789999999986e+02,6.662031690999999967e+01,6.967499999999999716e+01,1.258750000000000036e+01,2.113872685169999954e+01,0.000000000000000000e+00,1.046787518308506552e-03,2.540718134966236903e+02,1.143589965718087242e+00,1.174278113248759248e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.117499999999999716e+01,7.818518517999999418e+00,2.268812247580000019e+01,0.000000000000000000e+00,2.806136892833304558e-03,8.784809863107464025e+02,1.653466892810816713e+00,2.360190630963111477e-02
1.773251702394300011e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.312500000000000000e+01,1.170972221999999974e+01,3.060401203749999866e+01,1.000000000000000000e+00,2.144286548538170203e-03,7.825607637831085412e+02,1.707757693969767621e+00,3.568385991339531604e-02
1.508044948636979932e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.745833333000000209e+01,-1.235185184999999963e+00,3.232737612999999754e+01,1.000000000000000000e+00,1.927252619654015774e-03,4.328405843577783685e+02,1.328476855329526307e+00,4.955617313630956977e-02
1.948918415516569880e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.778333332999999783e+01,1.907407410000000192e-01,3.282405578750000075e+01,1.000000000000000000e+00,3.082266453469266650e-03,6.141532691958677788e+02,1.215296646601334851e+00,2.254511915498965124e-01
2.161721707826810146e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.364999999999999858e+01,5.245369260000000144e-01,3.016356141670000213e+01,1.000000000000000000e+00,1.585580070708691568e-03,2.411374684103782613e+02,1.493692091513911580e+00,8.135252868450341956e-02
4.668960984119579649e+01,3.167685360000000117e+01,8.977187974999999653e+00,8.433333333000000209e+01,3.975462963000000016e+00,5.330630393330000061e+01,1.000000000000000000e+00,3.810553757276307577e-03,2.668123485865638713e+02,1.576372166016254406e+00,1.431899960426390450e-01
1.840684252593460002e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.751805582999999444e+01,9.308410537000000318e+00,1.971814465750000167e+01,1.000000000000000000e+00,1.300795351468446133e-03,4.016520388039792806e+02,1.568929031369775018e+00,9.836467654477175360e-02
2.141195304674830169e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.337500000000000000e+01,2.086111111000000129e+00,3.435996518999999694e+01,1.000000000000000000e+00,1.767783039842306305e-03,8.982802930747897108e+02,1.459298597235314077e+00,2.201947446446833601e-01
0.000000000000000000e+00,1.145543285000000022e+00,5.712386422000000685e+00,7.206666667000000359e+01,1.658796295999999870e+01,2.398533305670000004e+01,0.000000000000000000e+00,2.452784613572336989e-03,5.296502641649249199e+02,1.615336974457153962e+00,6.341252844369421604e-02
2.134414822935439915e+01,2.180598794000000282e+02,1.414552101999999820e+02,6.947499999999999432e+01,-2.823611111000000395e+00,5.807574148079999787e+01,1.000000000000000000e+00,1.285948408714646411e-03,3.412170684390189308e+02,1.305755436983333961e+00,1.074231449338944044e-01
