# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.460489789999999743e+01,0.000000000000000000e+00,6.485858021999999323e+01,1.558944710999999756e+02,4.481666666999999649e+01,1.396759259000000064e+01,2.299569462919999907e+01,0.000000000000000000e+00
2.265508240999999856e+01,4.117905224999999803e+01,1.355828186999999900e+02,4.769177298999999692e+01,7.351666667000000643e+01,-9.796759258999999886e+00,5.919528606329999576e+01,1.000000000000000000e+00
2.346642233000000033e+01,0.000000000000000000e+00,3.030543688000000202e+02,4.189263509999999542e+02,5.232500000000000284e+01,1.974768518000000128e+01,1.237961072670000107e+01,0.000000000000000000e+00
2.099038503999999961e+01,2.631018326999999957e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.907500000000000284e+01,-4.236111110000000401e-01,3.812402768500000150e+01,1.000000000000000000e+00
2.514897295999999827e+01,0.000000000000000000e+00,1.331406542000000002e+02,5.102884227000000124e+02,5.626666666999999933e+01,1.983333332999999854e+01,2.334384201079999954e+01,0.000000000000000000e+00
2.140471843999999990e+01,2.354753558000000169e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.148333332999999357e+01,3.619907406999999910e+00,3.679102658669999926e+01,1.000000000000000000e+00
2.254708184000000060e+01,4.341867737000000282e+00,7.164698232000000644e+01,6.940723832999999843e+00,9.257500000000000284e+01,1.303240740999999936e+01,2.729135343500000133e+01,1.000000000000000000e+00
2.265508240999999856e+01,4.117905224999999803e+01,1.355828186999999900e+02,4.769177298999999692e+01,7.351666667000000643e+01,-9.796759258999999886e+00,5.919528606329999576e+01,1.000000000000000000e+00
2.241227110000000167e+01,1.132164780999999998e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.879166666999999791e+01,9.735648147999999225e+00,2.824054126829999944e+01,1.000000000000000000e+00
2.194305171999999970e+01,2.229629527000000166e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.857500000000000284e+01,-2.343518518999999856e+00,3.365068977250000160e+01,1.000000000000000000e+00
2.194928116999999901e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.934999999999999432e+01,1.390787036999999948e+01,2.240258956579999960e+01,0.000000000000000000e+00
2.274029948000000090e+01,2.934789581000000425e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.192499999999999716e+01,1.043055556000000017e+01,2.156776668999999913e+01,1.000000000000000000e+00
2.272522761999999830e+01,1.189273073999999930e+01,3.923204551999999978e+01,6.905997083999999404e+02,3.085833333000000067e+01,2.995370369999999838e+00,2.692174160579999764e+01,1.000000000000000000e+00
2.246769976999999940e+01,1.969864347000000038e+01,4.711155289999999773e+00,1.147741753999999901e+02,3.305833333000000351e+01,1.129629629999999940e+00,3.607859860330000146e+01,1.000000000000000000e+00
2.331964735000000033e+01,7.598428461000000134e+00,8.137587075999999797e+01,8.333810724999999593e+02,6.601666667000000643e+01,5.459259258999999531e+00,2.976170325420000040e+01,1.000000000000000000e+00
1.953342148000000122e+01,1.166213484999999928e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.624166667000000075e+01,4.849537037000000161e+00,2.513340559579999933e+01,1.000000000000000000e+00
2.281995028000000048e+01,2.106368104999999957e+01,1.136090710000000001e+02,2.120651303000000265e+00,5.976666666999999933e+01,3.528240741000000291e+00,3.809080166580000082e+01,1.000000000000000000e+00
2.145797728000000149e+01,1.920374513999999877e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,5.247685184999999919e+00,3.330035740830000179e+01,1.000000000000000000e+00
2.115975450000000180e+01,2.713848800999999966e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.143333333000000351e+01,-4.674537036999999451e+00,3.666641226830000022e+01,1.000000000000000000e+00
2.165901566999999872e+01,2.169198335000000100e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.170833333000000209e+01,9.648611111000001017e+00,3.557678718169999854e+01,1.000000000000000000e+00
2.098677600000000254e+01,2.653439331999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.840000000000000568e+01,-8.888888899999999871e-02,3.833788023079999618e+01,1.000000000000000000e+00
2.388366192000000154e+01,0.000000000000000000e+00,1.345599379000000040e+00,1.912125827999999927e+01,7.278333333000000493e+01,1.545324074000000003e+01,2.360738036580000099e+01,0.000000000000000000e+00
2.264217396000000093e+01,1.207523765000000004e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.584166666999999507e+01,1.058009258999999957e+01,2.969055001419999940e+01,1.000000000000000000e+00
2.277286128000000076e+01,2.202607128000000003e+01,6.741839379999998982e+01,6.440649410000000019e-01,9.079166666999999791e+01,4.255092593000000534e+00,3.696868997749999863e+01,1.000000000000000000e+00
2.280748226000000045e+01,2.565712827000000118e+01,8.379180249999999219e+00,1.176373834999999923e+00,7.819166667000000359e+01,2.259722221999999725e+00,3.926326828670000424e+01,1.000000000000000000e+00
