# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
1.929827794983750167e+01,8.051380189743190030e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.480833332999999641e+01,8.289351852000001131e+00,3.056202963079999790e+01,1.000000000000000000e+00,2.354875166773408215e-03,5.756831223390670402e+02,1.223834014394221459e+00
1.699986162105809839e+01,1.242120583792990018e+01,3.085744516000000104e+01,3.541307370000000105e+02,5.680833333000000351e+01,-5.997222222000000436e+00,3.536571012079999576e+01,1.000000000000000000e+00,2.638878980347303220e-03,5.573555221113605285e+02,1.197008197402998686e+00
2.497888177965069900e+01,0.000000000000000000e+00,5.628304325000000219e+00,6.729633276000000386e+00,5.926666666999999933e+01,2.105740740999999971e+01,2.521727472170000084e+01,0.000000000000000000e+00,2.239642398418945426e-03,4.306281306567643696e+02,1.466384068335875090e+00
1.976912392025780107e+01,8.662691267577820042e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.794166667000000359e+01,2.506018518999999944e+00,3.643944557919999738e+01,1.000000000000000000e+00,2.480751048129236930e-03,7.555436036594011284e+02,1.141296077856081226e+00
2.202722074111400019e+01,1.290831102646300010e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.693333332999999641e+01,1.030370369999999980e+01,2.827779980500000079e+01,1.000000000000000000e+00,2.943479578531246060e-03,8.790179046459691108e+02,1.650103628609362438e+00
2.133245566615149968e+01,3.316392399241379962e+01,1.888726109000000122e+02,6.034455576000000292e+02,5.036666667000000075e+01,1.490277778000000053e+00,3.994113463000000053e+01,1.000000000000000000e+00,2.877325430952894919e-03,7.967255098387129237e+02,1.426726091894195747e+00
2.185096826639729883e+01,1.631676989983730053e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.770000000000000284e+01,4.599999999999999645e+00,3.317294548079999572e+01,1.000000000000000000e+00,2.294321641539403406e-03,9.943723249995659899e+02,1.493929608961795719e+00
2.046844876997720064e+01,6.665108235376769663e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.508333333000000209e+01,1.092916667000000075e+01,2.764536914500000009e+01,1.000000000000000000e+00,1.443689740461048332e-03,4.230357651754195558e+02,1.164483321049857079e+00
2.225200555400089897e+01,3.017283164299600084e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.730833332999999641e+01,8.047685185000000629e+00,2.165921666079999852e+01,1.000000000000000000e+00,2.731975354858598003e-03,7.337823376438660716e+02,1.474929779283866038e+00
2.251650943032700170e+01,1.239226225324389929e+01,9.568176674999999420e+01,8.664193957000000523e+01,6.214166666999999933e+01,2.204166666999999968e+00,3.669189958749999647e+01,1.000000000000000000e+00,3.369379588423715606e-03,4.209020038979646756e+02,1.189592704361825293e+00
2.004128202836439954e+01,1.647144032013450143e+01,1.480851456999999982e+02,3.104982916999999887e+01,5.568333333000000351e+01,6.833333329999999872e-01,4.098308625079999956e+01,1.000000000000000000e+00,4.799365376794957096e-03,6.830928449229130592e+02,1.198996741333486771e+00
2.188814555886219892e+01,2.711551483432739929e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.143333333000000351e+01,-4.674537036999999451e+00,3.666641226830000022e+01,1.000000000000000000e+00,2.132514819663017432e-03,4.737759828970771423e+02,1.594728721662770798e+00
2.041109864019919939e+01,5.022374854310810122e+01,3.784673292000000089e+01,2.180306441000000106e+01,8.182500000000000284e+01,1.296342592999999965e+01,4.892609759169999961e+01,1.000000000000000000e+00,2.899498796197193598e-03,9.871604652824584036e+02,1.558320944765660743e+00
2.071547947047060134e+01,1.825196596335609911e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.729166666999999791e+01,7.684722222000000436e+00,3.990869444420000178e+01,1.000000000000000000e+00,3.710917932117214352e-03,3.006195260650690670e+02,1.254655454713203611e+00
2.155789086373989960e+01,3.284740284251559927e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.245833333000000209e+01,-9.773148149999999479e-01,4.153279611170000152e+01,1.000000000000000000e+00,3.284506374220840050e-03,4.815561261445831747e+02,1.698359376720658176e+00
1.982612855369290017e+01,1.411863621343669983e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.907500000000000284e+01,-4.236111110000000401e-01,3.812402768500000150e+01,1.000000000000000000e+00,2.152001034550381393e-03,9.761270200814450391e+02,1.201245144633906747e+00
2.209740484020269946e+01,0.000000000000000000e+00,6.435539393999999902e+01,2.523392657000000128e+01,6.456666667000000359e+01,1.352407408000000011e+01,2.112920950000000175e+01,0.000000000000000000e+00,2.972564108998085753e-03,3.912486511785994026e+02,1.610506882419600050e+00
1.861177762437139904e+01,0.000000000000000000e+00,1.727336740999999876e+01,1.380398961999999896e+00,5.594166666999999649e+01,1.102592592999999965e+01,2.152170370829999868e+01,0.000000000000000000e+00,2.321552299960929523e-03,4.986196617432195239e+02,1.394119944399142774e+00
2.299834669632669915e+01,2.460028251261000065e+01,1.254072388999999959e+02,5.317300911000000241e+00,8.379166666999999791e+01,5.243518518999999323e+00,3.482529022170000133e+01,1.000000000000000000e+00,1.940617265906080958e-03,8.284167791107821586e+02,1.622588531414971058e+00
2.119056855405720086e+01,2.232220481712679927e+01,2.057361176000000000e+02,4.031467400999999739e+01,5.624166667000000075e+01,-3.340740741000000291e+00,4.482964106420000405e+01,1.000000000000000000e+00,2.920587305090319857e-03,4.265904413954933716e+02,1.221166918253003830e+00
2.047383531546550017e+01,4.515033651090639921e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00,5.863323055669999917e+01,1.000000000000000000e+00,1.250777901932716672e-03,3.572318081173453947e+02,1.211002101835702227e+00
2.375181137160830147e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450000000000000000e+01,1.612037036999999984e+01,2.440416373580000098e+01,0.000000000000000000e+00,1.268891348735498234e-03,7.098577906031889597e+02,1.526712188999138853e+00
2.412487396680100105e+01,3.507741516895919887e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.874166667000000075e+01,-3.454629629999999896e+00,4.811199337829999934e+01,1.000000000000000000e+00,4.665494520230824629e-03,4.447125771220233901e+02,1.606229033684505536e+00
1.959731352075829847e+01,1.296407325126950028e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.474166667000000075e+01,1.175000000000000044e+00,1.874705165170000143e+01,1.000000000000000000e+00,3.284506374220840050e-03,4.815561261445831747e+02,1.698359376720658176e+00
2.118294340621670102e+01,1.273709030402410036e+01,1.429633720000000052e-01,7.214057699999999740e-02,9.702500000000000568e+01,-3.495370370000000504e-01,3.009573935079999885e+01,1.000000000000000000e+00,2.579546970568180782e-03,9.659333362881316134e+02,1.262038947287461355e+00
1.895713508285309956e+01,1.534876991127780066e+01,4.837121917999999710e+01,3.205031888000000322e+02,5.208333333000000209e+01,-1.924074073999999968e+00,4.134172366669999832e+01,1.000000000000000000e+00,3.597401753233522934e-03,2.402638965633497605e+02,1.484864247168209861e+00
2.163866315954329878e+01,0.000000000000000000e+00,4.139266548999999884e+01,4.311691890000000082e-01,9.316666666999999791e+01,1.291111111000000022e+01,2.229842197670000203e+01,0.000000000000000000e+00,3.567085830152808695e-03,6.499836259141926575e+02,1.413904504573140652e+00
