# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
2.170610750999999894e+01,5.077766200000000119e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.921666666999999507e+01,-4.113888889000000049e+00
1.833088893000000041e+01,2.724088250000000144e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.688333332999999925e+01,-5.524074073999999612e+00
2.058713420999999855e+01,2.829443361999999951e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.368333332999999641e+01,-4.260185185000000097e+00
2.271340607999999861e+01,1.845199518000000083e+01,8.186030678999999566e+01,2.795701391999999785e+00,9.824166667000000075e+01,8.282407407000000887e+00
2.288611668000000066e+01,3.869647434000000175e+01,6.650622986000000481e+01,1.092617154999999896e+00,9.344166667000000359e+01,3.299074073999999968e+00
2.118409817999999945e+01,3.002363165999999861e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.726666667000000643e+01,1.062175925999999926e+01
1.984164618999999874e+01,6.820735195999999689e+01,6.490447593999999754e+01,6.290989577000000281e+02,7.390000000000000568e+01,-1.166111111000000022e+01
2.245612153000000077e+01,2.362232632999999993e+01,2.401367203000000075e+02,1.878780236000000059e+02,5.337500000000000000e+01,-1.133796296000000092e+00
2.283412296999999924e+01,3.156423076000000094e+01,1.392590275999999960e+02,6.199348624000000285e+01,6.638333332999999925e+01,-5.376851851999999710e+00
2.186362408000000102e+01,3.905005979999999965e+01,1.836392635999999925e+02,3.474890874000000185e+00,8.146666666999999507e+01,-4.432870370999999921e+00
2.049181640000000115e+01,3.512153017000000155e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.109166667000000217e+01,2.143518520000000094e-01
2.213350648999999848e+01,1.868398523999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00
2.212985094000000075e+01,1.780620191999999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.951666667000000643e+01,4.318518519000000389e+00
2.094280570999999824e+01,2.895984003999999956e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.933333333000000209e+01,-1.462499999999999911e+00
2.266168899999999908e+01,2.677672787999999926e+01,1.678019288999999858e+01,3.130105200000000282e-02,7.766666666999999791e+01,2.781018518999999856e+00
2.551458880999999934e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.793333333000000351e+01,2.089444445000000172e+01
2.271694111000000049e+01,7.226613269000000628e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.498333333000000067e+01,-1.760185185000000097e+00
2.225058715999999848e+01,1.169564173000000018e+01,6.120883134000000325e+01,1.732443479999999925e-01,9.795833333000000209e+01,1.009999999999999964e+01
2.191434660999999906e+01,2.348152609999999996e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.186666667000000075e+01,-3.790277778000000097e+00
1.890808172999999925e+01,1.767575848999999977e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.761666667000000075e+01,2.027314814999999992e+00
2.050889202999999839e+01,4.148099817000000300e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.580833332999999641e+01,1.149814815000000046e+01
1.799941602999999901e+01,8.096441862000000356e+01,4.308971135000000174e+00,6.707494245000000355e+00,7.854166666999999791e+01,-3.918518519000000033e+00
2.373566363000000123e+01,0.000000000000000000e+00,1.904481419999999900e+02,6.284349354999999804e+01,7.459166666999999507e+01,1.545833333000000032e+01
2.032413521999999872e+01,2.914616058000000010e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.477500000000000568e+01,-2.829629629999999896e+00
2.268549532000000113e+01,5.384042187000000368e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.395000000000000284e+01,-5.203703699999999710e-01
2.236876295000000070e+01,1.975774898999999962e+01,3.099395944999999983e+02,1.147163462999999979e+02,3.979166666999999791e+01,5.837037036999999984e+00
