# IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
2.207428729349999941e+01,1.457899166840000049e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.459999999999999432e+01,-1.847685185000000008e+00,1.315234574999999961e-01,2.892795170899999935e+00,3.624504652000000160e-01,3.323200876999999887e-01,8.648743199999999604e-03
2.119752489169999876e+01,5.381155237139999770e+01,4.614648114999999962e+01,3.074269501999999932e+01,8.030833332999999641e+01,-3.185185184999999919e+00,2.090261814999999912e-01,2.964851700900000164e+00,3.457617033000000006e-01,3.693419299999999850e-01,9.332324300000000017e-03
2.388250176000000025e+01,1.816937663659999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.747499999999999432e+01,1.762499999999999956e+00,2.487623576999999919e-01,1.973243265400000057e+00,4.272188674999999880e-01,3.832518578999999925e-01,3.824919300000000077e-03
2.701605007310000062e+01,2.329098658030000024e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.102499999999999858e+01,7.296759258999999886e+00,1.285205657000000057e-01,2.920405184999999904e+00,3.268596644000000273e-01,4.531899043000000016e-01,5.669985500000000386e-03
2.165468458990000045e+01,4.607576757889999897e+01,1.149814302000000055e+02,5.507255059999999958e+02,7.323333332999999357e+01,1.044907406999999955e+00,2.514547983000000042e-01,2.241146880800000130e+00,3.438203442000000165e-01,1.727891061000000061e-01,4.935038299999999767e-03
1.991548739319999939e+01,4.831564733159999747e+01,1.801787505000000067e+01,1.808329561999999946e+00,8.016666666999999791e+01,-2.013425926000000032e+00,5.977632320000000193e-02,2.178490265399999792e+00,5.206360800999999539e-01,4.622184838999999767e-01,1.700240599999999986e-03
2.384437054079999996e+01,2.204013016109999867e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.480833332999999641e+01,8.289351851999999354e+00,2.928539754999999745e-01,2.508099399099999793e+00,6.410160815000000012e-01,4.959338033999999840e-01,4.260800099999999951e-03
2.254450354240000109e+01,3.380896597419999949e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.352499999999999858e+01,-1.946296296000000092e+00,1.941712545000000012e-01,2.322875924899999944e+00,3.336732641999999860e-01,4.881561804999999810e-01,5.394359300000000149e-03
2.211542742339999990e+01,2.656438936800000050e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.343000000000000682e+01,-5.282777838000000337e+00,1.338297726999999882e-01,1.602848937300000109e+00,3.506820077999999730e-01,3.047602165000000141e-01,4.221158400000000165e-03
2.197040886270000115e+01,3.931475339029999816e+01,2.003125406999999925e+01,2.218645228000000191e+00,6.966666666999999791e+01,8.499999999999999778e-01,6.815036950000000204e-02,2.819410345800000162e+00,3.702661070000000110e-01,3.708994151000000183e-01,2.221463700000000149e-03
2.026832178149999919e+01,3.796722346140000326e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.114166667000000643e+01,-2.735185185000000185e+00,2.996350517999999963e-01,2.559577490300000147e+00,6.349196303999999902e-01,4.914081533999999918e-01,7.436923199999999866e-03
2.325404274819999983e+01,1.949708359519999945e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.025833332999999925e+01,4.130555556000000017e+00,2.592779103999999779e-01,2.114395998400000032e+00,5.946326252000000423e-01,4.546476999999999880e-01,9.285908100000000304e-03
2.250709589630000096e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.884999999999999432e+01,1.380185185000000025e+01,1.238414389999999976e-01,2.724234487599999976e+00,5.779169203999999782e-01,2.534304066999999994e-01,3.860970999999999934e-03
