IAT average C,Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
21.27891391,24.54608278,0,0,88.11666667,4.217592592
21.2373823,24.62155711,0,0,87.46666667,4.234722222
21.14239322,25.92720303,0,0,90.46666667,3.55
21.08577301,25.21622673,0,0,91.18333333,3.132407407
21.06812094,25.78374287,0,0,88.45833333,2.585185185
21.00549489,26.0900374,0,0,84.8,2.097222222
20.96402965,26.8461122,0,0,81.65833333,1.57037037
20.91073933,26.47912533,0,0,79.18333333,1.008333333
21.28490417,79.09295623,31.55065677,120.5049405,79.50833333,1.551851852
22.51812037,45.37730398,80.34808569,40.3496545,76.20833333,2.142592593
23.28362317,5.054945518,89.93254637,646.0959326,70.15833333,4.362037037
23.31123003,11.04442726,83.87229875,799.6568506,66.94166667,4.836574074
23.31964735,7.598428461,81.37587076,833.3810725,66.01666667,5.459259259
23.28554348,15.68985734,77.78792163,815.7048409,62.5,6.30462963
23.30071129,9.553960218,64.48825364,787.7039537,58.775,7.241203704
23.21388019,14.64453268,48.70251187,606.6308945,57.48333333,7.855555555
23.03971114,17.05926905,16.49335409,279.8542519,61.85,6.743518519
22.66002581,21.36288161,0,0,67.65833333,5.565740741
22.69840432,38.03974401,0,0,72.7,4.6375
22.64044736,8.648691929,0,0,73.16666667,4.60787037
22.14263956,18.52027833,0,0,75.1,4.075462963
21.84698209,20.10351794,0,0,75.275,3.685185185
21.67080814,21.98136503,0,0,75.31666667,3.411111111
21.52832546,21.6197341,0,0,76.98333333,2.881481482
21.42907733,22.43789548,0,0,77.15833333,2.906944444
21.3724752,23.43679983,0,0,78.53333333,2.993981482
21.26864549,24.41672304,0,0,84.2,2.985185185
21.22657691,23.8576015,0,0,88.65,3.240277778
21.20619483,24.11665748,0,0,93.675,3.994444445
21.21245165,24.63318918,0,0,95.975,5.44537037
21.23112614,24.00805929,0,0,97.03333333,5.835648148
21.59571631,68.65784658,0,0,97.4,6.002777778
22.62881582,41.95715447,10.89272629,1.731747936,97.375,6.256944445
22.96680526,9.800372162,40.82889874,2.908372452,97.84166667,6.574074074
22.69308737,39.73974494,49.1400772,0.965103578,98.14166667,6.945370371
22.876631,8.542883689,70.04130784,1.249465587,98.25833333,7.377777778
22.7779377,17.13263678,67.03989151,0.900087472,98.15,7.945833333
22.71340608,18.45199518,81.86030679,2.795701392,98.24166667,8.282407407
22.69104629,17.21730832,54.87417179,1.850997034,98.35,8.425462963
22.70942311,16.94700188,34.60199483,3.282849732,98.125,8.471759259
22.66588199,18.73608396,9.057513641,2.482003915,97.61666667,8.403240741
22.65412484,18.15880728,0,0,96.73333333,8.406018518
22.59602806,17.09919382,0,0,95.275,8.135185185
22.55422906,38.62229943,0,0,92.00833333,8.001851852
22.67839816,3.892391037,0,0,90.04166667,8.055555555
22.50757888,15.10387482,0,0,89.1,7.942129629
22.3341661,15.01046537,0,0,88.55833333,7.475
22.15760728,17.18029713,0,0,89.18333333,7.122685185
22.02918487,18.19033902,0,0,89.63333333,6.953703704
22.03615898,17.48742333,0,0,90.475,6.687037037
21.93746759,18.54977055,0,0,90.3,6.8875
21.90030701,18.2861521,0,0,89.90833333,7.268518519
21.91138176,17.77060623,0,0,89.25,7.850462963
21.85749829,19.26822565,0,0,91.69166667,7.768518518
21.81376241,18.17185946,0,0,93.79166667,7.869444444
22.10175872,64.40028653,0,0,95.33333333,7.79537037
