Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C
5.0777662,0,0,69.21666667,-4.113888889
27.2408825,0,0,66.88333333,-5.524074074
28.29443362,0,0,83.68333333,-4.260185185
18.45199518,81.86030679,2.795701392,98.24166667,8.282407407
38.69647434,66.50622986,1.092617155,93.44166667,3.299074074
3.002363166,0,0,97.26666667,10.62175926
68.20735196,64.90447594,629.0989577,73.9,-11.66111111
23.62232633,240.1367203,187.8780236,53.375,-1.133796296
31.56423076,139.2590276,61.99348624,66.38333333,-5.376851852
39.0500598,183.6392636,3.474890874,81.46666667,-4.432870371
3.512153017,0,0,51.09166667,0.214351852
18.68398524,0,0,61.01666667,6.023611111
17.80620192,0,0,89.51666667,4.318518519
28.95984004,0,0,89.33333333,-1.4625
26.77672788,16.78019289,0.031301052,77.66666667,2.781018519
0,0,0,57.93333333,20.89444445
72.26613269,0,0,44.98333333,-1.760185185
11.69564173,61.20883134,0.173244348,97.95833333,10.1
23.4815261,0,0,71.86666667,-3.790277778
17.67575849,0,0,87.61666667,2.027314815
4.148099817,0,0,95.80833333,11.49814815
80.96441862,4.308971135,6.707494245,78.54166667,-3.918518519
0,190.448142,62.84349355,74.59166667,15.45833333
29.14616058,0,0,84.775,-2.82962963
5.384042187,0,0,63.95,-0.52037037
19.75774899,309.9395945,114.7163463,39.79166667,5.837037037
31.78808108,0,0,48.33333333,-2.431018519
19.20634265,76.07772962,15.8988313,87.425,5.714814815
18.41053574,0,0,94.14166667,3.95787037
2.827523478,0,0,75.29166667,4.837962963
23.59673404,0,0,83.69166667,1.968518518
56.75698628,0.915420739,0.398678054,74.375,-0.276388889
2.933880447,163.1615922,12.15042398,79.05,8.988888889
21.48328116,0,0,90.36666667,3.741666667
23.68644363,157.4966513,25.18578379,70.43333333,2.265277778
22.67016498,0,0,61.66666667,-4.046759259
17.87294209,0,0,97.35833333,1.483796296
21.11946171,0,0,57.225,-0.7
2.762777852,0,0,67.51805583,9.308410537
48.52230748,0,0,69.79166667,0.770833333
80.95114558,2.228795901,2.144761233,84.91666667,-3.253240741
23.91148278,0,0,56.76666667,2.219444444
76.03998586,19.85338532,7.652476639,44.36666667,4.048611111
3.75005246,102.9222397,920.5361896,41.04166667,0.4375
23.87087793,0,0,73.16666667,0.235185185
0,0,0,54.19166667,19.92546296
5.278889604,0,0,88.75833333,10.20509259
40.79484328,0,0,72.5,-11.50231482
2.942733211,0,0,41.19166667,16.63194445
22.81122343,0,0,68.81666667,-5.031018519
0,0,0,41.38333333,11.50324074
25.67140695,73.3929259,702.7493319,72.50833333,7.006084482
1.394216974,131.136311,781.756157,29.25833333,14.10138889
31.21003598,4.733761032,0.903597161,73.20833333,0.019907407
0,72.04683584,0.209203107,57.325,13.6
14.61205202,0,0,97.90833333,8.425462963
0,98.12929077,311.0380746,84.61666667,16.37083333
18.12083948,0,0,76.90833333,2.085648148
3.093373369,0,0,64.74166667,1.175
0,0,0,73.875,11.61898148
40.56756965,7.161706197,93.80391351,43.09166667,-0.777314815
35.19575603,0,0,56.86666667,4.406944445
0,0,0,54.925,15.09259259
2.723185908,111.3778405,792.5518878,51.425,10.8162037
7.979936709,102.4201024,106.2232612,86.425,7.201388889
39.73974494,49.1400772,0.965103578,98.14166667,6.945370371
0,82.837853,0.980954741,90.49166667,13.61574074
29.40375052,323.2219428,96.08497013,59.46666667,-1.085185185
56.13780531,0,0,90.65,-5.298148148
18.73321957,0,0,97.7,4.6
10.01240456,0,0,98.06666667,1.890277778
18.92663809,23.99663341,2.391511819,76.48333333,4.319907407
23.82251596,0,0,59.54166667,6.955092593
39.01106373,0,0,60.75,-2.751851852
1.386729987,198.5829673,170.7423943,54.55,11.36898148
75.98582858,0.963086363,0.548492903,84.44166667,3.560648148
0,122.3222243,7.904099671,79.45833333,14.28981482
0,110.6061196,783.2287767,46.94166667,17.3712963
26.8139872,88.81121144,3.489518821,89.975,2.114351852
26.89393771,0,0,82.775,0.4875
9.553960218,64.48825364,787.7039537,58.775,7.241203704
14.68742515,0,0,84.825,3.688888889
26.5409698,37.14700544,107.1645994,61.65833333,1.527314815
18.17185946,0,0,93.79166667,7.869444444
64.44703042,125.7894456,33.82737228,78.18333333,-3.603240741
17.83044426,87.64126604,2.792976315,93.3,12.83287037
50.66817447,93.31380864,41.23666246,76.55833333,0.130555556
17.05926905,16.49335409,279.8542519,61.85,6.743518519
0,0,0,76.36666667,17.19814815
17.59383838,0,0,75.61666667,4.783333333
77.59609946,30.41370308,0.101593703,82.66666667,-3.794444445
19.75774899,309.9395945,114.7163463,39.79166667,5.837037037
19.20374514,0,0,77.475,5.247685185
26.89776983,0,0,73.825,-2.37962963
22.82991555,80.37815594,856.9071379,39.75833333,1.678703704
16.81499064,0,0,95.41666667,1.316203704
67.99343411,0,0,74.8,5.643981481
56.13780531,0,0,90.65,-5.298148148
0,0,0,81.6,11.83796296
51.78159102,121.5711564,605.7633587,65.05,-8.199074074
26.09393714,0,0,77.29166667,7.684722222
11.80591119,0,0,59.73333333,9.014814815
0,7.424834676,157.9548844,41.18333333,14.72175926
0,0,0,84.83333333,14.64074074
66.21718525,32.88222547,30.47304902,68.175,-5.859259259
39.64123821,22.39482204,3.398185871,78.64166667,-0.390277778
17.26006717,0,0,61.94166667,2.418518518
21.10861725,0,0,75.46666667,7.868055555
25.03105563,127.1328675,191.3248759,64.025,-1.446296296
22.5589088,0,0,84.29166667,4.748611111
14.3852288,0,0,86.95,10.73240741
0,0,0,89.58333333,13.25925926
76.79218108,0,0,83.20833333,-11.63101852
3.413041147,0,0,68.61666667,11.92083334
2.905842527,126.9127533,386.3302934,58.95,13.85787037
0,0,0,68.29166667,18.54074074
