Heating demand khw,Diffuse solar w/m2,Direct normal solar w/m2,OAH,OAT C,Pitched roof insul thickness m,Ext win U,Ext win SHGC,Infil rate ACH,Mullion surface metal thickness m
14.5789916684,0,0,64.6,-1.847685185,0.1315234575,2.8927951709,0.3624504652,0.3323200877,0.0086487432
53.8115523714,46.14648115,30.74269502,80.30833333,-3.185185185,0.2090261815,2.9648517009,0.3457617033,0.36934193,0.0093323243
18.1693766366,0,0,77.475,1.7625,0.2487623577,1.9732432654,0.4272188675,0.3832518579,0.0038249193
23.2909865803,0,0,31.025,7.296759259,0.1285205657,2.920405185,0.3268596644,0.4531899043,0.0056699855
46.0757675789,114.9814302,550.725506,73.23333333,1.044907407,0.2514547983,2.2411468808,0.3438203442,0.1727891061,0.0049350383
48.3156473316,18.01787505,1.808329562,80.16666667,-2.013425926,0.0597763232,2.1784902654,0.5206360801,0.4622184839,0.0017002406
22.0401301611,0,0,94.80833333,8.289351852,0.2928539755,2.5080993991,0.6410160815,0.4959338034,0.0042608001
33.8089659742,0,0,53.525,-1.946296296,0.1941712545,2.3228759249,0.3336732642,0.4881561805,0.0053943593
26.564389368,0,0,93.43,-5.282777838,0.1338297727,1.6028489373,0.3506820078,0.3047602165,0.0042211584
39.3147533903,20.03125407,2.218645228,69.66666667,0.85,0.0681503695,2.8194103458,0.370266107,0.3708994151,0.0022214637
37.9672234614,0,0,81.14166667,-2.735185185,0.2996350518,2.5595774903,0.6349196304,0.4914081534,0.0074369232
19.4970835952,0,0,70.25833333,4.130555556,0.2592779104,2.1143959984,0.5946326252,0.4546477,0.0092859081
0,0,0,88.85,13.80185185,0.123841439,2.7242344876,0.5779169204,0.2534304067,0.003860971
0,0,0,58.675,19.57083333,0.2154954547,2.0314507846,0.6374844865,0.3837598159,0.0022552824
13.7692795741,0,0,61.01666667,-7.588888889,0.2136443252,2.1205116798,0.332482266,0.3407863569,0.004400168
0,149.362142,37.50596774,75.54166667,18.29907407,0.2298732868,2.6035708289,0.5444469363,0.4833244157,0.006987099
0,31.5415491,2.008634759,84.29166667,17.09166667,0.2065003114,2.08645542,0.5573990127,0.441524911,0.0066144761
17.6783612181,0,0,95.00833333,5.388888889,0.0844405925,2.2189417667,0.565551848,0.3740735527,0.0012647564
0,206.997265,518.835077,55.54166667,22.41342593,0.1610798601,2.7630085314,0.5027542851,0.4020599047,0.0013351293
0,0,0,85.84166667,10.58009259,0.2403422229,2.4749494396,0.5853167342,0.3721718089,0.0039047365
0,110.8391203,248.0892696,29.70833333,14.2375,0.0914328245,2.1087822232,0.2809549038,0.2369377049,0.002140477
39.2091412455,176.8031801,392.2666454,58.15833333,4.89212963,0.0611660921,2.8770967344,0.4908371226,0.4930275915,0.0047131778
0,87.64126604,2.792976315,93.3,12.83287037,0.2003641547,1.6178987154,0.4068702107,0.4763143027,0.0021088341
13.14927133,0,0,51.99166667,-2.494444444,0.2303173247,2.0429455913,0.5583570512,0.4019560054,0.0045790691
0,2.597065222,0.745888487,77.35833333,15.76712963,0.2683300023,2.5610112861,0.4235349843,0.2761388893,0.0035424406
51.9460030966,125.7894456,33.82737228,78.18333333,-3.603240741,0.2458874698,2.7379295262,0.5385111997,0.2080485992,0.0092263363
9.358124794,0,0,86.81666667,4.684722222,0.1894341325,1.7436467725,0.5306541803,0.4487201957,0.0078723396
21.2560069138,90.75184666,20.83644346,74.64166667,3.375,0.1907812305,2.1561781822,0.3378505391,0.2202433485,0.0031011981
41.7227983472,146.8581352,20.27776211,55.175,0.494444445,0.1960622508,2.5498024146,0.5277352019,0.3063688694,0.0030305407
24.7905242616,0,0,45.275,-0.673611111,0.0745292054,1.7926195707,0.5934906625,0.2721745023,0.0078332804
