heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,pickedRoofInsuThickness,extWinU,extWinSHGC,infilRate,mullSurfaceMetalThickness
0,71.68425452,15.02591777,87.89166667,13.79583333,25.4126502175,0.1441813329,1.6325084673,0.4275297807,0.4003384137,0.0099740422
26.4405451266,136.3503746,24.45710834,73.03333333,-5.188425926,47.7454821292,0.0517400997,1.5555871634,0.3845021778,0.2395310371,0.0088545507
9.4799296529,0,0,98.35,2.313888889,35.2246340083,0.2299314654,2.6385029846,0.3393082861,0.2621391286,0.0041880221
41.8400294788,12.13777576,1.701378443,72.94166667,0.063888889,56.7443168983,0.2614823483,1.544378277,0.6369765021,0.3546149734,0.002621294
10.8830061396,0,0,92.26666667,2.375462963,33.5389574442,0.1071142917,1.5391656829,0.6018937773,0.4316909388,0.0092589956
45.1777921972,105.2946379,34.6521592,78.71666667,-0.711574074,65.9799243517,0.275782136,1.7515879552,0.3887782918,0.1599560667,0.0040109846
13.4092877664,197.2588648,221.9514669,50.14166667,-3.014814815,31.3582511417,0.2052578329,1.9150276809,0.3981083065,0.3482821091,0.002055121
0,71.64698232,6.940723833,92.575,13.03240741,27.291353435,0.2966189545,1.9819642977,0.56528197,0.3629504812,0.0055977401
3.0724140124,117.5730038,881.1135428,45.26666667,0.730092593,28.23697361,0.1624022336,2.9625823742,0.4496670952,0.3021992511,0.0047923317
8.4476723815,0,0,93.6797625,2.015145107,28.6328270375,0.2569019956,1.5906627903,0.2814434591,0.260016929,0.0046585411
0,0,0,95.64166667,10.25648148,21.231521555,0.1507098997,2.9759671851,0.3945898021,0.2681945974,0.0090229218
5.721297046,0,0,59.475,6.454166667,29.5521322392,0.1572866524,2.2397528895,0.4669914358,0.3652995927,0.0050664845
0,226.828386,182.156422,79.19166667,15.29629626,23.0184800792,0.2244202788,2.1230685171,0.4612317645,0.4930240051,0.0062409804
0,83.92427383,0.076962548,97.4,10.75231481,33.0943077688,0.142105474,1.9221451461,0.3589054125,0.4325929677,0.0065126359
24.1289491549,0,0,73.175,9.975925925,42.5282628933,0.2858077545,2.4168088393,0.2945633348,0.4072575779,0.00197739
9.6978650617,0,0,79.25833333,10.79722222,33.0904368533,0.1814025611,2.4722990221,0.2798564866,0.3185795848,0.0062199728
7.2353858585,0,0,75.46666667,-8.433796296,34.3381472642,0.284152017,2.1305650498,0.4581914981,0.4422696663,0.0082255984
13.0757357533,52.69835998,2.839733773,86.825,3.877314815,37.3781609017,0.1390057198,2.4357785438,0.3511274533,0.2514594028,0.0058061796
1.9059925277,0,0,68.48333333,9.205555556,19.5733150092,0.1231834256,2.2081950109,0.4065472347,0.3607207979,0.0068330359
0,0,0,93.8,11.47314815,27.3035286808,0.2052578329,1.9150276809,0.3981083065,0.3482821091,0.002055121
18.5884728671,40.82889874,2.908372452,97.84166667,6.574074074,36.81797224,0.0685884701,1.8169957575,0.6339222233,0.1966624587,0.003469416
