# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pickedRoofInsuThickness,extWinU,extWinSHGC,intMass,infilRate
8.869734784200000277e+00,8.035306100000000340e-01,2.637421480000000096e-01,8.572499999999999432e+01,-4.445370371000000098e+00,1.490551952919999934e+01,0.000000000000000000e+00,5.846687949999999911e-02,2.770779531200000090e+00,3.899989582000000232e-01,2.163744565440000045e+01,1.730942290999999966e-01
2.387941932680000079e+01,5.872682866000000246e+01,6.875104833999999698e+01,5.892499999999999716e+01,-3.150925926000000210e+00,4.779581199079999720e+01,1.000000000000000000e+00,2.049025592000000007e-01,2.102031261700000098e+00,6.086830021000000368e-01,2.992712731319999975e+01,2.980401348999999755e-01
2.643901240270000130e+01,3.175736708000000021e+02,8.873422368999999321e+01,5.641666666999999791e+01,-4.041666669999999795e-01,4.176920976830000143e+01,1.000000000000000000e+00,2.815525891999999808e-01,1.653706732400000101e+00,5.619238878000000215e-01,1.590113892459999967e+01,1.714951322999999916e-01
1.933744137880000125e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.992499999999999716e+01,9.016203704000000485e+00,3.343758662329999964e+01,1.000000000000000000e+00,2.725941000000000058e-01,1.928558062800000084e+00,5.382019422999999581e-01,1.051597088329999963e+01,4.474395664999999966e-01
2.043423118600000166e+01,4.082889873999999963e+01,2.908372452000000052e+00,9.784166666999999507e+01,6.574074074000000323e+00,3.681797224000000313e+01,1.000000000000000000e+00,6.022974229999999984e-02,1.507888977199999925e+00,4.073089820999999944e-01,4.904142277400000083e+00,3.118247606999999810e-01
2.275975236220000042e+01,4.288049198000000217e+01,5.604841662000000042e+02,4.839166666999999933e+01,-2.900925926000000210e+00,4.796146726749999800e+01,1.000000000000000000e+00,1.053153029000000046e-01,1.600101878400000066e+00,4.718435337999999923e-01,2.397919403830000107e+01,2.807809326999999855e-01
1.935253453289999825e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.271666667000000217e+01,6.322685186000000179e+00,3.317869167079999926e+01,1.000000000000000000e+00,1.837695471999999941e-01,2.882743474300000219e+00,4.733287375999999935e-01,1.243854668540000041e+01,1.209542947000000063e-01
2.057782650700000104e+01,1.244118886999999951e+01,1.240225893000000079e+00,8.424166667000000075e+01,8.928240740999999758e+00,3.697503193920000086e+01,1.000000000000000000e+00,1.932835307000000113e-01,1.572545910899999955e+00,6.330513010999999635e-01,2.440885879940000081e+01,3.166925946999999963e-01
1.122593773790000071e+01,2.289785766000000056e+00,4.567190595999999658e+00,6.657500000000000284e+01,-5.702777777999999742e+00,3.489873352250000238e+01,1.000000000000000000e+00,5.142400939999999809e-02,2.906019974499999936e+00,6.199587190999999997e-01,1.575825109360000020e+01,3.019867239999999842e-01
1.593483525869999973e+01,1.215711564000000067e+02,6.057633587000000261e+02,6.504999999999999716e+01,-8.199074074000000323e+00,5.392628694420000102e+01,1.000000000000000000e+00,2.313370006999999895e-01,2.160094243400000114e+00,2.640031582999999848e-01,7.576064789300000157e+00,4.682267759000000029e-01
2.410957656609999944e+01,6.101307795999999684e+01,1.899726993000000030e+00,7.063333332999999925e+01,-1.606481479999999906e-01,6.404917092579999860e+01,1.000000000000000000e+00,1.783811170999999862e-01,2.332876908799999871e+00,4.087971785999999774e-01,1.312017124099999954e+01,1.814288494000000085e-01
2.092726449979999970e+01,1.725310548999999867e+02,6.418312387999999657e+01,7.352500000000000568e+01,9.645833333000000565e+00,2.780036246250000076e+01,1.000000000000000000e+00,1.559270111000000125e-01,2.991092710799999832e+00,4.806967206000000159e-01,2.504185438460000057e+01,1.315949926999999964e-01
2.096506618240000108e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.765833333000000493e+01,5.565740740999999936e+00,3.447552287919999969e+01,1.000000000000000000e+00,1.053153029000000046e-01,1.600101878400000066e+00,4.718435337999999923e-01,2.397919403830000107e+01,2.807809326999999855e-01
2.128691933869999886e+01,3.842988064000000037e+01,1.292184474000000023e+02,5.774166667000000075e+01,-3.306944443999999983e+00,4.431306134329999935e+01,1.000000000000000000e+00,9.275756790000000418e-02,2.893246941300000152e+00,4.463937754000000258e-01,1.701959526979999993e+01,2.936887770000000120e-01
1.922399323400000171e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.258333333000000209e+01,5.366203704000000130e+00,1.872441079080000037e+01,1.000000000000000000e+00,1.120804012999999932e-01,1.724350725200000101e+00,4.516418835000000076e-01,2.555476613780000150e+01,1.379663664999999928e-01
1.835917911869999841e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.990000000000000568e+01,6.407407406999999999e+00,2.968593724999999850e+01,1.000000000000000000e+00,7.397376519999999955e-02,2.495638945800000119e+00,5.431384193999999610e-01,4.509009097010000033e+01,1.252194409000000064e-01
1.787232886749999849e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.529999999999999716e+01,1.009398148000000006e+01,2.132864371750000032e+01,0.000000000000000000e+00,2.998943948000000193e-01,2.203265692400000031e+00,3.551893696000000267e-01,1.920857974329999962e+01,4.800348775000000123e-01
1.996397854769999824e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.209999999999999432e+01,1.458657406999999928e+01,2.441386392080000078e+01,0.000000000000000000e+00,1.070165490999999969e-01,2.444688327100000169e+00,2.564640544999999827e-01,4.467976210879999854e+01,1.943179882999999941e-01
2.339741753299999871e+01,1.103403763000000026e+02,1.745671351999999956e+02,5.639166666999999933e+01,-1.334259258999999975e+00,4.175347824079999981e+01,1.000000000000000000e+00,1.085831691999999959e-01,1.709083162099999997e+00,5.292572412999999587e-01,3.536340673499999809e+00,4.959809356000000058e-01
2.213897443870000004e+01,4.421154383999999737e+01,2.145647562000000175e+00,8.470833333000000209e+01,6.155092593000000001e+00,2.649568172169999869e+01,1.000000000000000000e+00,2.144949056000000076e-01,2.453482072399999936e+00,2.525884972999999922e-01,4.887773710140000105e+01,1.222635880000000064e-01
1.881948045940000114e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.689999999999999858e+01,2.954166666999999968e+00,2.988046389830000038e+01,1.000000000000000000e+00,1.635895789000000045e-01,2.427249666199999822e+00,4.671906291999999850e-01,4.778979258519999718e+01,3.972328988000000116e-01
1.977416172610000089e+01,4.760800116000000060e+01,3.565494449999999915e+01,7.688333332999999925e+01,-6.034722222000000080e+00,5.269743078669999647e+01,1.000000000000000000e+00,1.277775753000000014e-01,1.502515475800000111e+00,4.256701764999999971e-01,3.943093160000000097e+01,4.735861303000000189e-01
1.807863184349999841e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.994166667000000359e+01,6.369444445000000066e+00,2.907204095499999852e+01,1.000000000000000000e+00,2.065937508000000034e-01,2.629506348600000099e+00,4.888053902999999756e-01,1.167898370570000033e+01,3.911693682999999866e-01
1.989862387759999862e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.587500000000000000e+01,2.519444444999999977e+00,3.520142246750000226e+01,1.000000000000000000e+00,2.737101988999999791e-01,2.214020961400000154e+00,6.358602859999999968e-01,1.227283436100000014e+00,2.075480587999999904e-01
