# # iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
1.703928018999999949e+01,3.927144499999999927e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.302314814999999903e+00,9.970000000000000284e+01,-1.254166667000000013e+00,2.991666667000000075e+02,0.000000000000000000e+00,1.775985787420000150e+01,0.000000000000000000e+00
2.042883430999999916e+01,4.183798117000000261e+00,2.744201707999999940e+01,3.533253389999999605e-01,1.214629629999999949e+01,9.825833332999999925e+01,1.240046296000000048e+01,1.670833333000000209e+02,1.113874666999999929e+00,2.086673541669999921e+01,1.000000000000000000e+00
2.066627013000000090e+01,2.332651621000000119e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.124537036999999629e+00,4.653333332999999783e+01,2.137037036999999806e+00,1.826666666999999791e+02,6.146800000000000042e-01,3.449006504169999943e+01,1.000000000000000000e+00
2.405065736999999970e+01,1.466177613000000157e+00,1.034414713999999975e+02,6.541014727999998968e+02,1.166064815000000010e+01,8.109999999999999432e+01,1.486388889000000013e+01,1.552500000000000000e+02,3.464559999999999862e-01,2.760044420999999915e+01,5.833333333000000342e-01
1.865926529000000045e+01,2.369565172000000075e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.248935185000000025e+01,5.629166666999999791e+01,-5.143055556000000195e+00,7.175000000000000000e+01,4.209626670000000126e-01,3.295607402750000148e+01,1.000000000000000000e+00
2.291890575000000041e+01,2.476085465999999968e+01,5.882069699000000185e+01,3.737710540000000137e+00,-2.509259259000000242e+00,8.190000000000000568e+01,2.166666669999999795e-01,2.595000000000000000e+02,1.505034666999999882e+00,5.193527671420000047e+01,1.000000000000000000e+00
2.042883430999999916e+01,4.183798117000000261e+00,2.744201707999999940e+01,3.533253389999999605e-01,1.214629629999999949e+01,9.825833332999999925e+01,1.240046296000000048e+01,1.670833333000000209e+02,1.113874666999999929e+00,2.086673541669999921e+01,1.000000000000000000e+00
2.196695894000000138e+01,1.514591689000000052e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.107407407000000177e+00,9.651666667000000643e+01,8.621296296000000581e+00,4.616666666999999791e+01,2.235200000000000034e-02,3.068442250500000057e+01,1.000000000000000000e+00
2.199127722000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.135462962999999981e+01,9.927500000000000568e+01,1.145092593000000036e+01,3.080000000000000000e+02,7.599679999999999769e-01,2.568054818579999932e+01,0.000000000000000000e+00
2.317827077000000102e+01,0.000000000000000000e+00,3.036525550000000067e+02,3.684562166000000047e+02,5.168518519000000033e+00,6.516666666999999791e+01,1.147777778000000026e+01,2.899166667000000075e+02,1.616794666999999963e+00,2.424611947749999885e+01,8.333333330000000649e-02
