# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
1.948784466314469910e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.759722222000000613e+00,4.902499999999999858e+01,1.806944443999999983e+00,1.620000000000000000e+02,1.117599999999999844e-01,3.523753020670000069e+01,1.000000000000000000e+00,1.608283859694238371e-01,9.297140951603730455e-03,1.643563080186225989e+00,3.320648689583439728e-01,8.115594058636793307e+01,2.044441329258000206e-01
1.217805400522560078e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.554629630000000162e+01,7.156666667000000359e+01,-1.142731481999999943e+01,1.702500000000000000e+02,9.089813329999999469e-01,4.956087106500000061e+01,1.000000000000000000e+00,5.289614586093913107e-02,8.205123519323793968e-03,2.370604154508377803e+00,2.836613203254476634e-01,7.561182368612190885e+01,1.192912969726525468e-01
2.299612121308830126e+01,2.837788377000000040e+01,5.987149117000000409e+00,1.068935184999999954e+01,7.692499999999999716e+01,1.470509258999999957e+01,1.178333332999999925e+02,1.192106667000000009e+00,2.398053194499999918e+01,0.000000000000000000e+00,2.795038876069508849e-01,4.895224036577020162e-03,2.262215734846682480e+00,2.897199266939367579e-01,8.015091337040215080e+01,1.262230705414813525e-01
2.080368175106049833e+01,0.000000000000000000e+00,0.000000000000000000e+00,-8.382407407000000532e+00,3.349166667000000075e+01,6.537499999999999645e+00,8.641666666999999791e+01,0.000000000000000000e+00,2.114474906919999952e+01,1.000000000000000000e+00,5.861771431296015911e-02,2.164339439666909150e-03,2.158219383808256620e+00,3.670348198690975283e-01,9.915797867370447705e+01,2.012931219768333002e-01
2.120229642667650083e+01,6.231800358000000273e+01,3.565163708000000042e+01,-2.565277778000000009e+00,7.276666667000000643e+01,1.802777778000000053e+00,2.958333332999999925e+02,3.401229333000000299e+00,5.064759657329999953e+01,1.000000000000000000e+00,1.404211381132106085e-01,6.378866170289316899e-03,1.807642370098407669e+00,3.114380962297813027e-01,3.995060294859035821e+01,2.940853412377817389e-01
2.017950825506299850e+01,1.211796030000000002e+02,1.747472843000000164e+00,7.599074073999999790e+00,6.445000000000000284e+01,1.419814814999999975e+01,1.859166666999999791e+02,1.993053333000000205e+00,2.205387360170000122e+01,1.000000000000000000e+00,5.434062291947080320e-02,7.367497490179596327e-03,1.941350232939876630e+00,4.667441107061449657e-01,3.144361371546675343e+01,1.960176735294998362e-01
2.216046150459170150e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.592129630000000073e+00,8.806666667000000359e+01,4.390740741000000114e+00,2.411666666999999791e+02,4.433146670000000511e-01,3.666506485170000218e+01,1.000000000000000000e+00,2.718019475586947453e-01,6.146779709146491313e-03,2.798933082062688982e+00,3.795986745852609756e-01,7.874930809436102663e+01,6.645763461148797291e-02
1.764732237139629945e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.267592592999999823e+00,9.770000000000000284e+01,4.599999999999999645e+00,2.822500000000000000e+02,3.613573329999999473e-01,3.317294548079999572e+01,1.000000000000000000e+00,6.149260044298875127e-02,5.682313339426202023e-03,2.063294049314888579e+00,6.268595581432250263e-01,3.929872459153103392e+01,2.541204036201089034e-01
2.082917131148619916e+01,0.000000000000000000e+00,0.000000000000000000e+00,-5.976388888999999871e+00,6.520000000000000284e+01,-2.393518520000000038e-01,7.508333333000000209e+01,2.570479999999999987e-01,4.871738509330000255e+01,1.000000000000000000e+00,2.049204628128997729e-01,8.659639183407865509e-03,2.477530768902310498e+00,3.608010405481207328e-01,3.832999457415180444e+01,2.766019103432920123e-01
1.750591523008300143e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.938888888999999338e+00,7.006666667000000359e+01,-1.398148150000000089e-01,4.800000000000000000e+01,0.000000000000000000e+00,3.478543402750000268e+01,1.000000000000000000e+00,6.149260044298875127e-02,5.682313339426202023e-03,2.063294049314888579e+00,6.268595581432250263e-01,3.929872459153103392e+01,2.541204036201089034e-01
