# # iwNorthAvgTemp,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,pitchedRoofInsuThickness,mullSurfaceMetalThickness,extWinU,extWinSHGC,intMass,infilRate
2.093652490830000090e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.759999999999999432e+01,1.047731482000000014e+01,2.969335814749999969e+01,1.000000000000000000e+00,1.741935011000000089e-01,7.560706099999999971e-03,2.582078340999999888e+00,4.507306361999999789e-01,8.259422264500000210e+01,1.525445742000000049e-01
2.299524930580000159e+01,2.359502253999999937e+02,2.482546705000000031e+02,5.596666667000000217e+01,1.046481481000000002e+01,2.150159742749999836e+01,1.000000000000000000e+00,8.095030759999999326e-02,6.541743299999999706e-03,2.738758386100000219e+00,4.083152621999999732e-01,9.481085097589999577e+01,1.962647412000000091e-01
3.359992985969999779e+01,4.670474069000000128e+01,9.621897497000000499e+01,3.305833333000000351e+01,1.229814814999999939e+01,2.304850414330000064e+01,0.000000000000000000e+00,1.172265314999999947e-01,5.117579500000000309e-03,1.822047842599999967e+00,6.004222305999999953e-01,4.390137979109999833e+01,1.136430801999999962e-01
2.747925968210000036e+01,8.392427383000000418e+01,7.696254800000000562e-02,9.740000000000000568e+01,1.075231480999999967e+01,3.309430776880000025e+01,7.500000000000000000e-01,2.510126787999999998e-01,5.274646499999999759e-03,2.091563342200000175e+00,2.964471851000000102e-01,7.221122081740000453e+01,1.358057793000000124e-01
1.904622306970000167e+01,4.119960054999999954e+00,7.552038119999999743e-01,9.901666667000000643e+01,8.457407406999999822e+00,3.443598222250000163e+01,1.000000000000000000e+00,1.333175644000000049e-01,6.872427500000000133e-03,2.952055265299999842e+00,3.022764125999999885e-01,5.588954905890000191e+01,2.851006240999999775e-01
2.117215771709999927e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.515833333000000493e+01,-1.183333333000000032e+01,4.771991236080000220e+01,1.000000000000000000e+00,2.990497679999999936e-01,1.633910199999999988e-03,1.977942897499999964e+00,5.707149111999999525e-01,4.363785920849999656e+01,2.629498120000000119e-02
2.006078635809999966e+01,9.566227301000000693e+01,7.636917427000000202e+00,7.567499999999999716e+01,1.830879630000000091e+01,2.158899024420000146e+01,0.000000000000000000e+00,9.352569589999999711e-02,8.496522100000000743e-03,1.880793361200000069e+00,5.404016830000000216e-01,3.274006596560000304e+01,1.762154773000000063e-01
3.036466323619999841e+01,2.548371501999999964e+02,1.040481336999999940e+01,5.627499999999999858e+01,2.148842592999999823e+01,2.388300146250000111e+01,0.000000000000000000e+00,2.621129133999999805e-01,4.866733899999999696e-03,1.740089414000000057e+00,5.295456388000000514e-01,5.230794189729999744e+01,2.218366934000000068e-01
2.218362708309999931e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.456666667000000359e+01,-9.151388888999999693e+00,5.734525365750000248e+01,1.000000000000000000e+00,1.102186128000000043e-01,9.224033899999999411e-03,2.430174973300000207e+00,2.825088622999999965e-01,7.859890905669999484e+01,7.310841440000000191e-02
2.058489193360000158e+01,5.135200528000000020e+01,1.091902658000000059e+01,8.558333333000000209e+01,2.849074073999999790e+00,3.813549288080000110e+01,1.000000000000000000e+00,1.225733464999999994e-01,2.012118700000000045e-03,2.680579469800000059e+00,3.540249106999999729e-01,8.889664353519999906e+01,8.657995870000000094e-02
3.035234419220000035e+01,1.461349937999999895e+02,1.021248863999999941e+02,6.621666666999999507e+01,2.049351851999999852e+01,1.762136051419999916e+01,0.000000000000000000e+00,2.181722906999999934e-01,3.474212600000000165e-03,2.754263142500000150e+00,6.416114582999999927e-01,6.517315687859999684e+01,2.729979833000000244e-01
2.146674458549999898e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.652500000000000568e+01,-1.312962962999999927e+00,4.041409833419999842e+01,1.000000000000000000e+00,2.707903191000000098e-01,4.083093399999999581e-03,2.087972070599999785e+00,6.280983123000000168e-01,7.955377808410000284e+01,8.920638379999999701e-02
2.857709398149999913e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.650000000000000000e+01,7.541666670000000128e-01,2.831302639500000140e+01,1.000000000000000000e+00,2.317706934000000052e-01,3.949175600000000286e-03,1.587575535800000104e+00,6.439320613000000249e-01,4.721668504769999686e+01,1.833416578000000019e-01
2.300843957140000029e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.500833332999999925e+01,-9.884259260000000102e-01,3.737170303669999782e+01,1.000000000000000000e+00,1.921741600000000105e-01,5.369839599999999720e-03,1.636985976100000073e+00,2.670508325000000016e-01,8.200068273200000135e+01,3.678019889999999820e-02
1.654285004790000002e+01,4.484736568999999662e+01,5.766962329000000409e+02,6.779166666999999791e+01,-7.438425925999999855e+00,6.233992874919999849e+01,1.000000000000000000e+00,1.333175644000000049e-01,6.872427500000000133e-03,2.952055265299999842e+00,3.022764125999999885e-01,5.588954905890000191e+01,2.851006240999999775e-01
2.571341093899999919e+01,1.537942654000000005e+02,1.444203766999999914e+02,7.230833332999999641e+01,7.740740739999999676e+00,3.398292368170000088e+01,1.000000000000000000e+00,1.898366546999999960e-01,3.311630900000000176e-03,1.709827416099999997e+00,5.657908165999999683e-01,7.687576360789999796e+01,1.912455329999999953e-02
2.286838759760000173e+01,1.985338532000000100e+01,7.652476638999999636e+00,4.436666667000000075e+01,4.048611110999999596e+00,5.622407939749999883e+01,1.000000000000000000e+00,2.072147857999999954e-01,2.382791600000000194e-03,2.149924475300000193e+00,4.221478841999999898e-01,5.438278589280000119e+01,1.564871171999999977e-01
2.897167911669999896e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.406666666999999649e+01,1.088564814999999975e+01,2.269752851499999835e+01,1.000000000000000000e+00,1.780385305999999945e-01,8.127985900000000638e-03,1.568628630599999907e+00,5.453853600000000412e-01,9.027743474380000066e+01,1.589595708000000052e-01
2.892936008830000105e+01,1.101701754000000051e+02,7.453280658999999559e+02,3.356666666999999649e+01,8.891666667000000857e+00,2.938472528999999867e+01,1.000000000000000000e+00,8.223793840000000188e-02,4.808689900000000413e-03,1.620695768200000053e+00,3.674590616999999781e-01,8.221484931370000027e+01,5.376921879999999737e-02
2.285982856669999919e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.661666667000000075e+01,8.701388889000000404e+00,1.934892150419999979e+01,1.000000000000000000e+00,5.509107600000000271e-02,8.333394200000000113e-03,2.990758149399999954e+00,5.351657166000000077e-01,9.133202623910000284e+01,1.209652105000000033e-01
2.276818818930000177e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.488333332999999925e+01,-4.021759259000000419e+00,3.036224738330000150e+01,1.000000000000000000e+00,1.838032455999999981e-01,4.248926800000000364e-03,2.028473673900000218e+00,4.100042171000000124e-01,7.606377447670000436e+01,2.291956776000000084e-01
2.351527463189999878e+01,4.811033788999999672e+00,5.366233990000000009e-01,9.625000000000000000e+01,3.862962963000000194e+00,4.518593861499999775e+01,1.000000000000000000e+00,6.065277410000000091e-02,8.066887400000000152e-03,2.897016423999999812e+00,3.909422512999999877e-01,9.773305447670000490e+01,1.852348635999999937e-01
2.082682020809999912e+01,2.177303208000000012e+01,5.970943935000000202e+00,8.928333333000000493e+01,-6.787037040000000188e-01,6.591746814830000289e+01,1.000000000000000000e+00,1.044813304999999970e-01,4.053497700000000328e-03,2.200680559099999822e+00,5.530754132999999850e-01,4.685423705630000057e+01,1.637841747999999875e-01
1.676480313249999909e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.483333333000000209e+01,-8.250925926000000743e+00,4.287625300919999916e+01,1.000000000000000000e+00,9.352569589999999711e-02,8.496522100000000743e-03,1.880793361200000069e+00,5.404016830000000216e-01,3.274006596560000304e+01,1.762154773000000063e-01
2.801150364589999953e+01,1.824446877999999970e+02,2.594688188000000082e+02,6.865000000000000568e+01,-2.637962963000000105e+00,4.083604726920000161e+01,1.000000000000000000e+00,2.203766333999999938e-01,7.474153300000000409e-03,1.613309529199999925e+00,6.021340877999999952e-01,5.215200136659999686e+01,1.120893012000000050e-01
2.046748953299999840e+01,4.629005766999999771e+00,2.630195277999999970e+00,5.477499999999999858e+01,7.798148148000000113e+00,4.383229430499999779e+01,1.000000000000000000e+00,1.247408294999999973e-01,4.657274999999999783e-03,2.166666658100000031e+00,4.631538427999999930e-01,7.700564069569999504e+01,2.774411782000000271e-01
2.766065930730000133e+01,1.998458969999999946e-01,9.209936300000000353e-02,9.659166666999999507e+01,2.069444444000000161e+00,4.772480120329999664e+01,1.000000000000000000e+00,2.755172960000000226e-01,5.183396699999999642e-03,1.760263174799999941e+00,5.011735401000000367e-01,5.546980444879999794e+01,2.744179279999999777e-01
2.730875608239999863e+01,1.787462238000000170e+01,2.965215889999999743e-01,7.575000000000000000e+01,3.097685185000000008e+00,3.799111843000000022e+01,1.000000000000000000e+00,2.941149017999999948e-01,3.296723899999999974e-03,2.613846653900000039e+00,3.666770496000000268e-01,5.522567225350000086e+01,3.520738350000000155e-02
2.709021815170000025e+01,3.339158051000000000e+02,2.470655658999999957e+02,6.081666666999999649e+01,1.881620369999999909e+01,2.452255833250000094e+01,0.000000000000000000e+00,2.807149447999999770e-01,6.735597700000000090e-03,2.621038560300000153e+00,3.963551934999999804e-01,5.593114958459999997e+01,9.585770940000000462e-02
2.687661672730000006e+01,2.558235644000000093e+02,2.312462821000000019e+02,4.569166666999999649e+01,1.608842592999999965e+01,2.307469383999999835e+01,8.333333330000000649e-02,2.269533762000000010e-01,3.351146599999999930e-03,2.767176614399999846e+00,3.206296222000000196e-01,4.478089031740000081e+01,2.015730374999999963e-01
2.242829057499999834e+01,4.093914273000000037e+01,4.401676400000000267e-01,7.884999999999999432e+01,9.350462963000000016e+00,2.227700196669999855e+01,1.000000000000000000e+00,2.675783798999999963e-01,2.518522400000000171e-03,2.803941122099999905e+00,3.287183878000000115e-01,6.472322331709999332e+01,2.834874667000000237e-01
2.599102908300000081e+01,3.753807704999999828e+01,4.217243899999999907e-02,9.183333333000000209e+01,1.290277777999999920e+01,2.281367916579999999e+01,0.000000000000000000e+00,2.763980247999999751e-01,4.445189999999999905e-03,2.353410033999999929e+00,3.272156038999999850e-01,9.148837122339999439e+01,9.051942579999999738e-02
1.707212435219999946e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.614166667000000643e+01,8.564814819999999607e-01,3.593577679669999725e+01,1.000000000000000000e+00,5.262481160000000158e-02,3.774623400000000090e-03,2.794023458899999923e+00,4.311023434999999848e-01,5.153068482559999808e+01,2.985456714999999983e-01
2.626437888010000066e+01,9.427930641999999750e+01,1.793374507000000051e+02,7.351666667000000643e+01,1.620277778000000168e+01,2.566966428579999970e+01,0.000000000000000000e+00,1.297124830999999978e-01,3.259976999999999840e-03,2.151232248999999985e+00,2.808963769999999749e-01,5.652474594059999902e+01,1.200119122999999954e-01
2.366372148980000034e+01,1.363503746000000092e+02,2.445710834000000133e+01,7.303333333000000493e+01,-5.188425925999999855e+00,4.774548212919999912e+01,1.000000000000000000e+00,1.659503012999999916e-01,5.643152799999999643e-03,2.661322889400000058e+00,6.007918664000000408e-01,7.017991728190000345e+01,1.986346370000000028e-02
2.312853326689999989e+01,1.103983745999999968e+02,1.984703805999999959e+00,7.494166667000000359e+01,4.950462962999999661e+00,2.871963108830000166e+01,1.000000000000000000e+00,2.589615583000000054e-01,7.821501300000000337e-03,1.860076512400000048e+00,5.805675767000000320e-01,9.858642559460000143e+01,7.198554579999999481e-02
2.509338211280000053e+01,2.003125406999999925e+01,2.218645228000000191e+00,6.966666666999999791e+01,8.499999999999999778e-01,4.264599671250000057e+01,1.000000000000000000e+00,2.424489800999999889e-01,1.427503099999999922e-03,1.943342154900000063e+00,4.292644448999999862e-01,7.505764676500000121e+01,1.736881030999999909e-01
2.509521997770000112e+01,1.376285972000000015e+02,6.133930014999999969e+01,6.154166666999999791e+01,1.331712963000000016e+01,3.106301485499999870e+01,1.000000000000000000e+00,2.972552665000000038e-01,8.865589199999999309e-03,1.694098220799999943e+00,4.672185044000000120e-01,9.593006763719999697e+01,1.849424293999999969e-01
2.762207936429999933e+01,4.999208789000000053e+01,3.970197301000000323e+01,4.910833333000000067e+01,4.368055555999999839e+00,4.055209796169999947e+01,1.000000000000000000e+00,2.755172960000000226e-01,5.183396699999999642e-03,1.760263174799999941e+00,5.011735401000000367e-01,5.546980444879999794e+01,2.744179279999999777e-01
1.895454647829999928e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.621666666999999507e+01,1.397222222000000080e+01,3.097925576420000127e+01,5.833333333000000342e-01,5.451223510000000050e-02,4.895777199999999663e-03,2.105360446999999802e+00,4.369693123000000234e-01,3.639099214240000180e+01,4.946249369999999868e-02
2.399994315469999862e+01,9.443543741000000580e+01,6.141026922999999442e+02,4.435833333000000067e+01,-2.363425926000000121e+00,4.722027990750000015e+01,1.000000000000000000e+00,2.042888522999999901e-01,9.100549499999999181e-03,2.355671312700000186e+00,2.627186011000000043e-01,6.733211826560000191e+01,1.848078709999999986e-02
2.587129347600000173e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.712500000000000000e+01,1.495972221999999974e+01,2.342699768579999997e+01,0.000000000000000000e+00,1.433776760999999900e-01,7.413911599999999796e-03,1.970308943500000076e+00,4.689136604999999958e-01,4.922942134920000257e+01,2.477084581000000008e-01
