Inference for Stan model: anon_model_b786284618e7f90269bc5a48458cd75c.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
theta[0]        0.58    0.01   0.23   0.04   0.44   0.62   0.76   0.95    304    1.0
theta[1]        0.58  8.4e-3   0.24   0.11    0.4   0.59   0.77   0.98    789    1.0
theta[2]        0.48    0.01   0.17   0.05    0.4   0.52    0.6   0.73    260   1.01
theta[3]        0.22    0.01   0.18 9.6e-3    0.1   0.17   0.27   0.81    185   1.01
theta[4]        0.28  5.9e-3   0.19 6.8e-3   0.13   0.25   0.39   0.73   1000    1.0
rho_eta[0]      0.03  1.6e-3   0.05 2.2e-4 3.8e-3   0.01   0.05   0.18   1000    1.0
rho_eta[1]    1.8e-3  1.2e-4 3.7e-3 7.4e-6 1.5e-4 6.0e-4 2.1e-3 9.8e-3   1000    1.0
rho_eta[2]      0.11  6.5e-3   0.16 4.2e-4 9.9e-3   0.04   0.14   0.58    616    1.0
rho_eta[3]      0.69  8.9e-3   0.28    0.1    0.5   0.79   0.94    1.0   1000    1.0
rho_eta[4]      0.32  6.4e-3   0.18   0.03   0.18   0.31   0.44   0.72    822    1.0
rho_eta[5]      0.85  7.5e-3   0.19   0.28    0.8   0.92   0.98    1.0    634    1.0
rho_eta[6]      0.04  3.0e-3   0.07 1.5e-4 3.8e-3   0.01   0.04   0.21    520   1.01
rho_eta[7]      0.04  3.9e-3   0.08 1.8e-4 3.2e-3   0.01   0.04   0.27    447   1.01
rho_eta[8]      0.85  7.4e-3   0.19   0.29   0.79   0.92   0.99    1.0    653    1.0
rho_delta[0]    0.73  9.0e-3   0.28   0.08   0.55   0.85   0.97    1.0   1000    1.0
rho_delta[1]    0.74  8.8e-3   0.28   0.07   0.55   0.85   0.98    1.0   1000    1.0
rho_delta[2]    0.72  9.4e-3    0.3   0.05   0.54   0.85   0.98    1.0   1000    1.0
rho_delta[3]    0.72  9.0e-3   0.28   0.06   0.53    0.8   0.97    1.0   1000    1.0
lambda_eta      0.76  3.5e-3   0.09   0.59    0.7   0.76   0.82   0.96    658    1.0
lambda_delta    31.6    0.34  10.16  14.59   24.3  30.72  38.03  53.02    891    1.0
lambda_e        3.51    0.04   1.02   1.91   2.76   3.38   4.09   5.96    754    1.0
beta_eta[0]    17.83    0.34    7.1   6.78  12.37  17.07  22.29  33.68    426   1.01
beta_eta[1]    30.35    0.28   7.51   18.5  24.68  29.68  35.14  47.28    725    1.0
beta_eta[2]    13.69    0.28   7.57   2.16   7.91  12.92  18.46   31.1    706    1.0
beta_eta[3]     2.08    0.09   2.75 6.5e-3   0.26   0.94   2.78   9.27   1000    1.0
beta_eta[4]     5.57    0.15   3.44   1.32   3.27   4.72   6.93   14.1    510    1.0
beta_eta[5]     0.94    0.13   2.58 6.9e-4   0.08   0.34   0.92   5.04    377   1.01
beta_eta[6]    18.17     0.3   7.49   6.27  13.31  17.37  22.28  35.12    611    1.0
beta_eta[7]    18.19    0.29   7.49   5.18  12.73  17.63  22.95   34.5    657    1.0
beta_eta[8]     0.87    0.09   1.97 2.0e-4   0.05   0.31   0.93   4.89    437   1.01
beta_delta[0]   1.86    0.09   2.81 8.1e-4   0.12   0.64   2.38  10.27   1000    1.0
beta_delta[1]   1.79    0.09    2.7 2.9e-4   0.09   0.67   2.36  10.72    931    1.0
beta_delta[2]   2.06     0.1   3.24 1.1e-4   0.08   0.67   2.48  12.12   1000    1.0
beta_delta[3]   1.99     0.1   2.94 9.9e-4   0.14   0.88   2.54  11.11    796    1.0
lp__          -135.4    0.36   4.17 -144.7 -137.7 -135.1 -132.3 -128.3    138   1.02

Samples were drawn using NUTS at Fri Sep 15 07:23:31 2017.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
