# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode
2.082323169999999735e+01,2.612249999999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.933796296000000581e+00,8.315476293000000396e+01,-2.463624389000000026e+00,2.795238093000000390e+02,3.260731056000000017e+00,3.591208836999999932e+01,1.000000000000000000e+00
2.463339158000000140e+01,1.889678285000000102e+01,1.680215379999999925e+01,8.171030118999999203e+00,8.261111110999999951e+00,5.329166666999999791e+01,1.789120370999999921e+01,1.710000000000000000e+02,0.000000000000000000e+00,3.473521889749999758e+01,2.500000000000000000e-01
2.403417284000000009e+01,2.823314402999999917e+00,1.470162489999999877e+02,7.348397679999999355e+02,3.746296296000000137e+00,4.065833332999999783e+01,1.722222221999999903e+01,2.217500000000000000e+02,2.916936000000000195e+00,2.415746523170000160e+01,1.000000000000000000e+00
2.289162685999999880e+01,2.154905991000000043e+01,9.533746963000000108e+01,2.892267809000000156e+01,1.620370370000000060e+00,8.996666666999999507e+01,3.104166666999999880e+00,2.814166667000000075e+02,2.790274666999999820e+00,3.760389830999999816e+01,1.000000000000000000e+00
2.270824075000000164e+01,3.069614312999999939e+01,4.104914802999999779e+01,7.164362500000000245e-02,6.903240741000000291e+00,9.200000000000000000e+01,8.118981481000000500e+00,2.825833332999999925e+02,3.818466667000000037e+00,2.977494791670000041e+01,1.000000000000000000e+00
2.123254651999999965e+01,2.590566232000000113e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.343981482000000227e+00,7.815000000000000568e+01,-1.019907407999999904e+00,7.200000000000000000e+01,0.000000000000000000e+00,3.715738393080000179e+01,1.000000000000000000e+00
2.082362601000000168e+01,6.472638424999999529e+01,1.624948569000000020e+01,1.085687437000000033e+00,-2.584722221999999903e+00,8.638333332999999925e+01,-5.898148149999999923e-01,3.199166667000000075e+02,1.851490666999999979e+00,6.103168694330000221e+01,1.000000000000000000e+00
2.195238280999999958e+01,1.631692085999999975e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.175925930000000230e-01,7.139166667000000643e+01,5.371759259000000064e+00,1.000000000000000000e+02,0.000000000000000000e+00,3.117653208750000005e+01,1.000000000000000000e+00
1.964221561000000094e+01,1.416633419000000060e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.400925926000000210e+00,6.147500000000000142e+01,2.232870370000000104e+00,6.675000000000000000e+01,1.080346669999999870e-01,2.722708361169999947e+01,1.000000000000000000e+00
2.468599915000000067e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.298518518999999927e+01,7.648333332999999357e+01,1.713935185000000061e+01,1.675833333000000209e+02,2.123440000000000050e-01,2.253266451829999895e+01,0.000000000000000000e+00
