# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,dew point temp C,OAH %,OAT C,wind direction from north,wind speed m/s,Mull SWT C,Heat Mode,mullInsulationThickness,mullMetalConductivity,intMass,mullSurfaceArea,elecEquipDensityLow,elecEquipDensityHigh,infilRate
2.503426492563259842e+01,0.000000000000000000e+00,1.204177462000000105e+02,1.164297793000000070e+01,8.833333329999999428e-01,5.685833333000000067e+01,8.968518518999999856e+00,9.133333333000000209e+01,1.736005333000000039e+00,2.136709862080000022e+01,0.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.091202832909689846e+01,1.061674943624539935e+01,0.000000000000000000e+00,0.000000000000000000e+00,-7.925925926000000565e+00,7.078333333000000493e+01,-3.384259258999999798e+00,1.973333333000000209e+02,3.203786670000000059e-01,3.774318037079999755e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.088114891059720080e+01,1.130593005318110045e+01,0.000000000000000000e+00,0.000000000000000000e+00,-6.782407409999999803e-01,5.908333333000000209e+01,6.742129629999999985e+00,2.023333333000000209e+02,2.309706669999999906e-01,3.670355238829999678e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.174246570288449831e+01,4.237043678269420077e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.681018518999999323e+00,8.170833333000000209e+01,9.648611111000001017e+00,2.109166666999999791e+02,4.466674666999999488e+00,3.557678718169999854e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.136806729710700026e+01,3.344838801506959669e+01,1.113820776000000023e+01,1.146370362999999948e+01,-4.547222222000000258e+00,7.054999999999999716e+01,1.703703699999999932e-01,1.522500000000000000e+02,9.313333329999999854e-01,6.007412222250000156e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.087531227943939882e+01,5.283966623341260060e+01,1.426292143000000046e+01,1.407152959999999897e-01,-6.221296296000000225e+00,8.547499999999999432e+01,-4.141666666999999968e+00,2.990000000000000000e+02,1.154853332999999926e+00,5.057006824079999774e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.260696066546740113e+01,7.452809409325049650e+00,1.606985175000000083e+02,7.518548366999999644e+01,2.537500000000000089e+00,8.099166667000000075e+01,5.534259258999999709e+00,1.925000000000000000e+02,1.899919999999999942e-01,3.516222900420000030e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.201193537213839946e+01,8.487162589871470431e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.608333332999999854e+01,6.239166666999999933e+01,-1.026944444999999995e+01,2.877500000000000000e+02,1.784434666999999974e+00,4.239021323170000244e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.326654939726559945e+01,0.000000000000000000e+00,9.427930641999999750e+01,1.793374507000000051e+02,1.148009258999999993e+01,7.351666667000000643e+01,1.620277778000000168e+01,2.295000000000000000e+02,3.609848000000000390e+00,2.566966428579999970e+01,0.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.197353873813650083e+01,1.537346523293980027e+01,1.122865270999999998e+00,5.419761410000000224e-01,-3.370370370000000393e-01,9.450833332999999925e+01,4.458333329999999428e-01,9.091666666999999791e+01,0.000000000000000000e+00,4.302229486170000428e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.426882643910170145e+01,3.546875495515610099e-01,1.149817500999999993e+02,6.792098767999999787e+00,3.303240741000000202e+00,8.142499999999999716e+01,6.246296296000000581e+00,1.848333333000000209e+02,1.490133333000000171e+00,3.461669101420000061e+01,1.000000000000000000e+00,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.169139430476430164e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.096157406999999928e+01,8.367499999999999716e+01,1.366898147999999935e+01,2.573333332999999925e+02,3.166533333000000283e+00,2.234222225829999786e+01,0.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.150443145433940018e+01,2.653084005406740165e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.370370369999999838e-01,7.013333332999999925e+01,4.111111111000000484e+00,2.710833332999999925e+02,1.989327999999999985e+00,3.617325430670000230e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
1.984513772545329857e+01,6.031689247002760546e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.016064815000000010e+01,6.840000000000000568e+01,-5.254629630000000162e+00,2.798333332999999925e+02,5.103706670000000001e-01,3.451443935999999724e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.203975147601050111e+01,7.542591189761309600e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.131898147999999971e+01,4.695833333000000209e+01,-1.465277778000000142e+00,1.595000000000000000e+02,3.986106670000000296e-01,3.778346655080000005e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
2.213092043674010156e+01,3.494284512120449993e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.068981480999999789e+00,9.108333333000000209e+01,1.045138889000000049e+01,7.491666666999999791e+01,7.897706669999999818e-01,2.989023450830000073e+01,9.166666666999999658e-01,2.549149989663098137e-01,1.463778371325867056e+02,3.609535430858327345e+02,1.516871624518970396e+00,2.033693204016606160e+01,4.077337059179863843e+01,2.603465181339091883e-01
2.264215403152709882e+01,2.446665509452509824e+00,1.200260202000000049e+02,8.273926153999999542e+02,-1.823148148000000024e+00,4.709166667000000217e+01,8.840740740999999403e+00,1.043333332999999925e+02,3.613573329999999473e-01,2.238517447250000103e+01,1.000000000000000000e+00,4.668032472693522394e-01,2.370305248398345839e+02,6.358550739189415708e+02,1.617795504386869698e+00,9.314097886351316191e+00,2.023044038228382746e+01,4.706724224764804315e-02
2.132032160693750100e+01,5.528546065078200344e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.550925929999999564e-01,7.451666667000000643e+01,3.754166666999999791e+00,2.778333332999999925e+02,2.853605332999999966e+00,3.419879512920000053e+01,1.000000000000000000e+00,3.209583952475748847e-02,3.432146396573123752e+02,9.223069813967083519e+02,1.180345093083905672e+00,1.451145140343675166e+01,3.231852567394417264e+01,1.893638914955763641e-01
