# iw north average temp C,iw heating energy kWh,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode
2.406452738000000124e+01,0.000000000000000000e+00,5.491616178000000303e+01,6.395418310000000606e-01,9.712500000000000000e+01,1.401203703999999917e+01,2.393563507920000077e+01,0.000000000000000000e+00
2.089046275999999835e+01,2.760915845999999974e+01,2.564760984000000121e+02,4.576736728000000198e+01,6.481666667000000359e+01,-3.474537036999999717e+00,3.697694307500000122e+01,1.000000000000000000e+00
2.407955427999999998e+01,0.000000000000000000e+00,1.094118620000000135e+02,8.230147126000000526e+02,3.968333333000000351e+01,1.703564815000000010e+01,2.227259422250000043e+01,0.000000000000000000e+00
2.068518418000000025e+01,3.187067628999999958e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.817499999999999716e+01,-1.996296295999999915e+00,1.997676213420000124e+01,1.000000000000000000e+00
2.272113193999999936e+01,0.000000000000000000e+00,1.550252713999999976e+01,5.715183258999999794e+01,9.826666667000000643e+01,1.306388888999999942e+01,2.300920353420000097e+01,0.000000000000000000e+00
2.233091908000000103e+01,7.391576381000000140e+00,1.329480943000000082e+02,3.940918734999999629e+02,7.445833333000000209e+01,4.802777778000000275e+00,3.429533944420000324e+01,1.000000000000000000e+00
2.223670055999999917e+01,1.270754364000000081e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.815833333000000493e+01,7.226388888999999871e+00,2.822120387920000084e+01,1.000000000000000000e+00
2.249186114000000103e+01,1.410410101999999988e+01,1.343492835999999784e+02,2.376759136000000083e+01,9.127500000000000568e+01,7.180555555999999839e+00,3.133633654169999971e+01,1.000000000000000000e+00
2.276243523999999852e+01,4.877529719000000341e+01,9.707350796999999432e+01,5.018974309999999939e+00,7.482500000000000284e+01,-1.512962963000000105e+00,6.229507402750000011e+01,1.000000000000000000e+00
2.288356809000000069e+01,9.934579337000000621e+00,4.557568596000000127e+01,7.229347240000000738e+02,5.269166666999999649e+01,4.338425926000000210e+00,2.957964888420000094e+01,1.000000000000000000e+00
2.367365576999999988e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.511666667000000075e+01,1.176064814999999975e+01,2.350163750000000107e+01,0.000000000000000000e+00
2.003156041000000087e+01,3.359838170000000179e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.405833332999999641e+01,3.353703703999999952e+00,2.160522363920000188e+01,1.000000000000000000e+00
2.040891030999999955e+01,3.254013310999999931e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.099166667000000075e+01,-4.911574073999999790e+00,4.155391055500000164e+01,1.000000000000000000e+00
2.270667231999999913e+01,5.675698627999999957e+01,9.154207390000000943e-01,3.986780540000000039e-01,7.437500000000000000e+01,-2.763888889999999710e-01,5.259760458249999715e+01,1.000000000000000000e+00
2.281234467000000166e+01,3.822554414999999750e+01,1.057713537000000059e+01,1.967060660000000016e+00,7.834166666999999507e+01,8.198148147999999580e+00,4.642506708169999996e+01,1.000000000000000000e+00
2.174346170999999828e+01,2.140127160000000117e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.570833333000000209e+01,3.228240741000000025e+00,3.461116544920000138e+01,1.000000000000000000e+00
2.073957483999999951e+01,6.451729599999999287e+00,1.674485368999999935e+02,1.180708682999999981e+00,7.690000000000000568e+01,4.350462963000000016e+00,2.873308813919999949e+01,1.000000000000000000e+00
2.293064477000000068e+01,4.626072086999999833e+00,1.213444379999999825e+02,5.083300386999999887e+02,6.412500000000000000e+01,1.535185185000000008e+00,3.373847330579999948e+01,1.000000000000000000e+00
1.925433130000000048e+01,4.302851703999999700e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.409999999999999432e+01,-1.199490740999999971e+01,4.752134958330000103e+01,1.000000000000000000e+00
2.264528766000000104e+01,5.234136582999999732e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.254166666999999791e+01,-3.627777778000000009e+00,3.841255995670000090e+01,1.000000000000000000e+00
2.588706179000000063e+01,0.000000000000000000e+00,1.511439623000000267e+02,1.368241826000000003e+02,5.560833333000000067e+01,2.044305556000000124e+01,2.459316064829999959e+01,0.000000000000000000e+00
2.261386015000000071e+01,4.469608621999999976e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.629166666999999791e+01,4.555555555999999839e+00,3.480291537080000097e+01,1.000000000000000000e+00
2.284995576000000028e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.531666666999999649e+01,1.078611111000000022e+01,2.273624490750000149e+01,0.000000000000000000e+00
2.283401787000000027e+01,3.529855831000000332e+00,2.369166845000000308e+02,4.838105326000000446e+02,7.034999999999999432e+01,1.021620369999999944e+01,2.610942386829999862e+01,1.000000000000000000e+00
2.207848451999999995e+01,1.722232044000000073e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.147499999999999432e+01,2.831018518000000039e+00,3.261194231079999639e+01,1.000000000000000000e+00
2.271611517999999919e+01,2.965395373999999862e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.475000000000000000e+01,3.951851851999999887e+00,3.935593679999999495e+01,1.000000000000000000e+00
2.191101025000000035e+01,9.305973652999998791e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.995000000000000284e+01,6.367129629999999985e+00,2.838679444579999966e+01,1.000000000000000000e+00
2.213350648999999848e+01,1.868398523999999838e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.101666666999999933e+01,6.023611111000000129e+00,3.272229075999999992e+01,1.000000000000000000e+00
2.196248766000000074e+01,2.279626593000000057e+01,1.543935306000000018e+01,1.239052174000000051e+01,9.001666667000000643e+01,6.004629630000000162e+00,3.380856500830000044e+01,1.000000000000000000e+00
2.204378262000000177e+01,4.956756184000000331e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.407500000000000284e+01,-2.544444444000000249e+00,4.859219842499999942e+01,1.000000000000000000e+00
2.112189920999999870e+01,2.794166086999999976e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.656666667000000359e+01,-1.217129630000000073e+00,3.799109753750000351e+01,1.000000000000000000e+00
2.321388019000000114e+01,1.464453267999999930e+01,4.870251187000000215e+01,6.066308945000000676e+02,5.748333333000000067e+01,7.855555554999999579e+00,3.130601662420000153e+01,1.000000000000000000e+00
2.212176675999999986e+01,6.514129122999999311e+01,2.441598519999999795e+01,4.134369023000000531e+00,8.404999999999999716e+01,-9.814814800000000450e-02,6.497891245419999962e+01,1.000000000000000000e+00
2.248773577000000046e+01,1.092122406000000012e+01,1.054120620000000059e+02,7.517955736000000115e+02,6.354999999999999716e+01,-5.039351852000000243e+00,3.244493504670000306e+01,1.000000000000000000e+00
2.166601073000000000e+01,0.000000000000000000e+00,8.132915884999999889e+01,6.456659667000000269e+00,8.099166667000000075e+01,1.687962963000000016e+01,2.154001413419999977e+01,0.000000000000000000e+00
2.242600562999999880e+01,1.345763999999999960e+00,8.227078100999999322e+01,1.410757749999999866e-01,9.772499999999999432e+01,1.016574074000000039e+01,3.096401842499999901e+01,1.666666666999999935e-01
2.394575310999999829e+01,0.000000000000000000e+00,8.641462919000000298e+00,4.411559784999999678e+00,6.953333333000000493e+01,1.717083333000000067e+01,2.384519196749999992e+01,0.000000000000000000e+00
2.149294532000000046e+01,2.166533258000000117e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.265833333000000493e+01,2.313425925999999855e+00,3.573690302920000050e+01,1.000000000000000000e+00
1.950009065000000064e+01,1.464878189000000042e+01,1.037930349000000030e+00,2.969486808999999727e+00,5.014999999999999858e+01,6.999074074000000145e+00,2.207774380249999879e+01,1.000000000000000000e+00
