# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea,infilRate
2.268668460520790120e+01,3.887188290869789853e+01,6.903467967999999644e+01,2.962912201000000412e+00,7.682500000000000284e+01,1.651388889000000137e+00,5.195154930420000028e+01,1.000000000000000000e+00,4.255687009393358672e-03,5.493702702334533114e+02,1.428035967299972286e+00,2.061150746709764781e-01
2.031731406268799844e+01,3.729451559351110035e+01,9.475119336999999575e+01,2.141899941000000140e+01,7.461666667000000075e+01,-5.143981482000000049e+00,5.123678037079999825e+01,1.000000000000000000e+00,4.244838413733553403e-03,5.535734269063768807e+02,1.350437318408463927e+00,1.792694347009006761e-01
2.188409344631909903e+01,3.941209944230939755e+01,1.998458969999999946e-01,9.209936300000000353e-02,9.659166666999999507e+01,2.069444444000000161e+00,4.772480120329999664e+01,1.000000000000000000e+00,1.078569006930723282e-03,4.200866846883891412e+02,1.333694570608883856e+00,2.107984730301364629e-01
1.855892788612399968e+01,3.810964950401930196e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.907500000000000284e+01,-1.204583333000000067e+01,4.806288578750000084e+01,1.000000000000000000e+00,1.060110175748389325e-03,6.754237559627314340e+02,1.354299902919555043e+00,2.556496937281634296e-01
1.988747539442559997e+01,4.132892069029409754e+01,2.620538204000000064e+02,3.947421583999999939e+02,5.126666666999999933e+01,-4.233796296000000403e+00,3.389555417999999776e+01,1.000000000000000000e+00,2.778609712001100032e-03,9.653148513683516967e+02,1.566750299884410946e+00,2.286606603686853478e-01
2.119245225806880129e+01,3.581082905446520215e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.434166666999999507e+01,-5.710648147999999757e+00,4.240957532499999871e+01,1.000000000000000000e+00,2.049039644090431492e-03,5.160831528495831435e+02,1.560361348708395157e+00,7.687925119218914916e-02
2.069616739835160146e+01,2.727795005262429839e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.652500000000000568e+01,-1.312962962999999927e+00,4.041409833419999842e+01,1.000000000000000000e+00,3.868995418984646963e-03,8.657638262189231000e+02,1.625935779496455957e+00,1.580814030998083930e-01
2.502296092786000159e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.260000000000000142e+01,1.855879630000000091e+01,2.470998817579999951e+01,0.000000000000000000e+00,2.470311300289864797e-03,2.778995592457454222e+02,1.377660792316874439e+00,2.194809145042400378e-01
2.004049133406390126e+01,8.227891268664549784e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.907500000000000284e+01,4.331481482000000049e+00,3.488781963920000351e+01,1.000000000000000000e+00,3.893825644343192581e-03,2.830963443632087433e+02,1.177001973105020083e+00,7.918501731587285208e-02
1.755683254356609879e+01,1.652566869201659827e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.194166666999999649e+01,2.418518517999999951e+00,2.815927108420000025e+01,1.000000000000000000e+00,3.049978914840730145e-03,2.806373069399963356e+02,1.588495573676658834e+00,2.784637260050865093e-01
2.274605949486720036e+01,2.884623564318100186e+00,2.661286171999999510e+02,1.143258344000000051e+02,5.754999999999999716e+01,9.962962962000000644e+00,2.129762500080000009e+01,1.000000000000000000e+00,1.469357019681489206e-03,8.182166782658181319e+02,1.366013701173444561e+00,1.063051430966369532e-01
2.182519410516500002e+01,0.000000000000000000e+00,1.294669924000000094e+02,8.279818605000000389e+02,4.718333333000000351e+01,1.539074074000000003e+01,2.335620048579999875e+01,0.000000000000000000e+00,4.931922090250466864e-03,5.636804973485914161e+02,1.130338730561483374e+00,1.065324997064751207e-02
1.938930191427180105e+01,1.556402575554819911e+01,4.837121917999999710e+01,3.205031888000000322e+02,5.208333333000000209e+01,-1.924074073999999968e+00,4.134172366669999832e+01,1.000000000000000000e+00,3.259078445003904707e-03,7.493363935110916145e+02,1.368361967920939115e+00,1.011526894768523394e-01
2.336578212166299906e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.645833333000000209e+01,1.043425925999999926e+01,2.297581155079999959e+01,0.000000000000000000e+00,3.082266453469266650e-03,6.141532691958677788e+02,1.215296646601334851e+00,2.254511915498965124e-01
