# iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
2.042258539545300167e+01,2.415466128929870138e+01,5.961226680000000222e-01,2.238346739999999835e-01,8.069166667000000359e+01,-1.996759259000000064e+00,4.127794953749999962e+01,1.000000000000000000e+00,2.321552299960929523e-03,4.986196617432195239e+02,1.394119944399142774e+00
2.256327342420739868e+01,4.010619960574040022e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.805833332999999641e+01,1.535648148000000157e+00,4.791551388749999774e+01,1.000000000000000000e+00,2.253506857997715149e-03,5.271708348210383974e+02,1.435298378256498086e+00
2.156187262252469949e+01,0.000000000000000000e+00,1.563568732999999895e+02,2.726822380999999851e+01,8.422499999999999432e+01,1.525462963000000016e+01,2.150646038420000039e+01,0.000000000000000000e+00,1.363321393642809992e-03,2.808903646085552168e+02,1.652089701443716807e+00
2.171523381362339933e+01,1.145144273853260053e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.087500000000000000e+01,4.412499999999999645e+00,3.316231131079999983e+01,1.000000000000000000e+00,3.181833028628766255e-03,2.601305819553969627e+02,1.322267822010922300e+00
2.211814815816219948e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.944166667000000359e+01,1.301574074000000003e+01,2.295926276830000035e+01,0.000000000000000000e+00,4.516319399447717500e-03,9.341883952968534004e+02,1.405371993042900503e+00
1.998326367053839903e+01,3.593582631894020096e+01,5.837402203999999983e+01,3.856173640000000180e+00,7.517499999999999716e+01,8.996296297000000664e+00,5.305375958329999975e+01,1.000000000000000000e+00,2.108638392720687919e-03,9.493781389981883194e+02,1.256638667243117125e+00
1.621175484852379967e+01,4.818264891581730325e+01,2.810293703000000143e+00,6.937090609000000185e+00,6.283333333000000209e+01,-5.956481482000000049e+00,5.602611402830000031e+01,1.000000000000000000e+00,1.712975040482415858e-03,4.708962490705881123e+02,1.342506449909073085e+00
2.132683131252219866e+01,0.000000000000000000e+00,4.139266548999999884e+01,4.311691890000000082e-01,9.316666666999999791e+01,1.291111111000000022e+01,2.229842197670000203e+01,0.000000000000000000e+00,2.705965550667347938e-03,6.757060897134198285e+02,1.210257208057861522e+00
2.393055417901789994e+01,0.000000000000000000e+00,1.186901699000000008e+02,2.779888203000000431e+02,7.306666667000000359e+01,1.635324074000000039e+01,2.407654868999999920e+01,0.000000000000000000e+00,3.168919200746958629e-03,8.353045055705090363e+02,1.679590028714309291e+00
2.115815072202689962e+01,3.083301314274149973e+01,5.297201528000000437e+00,5.377235077999999113e+00,6.378333332999999783e+01,-3.966666666999999702e+00,5.507690953670000056e+01,1.000000000000000000e+00,3.369379588423715606e-03,4.209020038979646756e+02,1.189592704361825293e+00
2.276591826416030173e+01,1.864109511062800095e+01,4.914007720000000745e+01,9.651035780000000175e-01,9.814166667000000643e+01,6.945370371000000098e+00,4.046273235249999800e+01,1.000000000000000000e+00,3.239433653862683945e-03,2.229393052462047820e+02,1.247188226938644950e+00
2.142576606766300173e+01,1.007978982997870077e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.644166667000000359e+01,8.986574073999999968e+00,2.923655417499999842e+01,1.000000000000000000e+00,4.226471811704234083e-03,3.129646158185116747e+02,1.555113805582919451e+00
2.237681382324669954e+01,1.466322116005020071e+01,1.144500440000000019e+01,3.446791297999999983e+02,4.776666666999999933e+01,8.892592592999999823e+00,3.124934467499999968e+01,1.000000000000000000e+00,1.294166011241881364e-03,7.076930282131925196e+02,1.345192247062378721e+00
2.251410250156969894e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.958333333000000209e+01,1.325925926000000032e+01,2.408212706500000166e+01,0.000000000000000000e+00,3.248533682215652522e-03,7.377847973307769962e+02,1.662041653863763013e+00
1.840545062789750119e+01,1.039078929652530014e+01,1.582912106999999935e+02,4.113463545000000110e+00,7.576666667000000643e+01,4.708333332999999676e+00,2.687458058329999844e+01,1.000000000000000000e+00,4.926040605089249125e-03,5.449977593520309256e+02,1.505472295963729445e+00
2.262013874809240122e+01,0.000000000000000000e+00,1.204177462000000105e+02,1.164297793000000070e+01,5.685833333000000067e+01,8.968518518999999856e+00,2.136709862080000022e+01,0.000000000000000000e+00,2.579546970568180782e-03,9.659333362881316134e+02,1.262038947287461355e+00
2.119176151052440105e+01,1.354765308571849936e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.025833332999999925e+01,6.036111111000000307e+00,3.059755111579999820e+01,1.000000000000000000e+00,2.239642398418945426e-03,4.306281306567643696e+02,1.466384068335875090e+00
2.245446660997099997e+01,1.774199202871960068e+01,1.517973360000000014e+02,2.148489321999999788e+02,7.543333332999999641e+01,9.722221999999999115e-03,3.964148820749999658e+01,1.000000000000000000e+00,3.140611686198701777e-03,7.234848303631168847e+02,1.204240530947763954e+00
1.729570027198990090e+01,1.990216655649980027e+01,7.391906084000000021e+01,2.593230628000000024e+02,7.795000000000000284e+01,3.739351851999999976e+00,5.629299935170000424e+01,1.000000000000000000e+00,4.799365376794957096e-03,6.830928449229130592e+02,1.198996741333486771e+00
2.094227866996709864e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.678333333000000493e+01,1.382916666999999933e+01,2.237877916749999940e+01,0.000000000000000000e+00,2.667803834544672792e-03,9.008788073576224633e+02,1.494960707296813407e+00
2.451505122970419848e+01,0.000000000000000000e+00,5.628304325000000219e+00,6.729633276000000386e+00,5.926666666999999933e+01,2.105740740999999971e+01,2.521727472170000084e+01,0.000000000000000000e+00,4.412754020162315896e-03,6.204334455928897114e+02,1.270507017205126710e+00
2.235600212357979899e+01,2.007010848336389941e+01,1.167894174999999990e+02,4.202024386999999805e+00,8.725833332999999925e+01,3.006944443999999717e+00,3.912008166670000264e+01,1.000000000000000000e+00,4.310093602583664474e-03,8.518389545274784496e+02,1.347745877912886359e+00
2.478819372449390102e+01,0.000000000000000000e+00,4.670474069000000128e+01,9.621897497000000499e+01,3.305833333000000351e+01,1.229814814999999939e+01,2.304850414330000064e+01,0.000000000000000000e+00,4.874751922385033021e-03,4.332659112270517880e+02,1.669347816177910726e+00
