Inference for Stan model: anon_model_3e73d0247e792c9a039779745c6ccad0.
4 chains, each with iter=500; warmup=250; thin=1; 
post-warmup draws per chain=250, total post-warmup draws=1000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
theta[0]         0.5  4.0e-3   0.13   0.26   0.42    0.5   0.59   0.77   1000    1.0
theta[1]         0.5  4.5e-3   0.14   0.23   0.41    0.5   0.59   0.79   1000    1.0
theta[2]         0.5  3.7e-3   0.12   0.28   0.41   0.48   0.57   0.74   1000    1.0
theta[3]        0.59  3.6e-3   0.11   0.33   0.51    0.6   0.67   0.78   1000    1.0
theta[4]         0.5  4.7e-3   0.15   0.21    0.4    0.5   0.59   0.79   1000    1.0
rho_eta[0]      0.03  1.1e-3   0.03 2.8e-4 4.6e-3   0.01   0.04   0.13   1000    1.0
rho_eta[1]    1.5e-3  9.7e-5 3.1e-3 8.1e-6 1.6e-4 5.4e-4 1.5e-3   0.01   1000    1.0
rho_eta[2]      0.38  8.1e-3   0.26   0.02   0.17   0.34   0.55   0.94   1000    1.0
rho_eta[3]      0.85  6.8e-3   0.21    0.2   0.79   0.95   0.99    1.0   1000    1.0
rho_eta[4]      0.41  6.0e-3   0.19   0.07   0.26   0.41   0.55   0.79   1000    1.0
rho_eta[5]      0.89  6.2e-3   0.15   0.47   0.86   0.94   0.98    1.0    560    1.0
rho_eta[6]       0.1  7.0e-3   0.16 6.2e-4   0.01   0.04    0.1   0.65    535    1.0
rho_eta[7]      0.05  3.8e-3   0.09 1.8e-4 5.6e-3   0.02   0.05    0.3    527    1.0
rho_eta[8]      0.89  6.5e-3   0.16   0.46   0.85   0.96   0.99    1.0    588    1.0
rho_delta[0]    0.72  9.3e-3   0.29   0.06   0.52   0.84   0.97    1.0   1000    1.0
rho_delta[1]    0.72  9.0e-3   0.29   0.07   0.52   0.81   0.97    1.0   1000    1.0
rho_delta[2]    0.71  9.6e-3    0.3   0.04   0.51   0.82   0.97    1.0   1000    1.0
rho_delta[3]    0.71  9.3e-3   0.29   0.07   0.51   0.82   0.97    1.0   1000    1.0
lambda_eta      2.15  9.0e-3   0.28   1.63   1.96   2.13   2.33   2.75   1000    1.0
lambda_delta   34.41    0.33  10.42  17.44  27.15  33.33  40.46  57.61   1000    1.0
lambda_e       40.13    0.31   9.95  22.98  33.04  39.17   46.4  62.66   1000    1.0
beta_eta[0]    18.03     0.2   6.36   8.03  13.37  17.19  21.52  32.68   1000    1.0
beta_eta[1]     30.9    0.23    7.2   18.4  25.95  30.12  35.07  46.91   1000    1.0
beta_eta[2]     5.38    0.15   4.23   0.26   2.37   4.37   7.21  15.45    801    1.0
beta_eta[3]     0.93    0.06   1.89 4.2e-4   0.05   0.22   0.94   6.45   1000   1.01
beta_eta[4]     4.16    0.09   2.51   0.93   2.38   3.57   5.34  10.89    867    1.0
beta_eta[5]     0.74    0.16   3.17 1.7e-3   0.06   0.23   0.59   2.98    407    1.0
beta_eta[6]    13.65    0.25   6.94   1.71   9.15  13.16  17.46  29.53    764    1.0
beta_eta[7]    16.84    0.29   7.33   4.85  12.02  15.99  20.72  34.44    652    1.0
beta_eta[8]      0.6    0.06   1.28 3.0e-4   0.04   0.18   0.63   3.07    463   1.01
beta_delta[0]   2.02     0.1    3.1 1.5e-4    0.1   0.69   2.64  11.49   1000    1.0
beta_delta[1]   2.02     0.1   3.15 3.7e-4   0.14   0.82   2.59  10.87   1000    1.0
beta_delta[2]   2.27    0.11   3.57 6.9e-4   0.14   0.79   2.73  12.56   1000    1.0
beta_delta[3]   2.07     0.1   3.09 1.1e-3   0.14    0.8   2.67  10.42   1000    1.0
lp__           33.81    0.23   3.93  25.29  31.46  34.01  36.74  40.51    286   1.02

Samples were drawn using NUTS at Thu Sep 14 23:10:26 2017.
For each parameter, n_eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor on split chains (at 
convergence, Rhat=1).
